scenario,policy,final_regret,regret_auc,improvement,global_steps,probe_steps,exploit_steps
matching,arise,0.8006949255695688,0.9422722364668528,0.7552203624738065,0.0,2.75,0.0
matching,fixed,0.42350764790132767,0.688601461565886,6.44855075255017,0.0,0.0,0.0
matching,global_adaptive,0.6219967338580275,0.7632614807681242,0.7391626385443446,7.0,0.0,0.0
matching,posterior,0.7415709722741954,0.87680962631651,3.078026963330537,0.0,0.0,0.0
matching,target_only,0.7415709722741954,0.87680962631651,3.078026963330537,0.0,0.0,0.0
mixed,arise,0.6850891139502584,0.873749882549341,0.8561402280755986,0.0,3.0,0.75
mixed,fixed,0.5715831793331982,0.8439756028935831,5.809445446561718,0.0,0.0,0.0
mixed,global_adaptive,0.6950857701717256,0.8698837772270084,3.590023590732229,8.0,0.0,0.0
mixed,posterior,0.7415709722741954,0.87680962631651,3.078026963330537,0.0,0.0,0.0
mixed,target_only,0.7415709722741954,0.87680962631651,3.078026963330537,0.0,0.0,0.0
wrong,arise,0.8106367548819774,0.9177437458732128,2.5142845409101344,0.0,3.0,0.25
wrong,fixed,0.4397618174261547,0.768146159661099,5.70398660010583,0.0,0.0,0.0
wrong,global_adaptive,0.6491930492978992,0.8123092707630855,1.3649964744660101,7.75,0.0,0.0
wrong,posterior,0.7415709722741954,0.87680962631651,3.078026963330537,0.0,0.0,0.0
wrong,target_only,0.7415709722741954,0.87680962631651,3.078026963330537,0.0,0.0,0.0
