scenario,policy,rows,positive_rate,brier,auroc,auprc,gain_spearman,trusted_rate,trusted_precision,rejected_rate,rejected_precision
matching,arise,216.0,0.3055555555555556,0.2599896568432281,0.527070707070707,0.3088907454178748,0.021617855882933426,0.0,,0.0,
matching,fixed,216.0,0.36574074074074076,0.2752406522325791,0.5442114016446458,0.4404646379700603,0.04560432815364949,0.09259259259259259,0.7,0.004629629629629629,1.0
matching,global_adaptive,216.0,0.25925925925925924,0.20800072102185377,0.4703125,0.23666280676224932,-0.03167858045274136,0.08796296296296297,0.3684210526315789,0.004629629629629629,1.0
matching,posterior,216.0,0.3055555555555556,0.27299365967217526,0.5419191919191919,0.31499053685074097,0.09881813092544632,0.004629629629629629,0.0,0.0,
matching,target_only,216.0,0.3055555555555556,0.27299365967217526,0.5419191919191919,0.31499053685074097,0.09881813092544632,0.004629629629629629,0.0,0.0,
mixed,arise,648.0,0.3132716049382716,0.2600492671348175,0.5417114075386064,0.3335938828472993,0.0051602869598904475,0.016975308641975308,0.5454545454545454,0.0,
mixed,fixed,648.0,0.2808641975308642,0.25848582826072736,0.5783497618261566,0.31528731002796173,0.0905948951814607,0.004629629629629629,0.3333333333333333,0.0,
mixed,global_adaptive,648.0,0.27469135802469136,0.2142814075194047,0.4407901027970356,0.2429429217568763,-0.07301231689487522,0.0015432098765432098,1.0,0.0,
mixed,posterior,648.0,0.2623456790123457,0.25665047527334667,0.6149027811961606,0.3128290478735931,0.15564241385676267,0.0,,0.0,
mixed,target_only,648.0,0.2623456790123457,0.25665047527334667,0.6149027811961606,0.3128290478735931,0.15564241385676267,0.0,,0.0,
wrong,arise,216.0,0.4583333333333333,0.2507351059404732,0.6180177846844512,0.5702254845720801,0.18565744102962725,0.009259259259259259,1.0,0.0,
wrong,fixed,216.0,0.26851851851851855,0.28186756089973874,0.556525534701004,0.3073086789549887,-0.00023949194686411632,0.05555555555555555,0.25,0.0,
wrong,global_adaptive,216.0,0.3472222222222222,0.2392072038816896,0.510307328605201,0.36341987947986465,-0.00023661153284556478,0.037037037037037035,0.625,0.027777777777777776,0.5
wrong,posterior,216.0,0.3101851851851852,0.26861780790514633,0.6206551136932785,0.349400690251507,0.09823414578706004,0.0,,0.0,
wrong,target_only,216.0,0.3101851851851852,0.26861780790514633,0.6206551136932785,0.349400690251507,0.09823414578706004,0.0,,0.0,
