problem,dim,seed,scenario,policy,n_regions,initial_best_y,known_optimum_y,final_best_y,final_normalized_regret,normalized_regret_auc,total_improvement,target_steps,fixed_steps,global_steps,exploit_steps,probe_steps,final_trusted_regions,final_rejected_regions
GMM,2,42,matching,target_only,9,-0.12722582054929782,-1.0001911515148465,-0.28515723943548626,0.8190862646154488,0.9403292120700271,0.15793141888618845,8,0,0,0,0,0,0
GMM,2,42,matching,fixed,9,-0.12722582054929782,-1.0001911515148465,-0.7541882662548924,0.2818014376216534,0.5774383493786073,0.6269624457055947,0,8,0,0,0,2,0
GMM,2,42,matching,global_adaptive,9,-0.12722582054929782,-1.0001911515148465,-0.7859877680062635,0.24537444490683502,0.6144988239575084,0.6587619474569657,0,0,8,0,0,3,0
GMM,2,42,matching,posterior,9,-0.12722582054929782,-1.0001911515148465,-0.28515723943548626,0.8190862646154488,0.9403292120700271,0.15793141888618845,8,0,0,0,0,0,0
GMM,2,42,matching,arise,9,-0.12722582054929782,-1.0001911515148465,-0.394738099137955,0.6935591035525162,0.8746744510752729,0.26751227858865717,5,0,0,0,3,0,0
GMM,2,42,mixed,target_only,26,-0.12722582054929782,-1.0001911515148465,-0.28515723943548626,0.8190862646154488,0.9403292120700271,0.15793141888618845,8,0,0,0,0,0,0
GMM,2,42,mixed,fixed,26,-0.12722582054929782,-1.0001911515148465,-0.5965292468513038,0.4624031337155966,0.8573270258261321,0.469303426302006,0,8,0,0,0,0,1
GMM,2,42,mixed,global_adaptive,26,-0.12722582054929782,-1.0001911515148465,-0.28515723943548626,0.8190862646154488,0.9403292120700271,0.15793141888618845,0,0,8,0,0,0,0
GMM,2,42,mixed,posterior,26,-0.12722582054929782,-1.0001911515148465,-0.28515723943548626,0.8190862646154488,0.9403292120700271,0.15793141888618845,8,0,0,0,0,0,0
GMM,2,42,mixed,arise,26,-0.12722582054929782,-1.0001911515148465,-0.7984175615451236,0.2311358570752747,0.6005850354052262,0.6711917409958257,2,0,0,3,3,3,0
GMM,2,42,wrong,target_only,8,-0.12722582054929782,-1.0001911515148465,-0.28515723943548626,0.8190862646154488,0.9403292120700271,0.15793141888618845,8,0,0,0,0,0,0
GMM,2,42,wrong,fixed,8,-0.12722582054929782,-1.0001911515148465,-0.6342890034736839,0.41914854469243845,0.8331597345202186,0.5070631829243861,0,8,0,0,0,1,0
GMM,2,42,wrong,global_adaptive,8,-0.12722582054929782,-1.0001911515148465,-0.580075168263099,0.48125162403308225,0.8418028456563398,0.4528493477138012,0,0,8,0,0,1,0
GMM,2,42,wrong,posterior,8,-0.12722582054929782,-1.0001911515148465,-0.28515723943548626,0.8190862646154488,0.9403292120700271,0.15793141888618845,8,0,0,0,0,0,0
GMM,2,42,wrong,arise,8,-0.12722582054929782,-1.0001911515148465,-0.4628707210362895,0.6155117636621954,0.8359119552113001,0.3356449004869917,4,0,0,1,3,1,0
GMM,2,101,matching,target_only,8,-0.31590510428679913,-1.0001911515148465,-0.5986247758126262,0.5868399294840407,0.7223257014853908,0.28271967152582705,8,0,0,0,0,0,0
GMM,2,101,matching,fixed,8,-0.31590510428679913,-1.0001911515148465,-0.791640194543515,0.30477160511476736,0.4592668039781524,0.47573509025671584,0,8,0,0,0,0,0
GMM,2,101,matching,global_adaptive,8,-0.31590510428679913,-1.0001911515148465,-0.791640194543515,0.30477160511476736,0.4592668039781524,0.47573509025671584,0,0,8,0,0,1,0
GMM,2,101,matching,posterior,8,-0.31590510428679913,-1.0001911515148465,-0.5986247758126262,0.5868399294840407,0.7223257014853908,0.28271967152582705,8,0,0,0,0,0,0
GMM,2,101,matching,arise,8,-0.31590510428679913,-1.0001911515148465,-0.5696649798411457,0.6291611138612362,0.9077412186960802,0.2537598755543466,5,0,0,0,3,0,0
GMM,2,101,mixed,target_only,24,-0.31590510428679913,-1.0001911515148465,-0.5986247758126262,0.5868399294840407,0.7223257014853908,0.28271967152582705,8,0,0,0,0,0,0
GMM,2,101,mixed,fixed,24,-0.31590510428679913,-1.0001911515148465,-0.5957197511268234,0.5910852662077262,0.7600992685165916,0.2798146468400243,0,8,0,0,0,0,0
GMM,2,101,mixed,global_adaptive,24,-0.31590510428679913,-1.0001911515148465,-0.5979855647474199,0.5877740579348482,0.759363444455952,0.2820804604606208,0,0,8,0,0,0,0
GMM,2,101,mixed,posterior,24,-0.31590510428679913,-1.0001911515148465,-0.5986247758126262,0.5868399294840407,0.7223257014853908,0.28271967152582705,8,0,0,0,0,0,0
GMM,2,101,mixed,arise,24,-0.31590510428679913,-1.0001911515148465,-0.5696649798411457,0.6291611138612362,0.9077412186960802,0.2537598755543466,5,0,0,0,3,0,0
GMM,2,101,wrong,target_only,8,-0.31590510428679913,-1.0001911515148465,-0.5986247758126262,0.5868399294840407,0.7223257014853908,0.28271967152582705,8,0,0,0,0,0,0
GMM,2,101,wrong,fixed,8,-0.31590510428679913,-1.0001911515148465,-0.7804436353799659,0.3211340009416367,0.5482119287935852,0.46453853109316673,0,8,0,0,0,1,0
GMM,2,101,wrong,global_adaptive,8,-0.31590510428679913,-1.0001911515148465,-0.791640194543515,0.30477160511476736,0.4592668039781524,0.47573509025671584,0,0,8,0,0,1,0
GMM,2,101,wrong,posterior,8,-0.31590510428679913,-1.0001911515148465,-0.5986247758126262,0.5868399294840407,0.7223257014853908,0.28271967152582705,8,0,0,0,0,0,0
GMM,2,101,wrong,arise,8,-0.31590510428679913,-1.0001911515148465,-0.32057427090111856,0.9931765865558217,0.9969673718025874,0.004669166614319431,5,0,0,0,3,0,0
Rastrigin,2,42,matching,target_only,5,29.314341565150336,0.0,19.942494097992423,0.6802982101327695,0.8579103156145642,9.371847467157913,8,0,0,0,0,0,0
Rastrigin,2,42,matching,fixed,5,29.314341565150336,0.0,8.244946211407091,0.28125981247379955,0.7370120555295516,21.069395353743246,0,8,0,0,0,1,0
Rastrigin,2,42,matching,global_adaptive,5,29.314341565150336,0.0,27.49218804868664,0.9378408854105077,0.9792802951368359,1.8221535164636968,4,0,4,0,0,0,0
Rastrigin,2,42,matching,posterior,5,29.314341565150336,0.0,19.942494097992423,0.6802982101327695,0.8579103156145642,9.371847467157913,8,0,0,0,0,0,0
Rastrigin,2,42,matching,arise,5,29.314341565150336,0.0,29.314341565150336,1.0,1.0,0.0,6,0,0,0,2,0,0
Rastrigin,2,42,mixed,target_only,15,29.314341565150336,0.0,19.942494097992423,0.6802982101327695,0.8579103156145642,9.371847467157913,8,0,0,0,0,0,0
Rastrigin,2,42,mixed,fixed,15,29.314341565150336,0.0,6.825677852045494,0.23284431740947034,0.7584761172316088,22.48866371310484,0,8,0,0,0,0,0
Rastrigin,2,42,mixed,global_adaptive,15,29.314341565150336,0.0,26.3282008973039,0.8981337970286722,0.9547261320127434,2.986140667846435,0,0,8,0,0,0,0
Rastrigin,2,42,mixed,posterior,15,29.314341565150336,0.0,19.942494097992423,0.6802982101327695,0.8579103156145642,9.371847467157913,8,0,0,0,0,0,0
Rastrigin,2,42,mixed,arise,15,29.314341565150336,0.0,29.314341565150336,1.0,1.0,0.0,5,0,0,0,3,0,0
Rastrigin,2,42,wrong,target_only,5,29.314341565150336,0.0,19.942494097992423,0.6802982101327695,0.8579103156145642,9.371847467157913,8,0,0,0,0,0,0
Rastrigin,2,42,wrong,fixed,5,29.314341565150336,0.0,24.48853827044815,0.8353773942363001,0.9634171987191777,4.825803294702187,0,8,0,0,0,0,0
Rastrigin,2,42,wrong,global_adaptive,5,29.314341565150336,0.0,27.282549401009035,0.9306894831792248,0.9614941573217917,2.031792164141301,1,0,7,0,0,0,0
Rastrigin,2,42,wrong,posterior,5,29.314341565150336,0.0,19.942494097992423,0.6802982101327695,0.8579103156145642,9.371847467157913,8,0,0,0,0,0,0
Rastrigin,2,42,wrong,arise,5,29.314341565150336,0.0,22.09712676436333,0.7537991844453699,0.8514223803829057,7.217214800787005,5,0,0,0,3,0,0
Rastrigin,2,101,matching,target_only,5,20.840408205090856,0.0,18.340798909338634,0.8800594848645228,0.9866732760960581,2.4996092957522222,8,0,0,0,0,0,0
Rastrigin,2,101,matching,fixed,5,20.840408205090856,0.0,17.218298084595734,0.8261977363950904,0.9806886373772323,3.6221101204951225,0,8,0,0,0,0,0
Rastrigin,2,101,matching,global_adaptive,5,20.840408205090856,0.0,20.840408205090856,1.0,1.0,0.0,0,0,8,0,0,0,0
Rastrigin,2,101,matching,posterior,5,20.840408205090856,0.0,18.340798909338634,0.8800594848645228,0.9866732760960581,2.4996092957522222,8,0,0,0,0,0,0
Rastrigin,2,101,matching,arise,5,20.840408205090856,0.0,18.340798909338634,0.8800594848645228,0.9866732760960581,2.4996092957522222,5,0,0,0,3,0,0
Rastrigin,2,101,mixed,target_only,16,20.840408205090856,0.0,18.340798909338634,0.8800594848645228,0.9866732760960581,2.4996092957522222,8,0,0,0,0,0,0
Rastrigin,2,101,mixed,fixed,16,20.840408205090856,0.0,20.840408205090856,1.0,1.0,0.0,0,8,0,0,0,0,0
Rastrigin,2,101,mixed,global_adaptive,16,20.840408205090856,0.0,9.906466389355185,0.4753489611079332,0.825116320369311,10.933941815735672,0,0,8,0,0,0,0
Rastrigin,2,101,mixed,posterior,16,20.840408205090856,0.0,18.340798909338634,0.8800594848645228,0.9866732760960581,2.4996092957522222,8,0,0,0,0,0,0
Rastrigin,2,101,mixed,arise,16,20.840408205090856,0.0,18.340798909338634,0.8800594848645228,0.9866732760960581,2.4996092957522222,5,0,0,0,3,0,0
Rastrigin,2,101,wrong,target_only,6,20.840408205090856,0.0,18.340798909338634,0.8800594848645228,0.9866732760960581,2.4996092957522222,8,0,0,0,0,0,0
Rastrigin,2,101,wrong,fixed,6,20.840408205090856,0.0,3.821866813387274,0.18338732983424363,0.7277957766114145,17.018541391703582,0,8,0,0,0,3,0
Rastrigin,2,101,wrong,global_adaptive,6,20.840408205090856,0.0,18.340798909338634,0.8800594848645228,0.9866732760960581,2.4996092957522222,0,0,8,0,0,0,0
Rastrigin,2,101,wrong,posterior,6,20.840408205090856,0.0,18.340798909338634,0.8800594848645228,0.9866732760960581,2.4996092957522222,8,0,0,0,0,0,0
Rastrigin,2,101,wrong,arise,6,20.840408205090856,0.0,18.340798909338634,0.8800594848645228,0.9866732760960581,2.4996092957522222,5,0,0,0,3,0,0
