problem,dim,seed,scenario,policy,step,region_index,region_type,source_task_id,posterior_mean,posterior_std,lower_bound,upper_bound,probability_positive,global_compatibility_trust,coverage,status,true_gain,true_useful,region_candidate_index,region_candidate_y,target_top1_y,decision_mode,selected_region_index
GMM,2,42,matching,target_only,0,0,matching,matching::matching_0,0.0,1.0,-1.0,1.0,0.5,0.3561224489795638,0.0,uncertain,0.11466002285438147,1.0,28,-0.12054965242978422,-0.005889629575402742,target,
GMM,2,42,matching,target_only,0,1,matching,matching::matching_0,0.0,1.0,-1.0,1.0,0.5,0.3561224489795638,0.0,uncertain,0.0,0.0,0,-0.005889629575402742,-0.005889629575402742,target,
GMM,2,42,matching,target_only,0,2,matching,matching::matching_0,0.0,1.0,-1.0,1.0,0.5,0.3561224489795638,0.0,uncertain,0.0,0.0,0,-0.005889629575402742,-0.005889629575402742,target,
GMM,2,42,matching,target_only,0,3,matching,matching::matching_1,0.0,1.0,-1.0,1.0,0.5,0.3561224489795638,0.0,uncertain,0.0,0.0,0,-0.005889629575402742,-0.005889629575402742,target,
GMM,2,42,matching,target_only,0,4,matching,matching::matching_1,0.0,1.0,-1.0,1.0,0.5,0.3561224489795638,0.0,uncertain,0.11466002285438147,1.0,28,-0.12054965242978422,-0.005889629575402742,target,
GMM,2,42,matching,target_only,0,5,matching,matching::matching_1,0.0,1.0,-1.0,1.0,0.5,0.3561224489795638,0.0,uncertain,0.13386280397658373,1.0,11,-0.13975243355198647,-0.005889629575402742,target,
GMM,2,42,matching,target_only,0,6,matching,matching::matching_2,0.0,1.0,-1.0,1.0,0.5,0.3561224489795638,0.0,uncertain,0.09913198174988828,1.0,20,-0.10502161132529103,-0.005889629575402742,target,
GMM,2,42,matching,target_only,0,7,matching,matching::matching_2,0.0,1.0,-1.0,1.0,0.5,0.3561224489795638,0.0,uncertain,0.014663179255596657,1.0,2,-0.0205528088309994,-0.005889629575402742,target,
GMM,2,42,matching,target_only,0,8,matching,matching::matching_2,0.0,1.0,-1.0,1.0,0.5,0.3561224489795638,0.0,uncertain,0.0,0.0,0,-0.005889629575402742,-0.005889629575402742,target,
GMM,2,42,matching,target_only,1,0,matching,matching::matching_0,-0.0008984774767167159,0.9993152428386923,-1.0002137203154091,0.9984167653619757,0.4996413137818848,0.3722222222221955,0.13904050560183856,uncertain,0.14293864104629794,1.0,5,-0.2006764362431614,-0.05773779519686345,target,
GMM,2,42,matching,target_only,1,1,matching,matching::matching_0,0.0,1.0,-1.0,1.0,0.5,0.3722222222221955,0.0,uncertain,0.0,0.0,0,-0.05773779519686345,-0.05773779519686345,target,
GMM,2,42,matching,target_only,1,2,matching,matching::matching_0,0.0,1.0,-1.0,1.0,0.5,0.3722222222221955,0.0,uncertain,0.14293864104629794,1.0,5,-0.2006764362431614,-0.05773779519686345,target,
GMM,2,42,matching,target_only,1,3,matching,matching::matching_1,0.0,1.0,-1.0,1.0,0.5,0.3722222222221955,0.0,uncertain,0.06316954421649261,1.0,2,-0.12090733941335606,-0.05773779519686345,target,
GMM,2,42,matching,target_only,1,4,matching,matching::matching_1,-4.0839885305305444e-05,0.9999985856958694,-1.0000394255811746,0.9999577458105641,0.49998370721998653,0.3722222222221955,0.0002872737719046251,uncertain,0.2252659083016212,1.0,7,-0.28300370349848464,-0.05773779519686345,target,
GMM,2,42,matching,target_only,1,5,matching,matching::matching_1,-0.0004900786236636767,0.9997963196063684,-1.000286398230032,0.9993062409827047,0.4998044470938362,0.3722222222221955,0.041367423154266024,uncertain,0.5556448322542487,1.0,9,-0.6133826274511122,-0.05773779519686345,target,
GMM,2,42,matching,target_only,1,6,matching,matching::matching_2,-0.0002041994265265273,0.9999646417966382,-1.0001688412231649,0.9997604423701117,0.4999185333351761,0.3722222222221955,0.007181844297615627,uncertain,0.2252659083016212,1.0,7,-0.28300370349848464,-0.05773779519686345,target,
GMM,2,42,matching,target_only,1,7,matching,matching::matching_2,-0.001470235870991016,0.998165380228124,-0.999635616099115,0.9966951443571329,0.49941238290704915,0.3722222222221955,0.3723068083883942,uncertain,0.25414908545820725,1.0,1,-0.3118868806550707,-0.05773779519686345,target,
