relation,target_context_size,method,instances,standardized_rmse,ndcg_at_top,pairwise_accuracy,normalized_top1_regret,negative_transfer_rate,interval_coverage_95
matching,6,Calibrated-Source+Residual,64,0.7040283873631641,0.8945030177646404,0.7899083448772273,0.14488684850528954,0.171875,0.8064778645833334
matching,6,Fixed-Source+Residual,64,0.8072586474230461,0.8100845991304196,0.771450157115792,0.2840924403439369,0.484375,0.8587646484375
matching,6,Gated-Source+Residual,64,0.7120654676120399,0.9098341647649274,0.7870367482039059,0.11503776996990045,0.078125,0.8149820963541666
matching,6,Source-Affine-Only,64,0.9957578042581247,0.4532054606669277,0.5697228880016323,0.6516970936214842,0.96875,0.87298583984375
matching,6,Target-Only,64,0.7112309017826103,0.9253733370957546,0.7852786916693829,0.09476180405588565,0.0,0.8471883138020834
matching,12,Calibrated-Source+Residual,64,0.3548484956413996,0.9970468883825034,0.9210980152990548,0.007508569692719154,0.140625,0.9644978841145834
matching,12,Fixed-Source+Residual,64,0.4041764299784387,0.9904276228877656,0.9045246228711702,0.02981139630137063,0.484375,0.9722086588541666
matching,12,Gated-Source+Residual,64,0.3546988841360338,0.9970489312201435,0.9213868779029498,0.007501946929578658,0.046875,0.9662679036458334
matching,12,Source-Affine-Only,64,0.9555252921699419,0.431777050042422,0.5787721125235792,0.6864169958671807,1.0,0.9479166666666666
matching,12,Target-Only,64,0.36759112822774037,0.9973490274094914,0.917863496849196,0.005579602507152231,0.0,0.97216796875
matching,20,Calibrated-Source+Residual,64,0.17929748258641937,0.9992624965689324,0.9685959929955725,0.0029018829530589076,0.078125,0.9868977864583334
matching,20,Fixed-Source+Residual,64,0.22208219371105156,0.9967223057075207,0.9585338129991037,0.023680104138763192,0.546875,0.9861246744791666
matching,20,Gated-Source+Residual,64,0.17843399523270634,0.9992460525455569,0.9687659152949805,0.002850728061339686,0.03125,0.98748779296875
matching,20,Source-Affine-Only,64,0.9477621738908287,0.4401101956889412,0.5840750786469187,0.6596722064755235,1.0,0.9595133463541666
matching,20,Target-Only,64,0.1851603871804165,0.9993768832123474,0.9678164618474304,0.0024745880948296374,0.0,0.9909464518229166
reversed,6,Calibrated-Source+Residual,64,0.7162226062629867,0.9213031937837103,0.7820296372501087,0.09597864370394135,0.171875,0.8324381510416666
reversed,6,Fixed-Source+Residual,64,0.9622164940612373,0.6737530523598869,0.6999431081255433,0.5724911155043079,0.796875,0.8843790690104166
reversed,6,Gated-Source+Residual,64,0.7108909445655232,0.9255752792805337,0.7854636804480389,0.09476180405588565,0.0,0.8460896809895834
reversed,6,Source-Affine-Only,64,1.0362445772473041,0.38417947401336006,0.4986708333934949,0.7652750042498251,1.0,0.89752197265625
reversed,6,Target-Only,64,0.7112309017826103,0.9253733370957546,0.7852786916693829,0.09476180405588565,0.0,0.8471883138020834
reversed,12,Calibrated-Source+Residual,64,0.36784816455706215,0.9974079991184076,0.9173880008861636,0.005365925946030487,0.0625,0.97113037109375
reversed,12,Fixed-Source+Residual,64,0.5156194308493964,0.9481266954547135,0.8683878845984083,0.1450755212230232,0.78125,0.9759724934895834
reversed,12,Gated-Source+Residual,64,0.36855080708773746,0.9973756614092439,0.9173940486982561,0.005642761091331211,0.03125,0.97137451171875
reversed,12,Source-Affine-Only,64,1.0042227429572175,0.4202689181749395,0.5077200579154418,0.7023521709217285,1.0,0.9525146484375
reversed,12,Target-Only,64,0.36759112822774037,0.9973490274094914,0.917863496849196,0.005579602507152231,0.0,0.97216796875
reversed,20,Calibrated-Source+Residual,64,0.18475764157281938,0.9993719746548685,0.9678090877607561,0.0025775080273689843,0.046875,0.9908854166666666
reversed,20,Fixed-Source+Residual,64,0.2772455236788186,0.988400213541537,0.9431628741579748,0.03465512702067637,0.796875,0.98992919921875
reversed,20,Gated-Source+Residual,64,0.1852538369833325,0.9993761325287717,0.9677528006675087,0.0024745880948296374,0.015625,0.9909464518229166
reversed,20,Source-Affine-Only,64,0.9993949009295522,0.41676563772015507,0.5069657790353355,0.7147951507891651,1.0,0.9623819986979166
reversed,20,Target-Only,64,0.1851603871804165,0.9993768832123474,0.9678164618474304,0.0024745880948296374,0.0,0.9909464518229166
wrong,6,Calibrated-Source+Residual,64,0.7160889226548752,0.9104074421011498,0.7972913971676716,0.11678217050670775,0.1875,0.8265380859375
wrong,6,Fixed-Source+Residual,64,0.8754946930011593,0.8143556200083684,0.7768175372969632,0.3056111870164883,0.5,0.8651326497395834
wrong,6,Gated-Source+Residual,64,0.6919743797637107,0.9098100856778281,0.7906904224725663,0.11787372669137205,0.078125,0.8345947265625
wrong,6,Source-Affine-Only,64,1.0062002188715455,0.4832205865935667,0.5882931274654096,0.6522481747607712,0.953125,0.8838907877604166
wrong,6,Target-Only,64,0.7112309017826103,0.9253733370957546,0.7852786916693829,0.09476180405588565,0.0,0.8471883138020834
