problem,dim,seed,relation,source_task_id,source_region_id,source_chart_anchor,oracle_source_anchor,target_anchor,extracted_center,normalized_anchor_error,chart_radius,source_oof_spearman,source_oof_ndcg,source_reliability,source_context_count,source_core_count,source_fidelity_ndcg,source_fidelity_spearman,source_fidelity_pairwise,source_membership_mean,source_membership_min,source_membership_below_0_05,matching_source_data_hash,wrong_source_data_hash,target_context_design_hash,target_test_design_hash,target_test_truth_hash
GMM,2,42,matching,matching_GMM_2_42,matching_GMM_2_42::region_1,"[1.7007396090590758, 1.2135608680605374]","[1.7182244591326157, 1.4235679276309967]","[1.5, 1.5]","[1.7007396090590758, 1.2135608680605374]",0.5268342069114615,0.4,0.9592542579069966,0.9952132141378273,0.9546625131870183,45,15,0.6623611861530825,0.7844640634528731,0.8739218188145227,0.8951429692840275,0.7062745988800238,0.0,f9996bebafbc68764ecc7452ad0bd9b44f251587984bd408d636b485234f8a2d,9d453c4601c7ff45836182d6af485aeda05d5827e5cff5ead5764d98479574ec,9ba145d293577ce2d7697e4ec068125806ecfb5749bb059ae92d2994b46c57be,b9efc8b90bd331fe9e7034d8b7de1fef4c6cec7a2cd984f260b35e2c248d1990,56a10bd2e239fbd6709e03636713f0a6d9f28bfcc9d75fedffae42211d059b57
GMM,2,42,wrong,wrong_GMM_2_42,wrong_GMM_2_42::region_0,"[0.7173877843716279, -2.302074658592965]","[2.5, -2.5]","[1.5, 1.5]","[0.7173877843716279, -2.302074658592965]",4.4839162236254095,0.4,0.9594721381696886,0.9494865715818779,0.9110059109990715,58,19,0.9968173105655298,0.9845911930358768,0.9503137222946545,0.9198526476883805,0.6964538610945904,0.0,f9996bebafbc68764ecc7452ad0bd9b44f251587984bd408d636b485234f8a2d,9d453c4601c7ff45836182d6af485aeda05d5827e5cff5ead5764d98479574ec,9ba145d293577ce2d7697e4ec068125806ecfb5749bb059ae92d2994b46c57be,b9efc8b90bd331fe9e7034d8b7de1fef4c6cec7a2cd984f260b35e2c248d1990,56a10bd2e239fbd6709e03636713f0a6d9f28bfcc9d75fedffae42211d059b57
GMM,2,42,reversed,matching_GMM_2_42,matching_GMM_2_42::region_1,"[1.7007396090590758, 1.2135608680605374]","[1.7182244591326157, 1.4235679276309967]","[1.5, 1.5]","[1.7007396090590758, 1.2135608680605374]",0.5268342069114615,0.4,0.9592542579069966,0.9952132141378273,0.9546625131870183,45,15,0.045487598317979105,-0.7844640634528731,0.1260781811854773,0.8951429692840275,0.7062745988800238,0.0,f9996bebafbc68764ecc7452ad0bd9b44f251587984bd408d636b485234f8a2d,9d453c4601c7ff45836182d6af485aeda05d5827e5cff5ead5764d98479574ec,9ba145d293577ce2d7697e4ec068125806ecfb5749bb059ae92d2994b46c57be,b9efc8b90bd331fe9e7034d8b7de1fef4c6cec7a2cd984f260b35e2c248d1990,56a10bd2e239fbd6709e03636713f0a6d9f28bfcc9d75fedffae42211d059b57
GMM,2,101,matching,matching_GMM_2_101,matching_GMM_2_101::region_1,"[1.8180988828223485, 0.14317682474406535]","[1.4350974048268594, 1.2244112575706718]","[1.5, 1.5]","[1.8180988828223485, 0.14317682474406535]",2.8676624091721052,0.4,0.9724819086950849,0.9683766214191984,0.9417287451334397,63,21,0.9964282987949913,0.9971437042496831,0.9808524242259345,0.945237392581755,0.7816380199290813,0.0,27e2b69184f1b91e82dcae18f6de75dc73251bfeee3d263cb0a319efd9d6238b,032ebdb7d9ca4a61dce8039bea81a35f6f11937250844e90251b71ee5ae02cec,da567102721b5994d518abf11f9c1d7b8c457ee4b41d79243f0652e48953cb1a,cb2d5e9462c0c424be8408e725003e4b9887295335b5207099f2cca58c0226a6,a958fbab8ef34d7d00ba2a3816fd8082d4710743d47dbda52958837701b03b1a
GMM,2,101,wrong,wrong_GMM_2_101,wrong_GMM_2_101::region_0,"[2.2108967112531803, -2.6079666998323523]","[2.5, -2.5]","[1.5, 1.5]","[2.2108967112531803, -2.6079666998323523]",0.7715144191657902,0.4,0.9706621409621837,0.9869985483532,0.9580421240710846,42,14,0.8555605780674613,0.8570405865082452,0.8288571913737477,0.8671728342458657,0.5946907326589064,0.0,27e2b69184f1b91e82dcae18f6de75dc73251bfeee3d263cb0a319efd9d6238b,032ebdb7d9ca4a61dce8039bea81a35f6f11937250844e90251b71ee5ae02cec,da567102721b5994d518abf11f9c1d7b8c457ee4b41d79243f0652e48953cb1a,cb2d5e9462c0c424be8408e725003e4b9887295335b5207099f2cca58c0226a6,a958fbab8ef34d7d00ba2a3816fd8082d4710743d47dbda52958837701b03b1a
GMM,2,101,reversed,matching_GMM_2_101,matching_GMM_2_101::region_1,"[1.8180988828223485, 0.14317682474406535]","[1.4350974048268594, 1.2244112575706718]","[1.5, 1.5]","[1.8180988828223485, 0.14317682474406535]",2.8676624091721052,0.4,0.9724819086950849,0.9683766214191984,0.9417287451334397,63,21,0.029943846188577955,-0.9971437042496831,0.01914757577406541,0.945237392581755,0.7816380199290813,0.0,27e2b69184f1b91e82dcae18f6de75dc73251bfeee3d263cb0a319efd9d6238b,032ebdb7d9ca4a61dce8039bea81a35f6f11937250844e90251b71ee5ae02cec,da567102721b5994d518abf11f9c1d7b8c457ee4b41d79243f0652e48953cb1a,cb2d5e9462c0c424be8408e725003e4b9887295335b5207099f2cca58c0226a6,a958fbab8ef34d7d00ba2a3816fd8082d4710743d47dbda52958837701b03b1a
GMM,2,2026,matching,matching_GMM_2_2026,matching_GMM_2_2026::region_2,"[0.7743948456586905, 1.616814519319236]","[1.5383681700587084, 1.4517745923680523]","[1.5, 1.5]","[0.7743948456586905, 1.616814519319236]",1.9539917762795007,0.4,0.9858870967741936,0.9924830478379284,0.9784762306305383,63,21,0.9986363543236542,0.9980161156397767,0.980837136027814,0.9112252573213616,0.6746960650952544,0.0,378b5ad3a2e578316bb6489766ccc4bf775a407e45822b2eb2e3c4d990c0d5f0,09b0bbfe0d25bf96986820140ddffafc5d5bd5b0cd8a1603fbe7c4091a3500d8,6cbbb948675e57127190094f6a7965cea2f57c7e9c8dff2f618fbc7b2d441b8b,27923c818a8808f20af58c3e69691a641737c4debb4d8d51a64e3f2f2dcfe506,8757cd211aa00b3abea6f76b8998c59fca4f813c01d1686c1c24979cf8537f1c
GMM,2,2026,wrong,wrong_GMM_2_2026,wrong_GMM_2_2026::region_2,"[2.991267154409909, -2.4826435076829263]","[2.5, -2.5]","[1.5, 1.5]","[2.991267154409909, -2.4826435076829263]",1.2289341541239147,0.4,0.9725188534141159,0.9885709686628701,0.9614039049624964,39,13,0.947596623532734,0.9947239431855912,0.9797977694238199,0.857860572688344,0.5299603888320517,0.0,378b5ad3a2e578316bb6489766ccc4bf775a407e45822b2eb2e3c4d990c0d5f0,09b0bbfe0d25bf96986820140ddffafc5d5bd5b0cd8a1603fbe7c4091a3500d8,6cbbb948675e57127190094f6a7965cea2f57c7e9c8dff2f618fbc7b2d441b8b,27923c818a8808f20af58c3e69691a641737c4debb4d8d51a64e3f2f2dcfe506,8757cd211aa00b3abea6f76b8998c59fca4f813c01d1686c1c24979cf8537f1c
GMM,2,2026,reversed,matching_GMM_2_2026,matching_GMM_2_2026::region_2,"[0.7743948456586905, 1.616814519319236]","[1.5383681700587084, 1.4517745923680523]","[1.5, 1.5]","[0.7743948456586905, 1.616814519319236]",1.9539917762795007,0.4,0.9858870967741936,0.9924830478379284,0.9784762306305383,63,21,0.03146221070767166,-0.9980161156397767,0.019162863972186008,0.9112252573213616,0.6746960650952544,0.0,378b5ad3a2e578316bb6489766ccc4bf775a407e45822b2eb2e3c4d990c0d5f0,09b0bbfe0d25bf96986820140ddffafc5d5bd5b0cd8a1603fbe7c4091a3500d8,6cbbb948675e57127190094f6a7965cea2f57c7e9c8dff2f618fbc7b2d441b8b,27923c818a8808f20af58c3e69691a641737c4debb4d8d51a64e3f2f2dcfe506,8757cd211aa00b3abea6f76b8998c59fca4f813c01d1686c1c24979cf8537f1c
GMM,2,777,matching,matching_GMM_2_777,matching_GMM_2_777::region_0,"[1.7991518202420131, 0.215054085591875]","[1.516668387692883, 1.4767617887592857]","[1.5, 1.5]","[1.7991518202420131, 0.215054085591875]",3.2323590629530172,0.4,0.9867716055464724,0.9953250504023504,0.9821584980261509,81,27,0.9916046550232549,0.9814368833955271,0.93956431986093,0.925932311254456,0.7041726119067964,0.0,92471dcf187eabe75f0dece84b2c6f014d255db6b7d3cce40c13b8ec17d3a1e3,b433fe47fa59d0f2c1c8abe00f5ded7310a271b205aaf01fcb0c41af597f2b8e,52ca45660f36f6cb877e1e2600e79c86ce64ba88cb5ab0af92604ae5d0e3fce3,e53c163f1191d7fe395a264f8a9098f6023dce403292ddce4ce799e40178be72,c92dc05dec44b68abd8ae2f912f8d049aae1fac4b5eed75144034720fcd42478
