problem,dim,seed,panel,point_index,chart_point,clean_target_y,observed_target_y
GMM,2,42,context,0,"[0.005198521539568901, -0.013689534738659859]",-1.0001723611505409,-1.0001723611505409
GMM,2,42,context,1,"[-0.99705595895648, 0.9576525446027517]",-0.8263769927384401,-0.8263769927384401
GMM,2,42,context,2,"[-0.36670037917792797, -0.7407205067574978]",-0.9344488688842245,-0.9344488688842245
GMM,2,42,context,3,"[0.638850025832653, 0.2937967889010906]",-0.9518766494775127,-0.9518766494775127
GMM,2,42,context,4,"[0.9371442180126905, -0.7584768161177635]",-0.8652774356432185,-0.8652774356432185
GMM,2,42,context,5,"[-0.06840619072318077, 0.20510998368263245]",-0.9954950723393708,-0.9954950723393708
GMM,2,42,context,6,"[-0.7006233464926481, -0.4851910453289747]",-0.9303523807644165,-0.9303523807644165
GMM,2,42,context,7,"[0.3016311302781105, 0.5414565298706293]",-0.9624087066777547,-0.9624087066777547
GMM,2,42,context,8,"[0.49699446000158787, -0.5145391412079334]",-0.950479805372178,-0.950479805372178
GMM,2,42,context,9,"[-0.5051379799842834, 0.4572950340807438]",-0.9548242311141297,-0.9548242311141297
GMM,2,42,context,10,"[-0.1389105711132288, -0.24081646837294102]",-0.9925606428192246,-0.9925606428192246
GMM,2,42,context,11,"[0.8667618744075298, 0.7932087313383818]",-0.8711184595379786,-0.8711184595379786
GMM,2,42,context,12,"[0.5684676859527826, -0.2580942716449499]",-0.9620303956592228,-0.9620303956592228
GMM,2,42,context,13,"[-0.4372047632932663, 0.7059922534972429]",-0.9335300671545296,-0.9335300671545296
GMM,2,42,context,14,"[-0.801570588722825, -0.9845660328865051]",-0.8518144710729243,-0.8518144710729243
GMM,2,42,context,15,"[0.20056184753775597, 0.04158181697130203]",-0.9959870751348149,-0.9959870751348149
GMM,2,42,context,16,"[0.18078651651740074, -0.9194281082600355]",-0.9165582968053078,-0.9165582968053078
GMM,2,42,context,17,"[-0.8130451384931803, 0.11703849770128727]",-0.9350521491506544,-0.9350521491506544
GMM,2,42,context,18,"[-0.4491675943136215, -0.3330278620123863]",-0.969533401242747,-0.969533401242747
GMM,2,42,context,19,"[0.5491806361824274, 0.6402711570262909]",-0.9313958756972355,-0.9313958756972355
GMM,2,42,test,0,"[0.14003358036279678, -0.8875755146145821]",-0.9230214980522627,-0.9230214980522627
GMM,2,42,test,1,"[-0.43551130220294, 0.7479439117014408]",-0.927989399093478,-0.927989399093478
GMM,2,42,test,2,"[-0.6478411871939898, -0.21197568997740746]",-0.9549149685436816,-0.9549149685436816
GMM,2,42,test,3,"[0.9120557922869921, 0.41414543241262436]",-0.9046325014574587,-0.9046325014574587
GMM,2,42,test,4,"[0.5259651336818933, -0.4664220120757818]",-0.9521271345944948,-0.9521271345944948
GMM,2,42,test,5,"[-0.7890806291252375, 0.16854908131062984]",-0.9372556423307097,-0.9372556423307097
GMM,2,42,test,6,"[-0.00250915065407753, -0.6332283709198236]",-0.9611098997347267,-0.9611098997347267
GMM,2,42,test,7,"[0.29688870906829834, 0.9935631547123194]",-0.8981146477482087,-0.8981146477482087
GMM,2,42,test,8,"[0.3763625789433718, -0.03848227858543396]",-0.9859777400051315,-0.9859777400051315
GMM,2,42,test,9,"[-0.17574851401150227, 0.33436011895537376]",-0.9859851920957347,-0.9859851920957347
GMM,2,42,test,10,"[-0.8997894786298275, -0.8619054891169071]",-0.8568253596806245,-0.8568253596806245
GMM,2,42,test,11,"[0.6679084822535515, 0.5034894943237305]",-0.9325203588290573,-0.9325203588290573
GMM,2,42,test,12,"[0.7701086550951004, -0.6153365205973387]",-0.9078437717016382,-0.9078437717016382
GMM,2,42,test,13,"[-0.5371285565197468, 0.7569555770605803]",-0.9176408638793753,-0.9176408638793753
GMM,2,42,test,14,"[-0.2622681502252817, -0.28507413156330585]",-0.9853885373841658,-0.9853885373841658
GMM,2,42,test,15,"[0.06055592931807041, 0.08099322207272053]",-0.9991494191751192,-0.9991494191751192
GMM,2,42,test,16,"[0.09774211049079895, -0.37338746525347233]",-0.9855095069389799,-0.9855095069389799
GMM,2,42,test,17,"[-0.33449113741517067, 0.015002528205513954]",-0.989069116298639,-0.989069116298639
GMM,2,42,test,18,"[-0.6211618576198816, -0.542640557512641]",-0.9346459060923853,-0.9346459060923853
GMM,2,42,test,19,"[0.8266735170036554, 0.8385483827441931]",-0.8705848929331114,-0.8705848929331114
GMM,2,42,test,20,"[0.7362248618155718, -0.7960373722016811]",-0.8896485275284466,-0.8896485275284466
