problem,dim,seed,relation,source_task_id,source_region_id,source_chart_anchor,oracle_source_anchor,target_anchor,extracted_center,normalized_anchor_error,chart_radius,source_oof_spearman,source_oof_ndcg,source_reliability,source_context_count,source_core_count,source_fidelity_ndcg,source_fidelity_spearman,source_fidelity_pairwise,source_membership_mean,source_membership_min,source_membership_below_0_05,matching_source_data_hash,wrong_source_data_hash,target_context_design_hash,target_test_design_hash,target_test_truth_hash
GMM,2,42,matching,matching_GMM_2_42,matching_GMM_2_42::region_1,"[2.1158979362532513, -0.49230184395182197]","[1.7182244591326157, 1.4235679276309967]","[1.5, 1.5]","[2.1158979362532513, -0.49230184395182197]",4.891766792319276,0.4,0.9611336032388664,0.9831593294495914,0.9449474688717935,39,13,0.9743895363281806,0.779076304646372,0.8005208333333333,0.9136796673075795,0.7388604544139821,0.0,f53fa3b3177bd7a1794f7ba795b8f30e4adc7626060c6285b6c794a83877bd4e,9bbb6b78bd36c501474723ea267b7b3c91ad8a3b291c615555163ec2722cee41,a3cfde69c8d04c4363210a06c1c143f0f454fe8abda8162be796dbda0cb8e246,6d7b610c4991f6d294eaa880fdbb7136e38a7d84a6679d5347e3da2d626d262f,faa8c680ab8182914b4de235aa3025a2c0448adbbebcd3b6f16df1e8894be422
GMM,2,42,wrong,wrong_GMM_2_42,wrong_GMM_2_42::region_1,"[2.7482959574961523, -2.4195412295812906]","[2.5, -2.5]","[1.5, 1.5]","[2.7482959574961523, -2.4195412295812906]",0.6525167442593985,0.4,0.5907148322700365,0.9905081816325516,0.5851078743751716,27,9,0.4693109463580401,0.214818198830702,1.0,0.8712939233709478,0.5907857137975094,0.0,f53fa3b3177bd7a1794f7ba795b8f30e4adc7626060c6285b6c794a83877bd4e,9bbb6b78bd36c501474723ea267b7b3c91ad8a3b291c615555163ec2722cee41,a3cfde69c8d04c4363210a06c1c143f0f454fe8abda8162be796dbda0cb8e246,6d7b610c4991f6d294eaa880fdbb7136e38a7d84a6679d5347e3da2d626d262f,faa8c680ab8182914b4de235aa3025a2c0448adbbebcd3b6f16df1e8894be422
GMM,2,42,reversed,matching_GMM_2_42,matching_GMM_2_42::region_1,"[2.1158979362532513, -0.49230184395182197]","[1.7182244591326157, 1.4235679276309967]","[1.5, 1.5]","[2.1158979362532513, -0.49230184395182197]",4.891766792319276,0.4,0.9611336032388664,0.9831593294495914,0.9449474688717935,39,13,0.05562641733121482,-0.779076304646372,0.19947916666666668,0.9136796673075795,0.7388604544139821,0.0,f53fa3b3177bd7a1794f7ba795b8f30e4adc7626060c6285b6c794a83877bd4e,9bbb6b78bd36c501474723ea267b7b3c91ad8a3b291c615555163ec2722cee41,a3cfde69c8d04c4363210a06c1c143f0f454fe8abda8162be796dbda0cb8e246,6d7b610c4991f6d294eaa880fdbb7136e38a7d84a6679d5347e3da2d626d262f,faa8c680ab8182914b4de235aa3025a2c0448adbbebcd3b6f16df1e8894be422
GMM,2,101,matching,matching_GMM_2_101,matching_GMM_2_101::region_1,"[-0.6702791008322713, -0.8395892438291415]","[1.4350974048268594, 1.2244112575706718]","[1.5, 1.5]","[-0.6702791008322713, -0.8395892438291415]",7.3708498069931405,0.4,0.9176821363754214,0.9367228456044977,0.8596138221459995,57,19,0.9716737571022128,0.8887324044403753,0.8606311274509804,0.945275765296688,0.7515618661661911,0.0,3d25ec54b6d4d70cbdb7eaba31407e9ced420c865b54f25f52c69e126449ff62,c04232b5a43dc7ee1338c157bb5c61f5fb4a61d5969b2d35fea57e364cad53b0,d9e4996458f2bdf140c96399a7827b1d8dcaa39fcfcf02fd9ba733b8adbda901,4b2662ae282f52b508cb33fff4ea7f838fcd3cdba40587c53b117f4616c7de68,1724ef014e19c1517aa2b08ed6d2299bdb156cb9b7e440973d24b3c1f8a56545
GMM,2,101,wrong,wrong_GMM_2_101,wrong_GMM_2_101::region_1,"[2.7582525310014088, -2.420734342082223]","[2.5, -2.5]","[1.5, 1.5]","[2.7582525310014088, -2.420734342082223]",0.6753583044103868,0.4,0.9862967914438503,0.9826098807763763,0.9691449726507643,33,11,0.9830131674654937,0.989675841153582,0.9564031862745098,0.8867106536332304,0.6992614840102653,0.0,3d25ec54b6d4d70cbdb7eaba31407e9ced420c865b54f25f52c69e126449ff62,c04232b5a43dc7ee1338c157bb5c61f5fb4a61d5969b2d35fea57e364cad53b0,d9e4996458f2bdf140c96399a7827b1d8dcaa39fcfcf02fd9ba733b8adbda901,4b2662ae282f52b508cb33fff4ea7f838fcd3cdba40587c53b117f4616c7de68,1724ef014e19c1517aa2b08ed6d2299bdb156cb9b7e440973d24b3c1f8a56545
GMM,2,101,reversed,matching_GMM_2_101,matching_GMM_2_101::region_1,"[-0.6702791008322713, -0.8395892438291415]","[1.4350974048268594, 1.2244112575706718]","[1.5, 1.5]","[-0.6702791008322713, -0.8395892438291415]",7.3708498069931405,0.4,0.9176821363754214,0.9367228456044977,0.8596138221459995,57,19,0.03484295358665595,-0.8887324044403753,0.1393688725490196,0.945275765296688,0.7515618661661911,0.0,3d25ec54b6d4d70cbdb7eaba31407e9ced420c865b54f25f52c69e126449ff62,c04232b5a43dc7ee1338c157bb5c61f5fb4a61d5969b2d35fea57e364cad53b0,d9e4996458f2bdf140c96399a7827b1d8dcaa39fcfcf02fd9ba733b8adbda901,4b2662ae282f52b508cb33fff4ea7f838fcd3cdba40587c53b117f4616c7de68,1724ef014e19c1517aa2b08ed6d2299bdb156cb9b7e440973d24b3c1f8a56545
GMM,2,2026,matching,matching_GMM_2_2026,matching_GMM_2_2026::region_1,"[-0.0734725657397859, 1.7663362242694252]","[1.5383681700587084, 1.4517745923680523]","[1.5, 1.5]","[-0.0734725657397859, 1.7663362242694252]",4.105620825347159,0.4,0.9492769744160177,0.9678918445525994,0.91879744175883,30,10,0.9953298432005595,0.8351245994506752,0.8318627450980393,0.9258727174611721,0.7398432473182518,0.0,02597df9d2f38524fe824a38b0d717215bdb176255db2ff3b9d9e560eb23a588,e6673f75c18acade3166d0c4dc89731df39f57e1fee1c997decf236c3abe1a17,b739d247ad06f88240d65383a92e979027de9f8d129ad4c66d03053d8acd890f,d27383259bbae150bca705dea3532774178a3fce280fcc761b1910f79cf139d3,6aea34b11b93ea15b2c90bcb7087c3b3ba9d4fce21b66beecd50f75ed67c60f4
GMM,2,2026,wrong,wrong_GMM_2_2026,wrong_GMM_2_2026::region_0,"[2.3750373946938663, -2.8075995489383936]","[2.5, -2.5]","[1.5, 1.5]","[2.3750373946938663, -2.8075995489383936]",0.830034393986176,0.4,0.9629295999449812,0.9862358560261679,0.9496756982946739,36,12,0.5123899759191575,0.6151523807833785,0.9323254139668826,0.9106638502390043,0.7660731305229219,0.0,02597df9d2f38524fe824a38b0d717215bdb176255db2ff3b9d9e560eb23a588,e6673f75c18acade3166d0c4dc89731df39f57e1fee1c997decf236c3abe1a17,b739d247ad06f88240d65383a92e979027de9f8d129ad4c66d03053d8acd890f,d27383259bbae150bca705dea3532774178a3fce280fcc761b1910f79cf139d3,6aea34b11b93ea15b2c90bcb7087c3b3ba9d4fce21b66beecd50f75ed67c60f4
GMM,2,2026,reversed,matching_GMM_2_2026,matching_GMM_2_2026::region_1,"[-0.0734725657397859, 1.7663362242694252]","[1.5383681700587084, 1.4517745923680523]","[1.5, 1.5]","[-0.0734725657397859, 1.7663362242694252]",4.105620825347159,0.4,0.9492769744160177,0.9678918445525994,0.91879744175883,30,10,0.22784276446698712,-0.8351245994506752,0.1681372549019608,0.9258727174611721,0.7398432473182518,0.0,02597df9d2f38524fe824a38b0d717215bdb176255db2ff3b9d9e560eb23a588,e6673f75c18acade3166d0c4dc89731df39f57e1fee1c997decf236c3abe1a17,b739d247ad06f88240d65383a92e979027de9f8d129ad4c66d03053d8acd890f,d27383259bbae150bca705dea3532774178a3fce280fcc761b1910f79cf139d3,6aea34b11b93ea15b2c90bcb7087c3b3ba9d4fce21b66beecd50f75ed67c60f4
GMM,2,777,matching,matching_GMM_2_777,matching_GMM_2_777::region_2,"[1.7956325572800085, 0.5836356487695894]","[1.516668387692883, 1.4767617887592857]","[1.5, 1.5]","[1.7956325572800085, 0.5836356487695894]",2.3391976587153884,0.4,0.9494368365610567,0.9846344670772129,0.934848233590771,42,14,0.992965093844812,0.9895120450904095,0.9620098039215687,0.9054865028488227,0.6752420198351698,0.0,25d25d9f41eebf673351ba7ac43fc103778455f300d00eeceb8ca67d053efa5b,60d6a783878ad792597ddee979176377c79fdda92e8eaf2ac2d4730ffc82301e,649ff6487eff90f0e70fbd181012ae3e332cc8ba7c45650b886e20dd515fcce4,8c32ab104b935f050f656a93832cbec44eb9e7eadc2252fca5b170395e239751,b56d66e4c9af59d8e2f98126439ce032f18b6f76b81816fe439700b01145c6b4
