relation,method,instances,oracle_order_agreement,fitted_expert_order_agreement,mean_srmse,srmse_advantage,ndcg_advantage,pairwise_advantage,gate_acceptance,negative_transfer_rate
anisotropy_swap,Calibrated-Transfer,8,0.7061660275239339,0.7044803663600164,0.6306977150307447,-0.03835045322047812,0.008592876845275446,-0.008953097802436888,0.0,0.375
anisotropy_swap,Fixed-Transfer,8,0.7061660275239339,0.7044803663600164,0.6661056896820702,-0.07375842787180373,0.003224248697299953,-0.01303613196257615,0.0,0.5
anisotropy_swap,Gated-Transfer,8,0.7061660275239339,0.7044803663600164,0.6613755926723562,-0.0690283308620897,0.001272676932234637,-0.025875081592689295,0.625,0.375
anisotropy_swap,Target-Only,8,0.7061660275239339,0.7044803663600164,0.5923472618102665,0.0,0.0,0.0,0.0,0.0
identity,Calibrated-Transfer,8,1.0,0.983855830250106,0.3930299548180191,0.20755088568480884,0.021292961613359376,0.10021962032201914,0.0,0.0
identity,Fixed-Transfer,8,1.0,0.983855830250106,0.39041606307286547,0.21016477742996253,0.016053950222381652,0.09815600522193209,0.0,0.0
identity,Gated-Transfer,8,1.0,0.983855830250106,0.3930299548180191,0.20755088568480884,0.021292961613359376,0.10021962032201914,1.0,0.0
identity,Target-Only,8,1.0,0.983855830250106,0.600580840502828,0.0,0.0,0.0,0.0,0.0
independent_expert,Calibrated-Transfer,8,0.7543431108572672,0.7558122359243692,0.6023020325831678,-0.0017211920803398284,-0.053250893858224777,-0.009823419821583995,0.0,0.375
independent_expert,Fixed-Transfer,8,0.7543431108572672,0.7558122359243692,0.7152064145361485,-0.1146255740333205,-0.10098202541521313,-0.04006880983463883,0.0,0.75
independent_expert,Gated-Transfer,8,0.7543431108572672,0.7558122359243692,0.6059635789129193,-0.005382738410091334,-0.03973582312479679,-0.008305455831157535,0.75,0.25
independent_expert,Target-Only,8,0.7543431108572672,0.7558122359243692,0.600580840502828,0.0,0.0,0.0,0.0,0.0
output_affine,Calibrated-Transfer,8,1.0,0.983855830250106,0.3930299548180191,0.20755088568480895,0.021292961613359376,0.10021962032201914,0.0,0.0
output_affine,Fixed-Transfer,8,1.0,0.983855830250106,0.39041606307286536,0.21016477742996265,0.016053950222381652,0.09815600522193209,0.0,0.0
output_affine,Gated-Transfer,8,1.0,0.983855830250106,0.3930299548180191,0.20755088568480895,0.021292961613359376,0.10021962032201914,1.0,0.0
output_affine,Target-Only,8,1.0,0.983855830250106,0.600580840502828,0.0,0.0,0.0,0.0,0.0
reversal,Calibrated-Transfer,8,0.0,0.01614416974989399,0.600580840502828,0.0,0.0,0.0,0.0,0.0
reversal,Fixed-Transfer,8,0.0,0.01614416974989399,1.010098632185226,-0.4095177916823981,-0.12528133137273856,-0.21352976773281115,0.0,1.0
reversal,Gated-Transfer,8,0.0,0.01614416974989399,0.600580840502828,0.0,0.0,0.0,0.0,0.0
reversal,Target-Only,8,0.0,0.01614416974989399,0.600580840502828,0.0,0.0,0.0,0.0,0.0
rotate_45,Calibrated-Transfer,8,0.7730499347258486,0.7720113954183228,0.494420319972103,0.03385180926331365,-0.0017798120069891787,0.011514768276762385,0.0,0.375
rotate_45,Fixed-Transfer,8,0.7730499347258486,0.7720113954183228,0.5633633951129248,-0.03509126587750807,-0.06738266528430241,-0.007593219647519578,0.0,0.5
rotate_45,Gated-Transfer,8,0.7730499347258486,0.7720113954183228,0.498041071264381,0.030231057971035653,0.0043552395705417635,0.01078553361618799,0.75,0.25
rotate_45,Target-Only,8,0.7730499347258486,0.7720113954183228,0.5282721292354167,0.0,0.0,0.0,0.0,0.0
roughness,Calibrated-Transfer,8,0.7885508458442124,0.7861156417636506,0.7826941583978981,0.06030047709580347,-0.005512157773626958,0.036907093124456045,0.0,0.0
roughness,Fixed-Transfer,8,0.7885508458442124,0.7861156417636506,0.7975940661661761,0.04540056932752555,0.007514554987966923,0.04121620702785027,0.0,0.125
roughness,Gated-Transfer,8,0.7885508458442124,0.7861156417636506,0.7997544419269997,0.04324019356670196,-0.010316368675841361,0.02610796072671888,0.875,0.0
roughness,Target-Only,8,0.7885508458442124,0.7861156417636506,0.8429946354937017,0.0,0.0,0.0,0.0,0.0
scale_0.7,Calibrated-Transfer,8,0.93044733191906,0.9267724757960686,0.42780739251621386,0.1218267875944179,0.012396737934297852,0.05490848020017407,0.0,0.125
scale_0.7,Fixed-Transfer,8,0.93044733191906,0.9267724757960686,0.4396949696569611,0.10993921045367064,0.010861826215119538,0.054796290252393395,0.0,0.25
scale_0.7,Gated-Transfer,8,0.93044733191906,0.9267724757960686,0.42780739251621386,0.1218267875944179,0.012396737934297852,0.05490848020017407,1.0,0.125
scale_0.7,Target-Only,8,0.93044733191906,0.9267724757960686,0.5496341801106318,0.0,0.0,0.0,0.0,0.0
scale_1.5,Calibrated-Transfer,8,0.944884138381201,0.9406301796748724,0.39083300102238266,0.17435274881198698,0.014987363823863578,0.06327683039599652,0.0,0.0
scale_1.5,Fixed-Transfer,8,0.944884138381201,0.9406301796748724,0.39733601007615194,0.16784973975821774,0.008509612589463797,0.05766733300696257,0.0,0.125
scale_1.5,Gated-Transfer,8,0.944884138381201,0.9406301796748724,0.39083300102238266,0.17435274881198698,0.014987363823863578,0.06327683039599652,1.0,0.0
scale_1.5,Target-Only,8,0.944884138381201,0.9406301796748724,0.5651857498343696,0.0,0.0,0.0,0.0,0.0
