problem,dim,seed,n_init,target_only_r2_oos,match_partial_corr,match_corr_pval,match_delta_r2_oos,match_perm_pval,rand_partial_corr,rand_delta_r2_oos,wrong_partial_corr,wrong_delta_r2_oos,method,top1_true_y,top1_raw_regret,top1_normalized_regret,top1_signed_improvement,top1_positive_improvement,is_improved,top1_hit_top05,top1_hit_top10,rank_of_pool_oracle
GMM,2,42,6,0.04950616309855682,0.3279965060234632,0.0,0.10065134204834114,0.0,-0.0704118012730355,0.004278591924651631,0.3438227672269622,0.11093938567047845,Target-Only,-0.4515434739065007,0.5178007135956362,0.5375426766436863,0.21233775883549258,0.21233775883549258,1.0,0.0,0.0,485
GMM,2,42,6,0.04950616309855682,0.3279965060234632,0.0,0.10065134204834114,0.0,-0.0704118012730355,0.004278591924651631,0.3438227672269622,0.11093938567047845,Source-Region,-0.3261880464523191,0.6431561410498179,0.6676774760679992,0.08698233138131098,0.08698233138131098,1.0,0.0,0.0,330
GMM,2,42,6,0.04950616309855682,0.3279965060234632,0.0,0.10065134204834114,0.0,-0.0704118012730355,0.004278591924651631,0.3438227672269622,0.11093938567047845,Random-Region,-0.17283871448652754,0.7965054730156094,0.8268734914500596,-0.06636700058448056,0.0,0.0,0.0,0.0,460
GMM,2,42,6,0.04950616309855682,0.3279965060234632,0.0,0.10065134204834114,0.0,-0.0704118012730355,0.004278591924651631,0.3438227672269622,0.11093938567047845,Wrong-Source,-0.48234364848682404,0.48700053901531287,0.5055681971764193,0.24313793341581594,0.24313793341581594,1.0,0.0,1.0,458
GMM,2,42,6,0.04950616309855682,0.3279965060234632,0.0,0.10065134204834114,0.0,-0.0704118012730355,0.004278591924651631,0.3438227672269622,0.11093938567047845,Oracle-Target-Region,-0.3742026252260755,0.5951415622760614,0.617832266290788,0.1349969101550674,0.1349969101550674,1.0,0.0,0.0,190
GMM,2,42,6,0.04950616309855682,0.3279965060234632,0.0,0.10065134204834114,0.0,-0.0704118012730355,0.004278591924651631,0.3438227672269622,0.11093938567047845,Hard-Filter,-0.4515434739065007,0.5178007135956362,0.5375426766436863,0.21233775883549258,0.21233775883549258,1.0,0.0,0.0,221
GMM,2,101,6,0.23128108641707257,0.5011194329416656,0.0,0.1878640509237841,0.0,-0.23651288193549375,0.04129879679640602,0.08647120464874428,0.004886511297924501,Target-Only,-0.442492046653962,0.505169161628912,0.5385952767210473,0.15662638987341743,0.15662638987341743,1.0,0.0,0.0,734
GMM,2,101,6,0.23128108641707257,0.5011194329416656,0.0,0.1878640509237841,0.0,-0.23651288193549375,0.04129879679640602,0.08647120464874428,0.004886511297924501,Source-Region,-0.5193982112548833,0.42826299702799075,0.45660037253642705,0.23353255447433868,0.23353255447433868,1.0,0.0,0.0,326
GMM,2,101,6,0.23128108641707257,0.5011194329416656,0.0,0.1878640509237841,0.0,-0.23651288193549375,0.04129879679640602,0.08647120464874428,0.004886511297924501,Random-Region,-0.24092025895821598,0.706740949324658,0.7535046991867378,-0.04494539782232862,0.0,0.0,0.0,0.0,765
GMM,2,101,6,0.23128108641707257,0.5011194329416656,0.0,0.1878640509237841,0.0,-0.23651288193549375,0.04129879679640602,0.08647120464874428,0.004886511297924501,Wrong-Source,-0.2815730483349064,0.6660881599479677,0.7101619894432936,-0.004292608445638224,0.0,0.0,0.0,0.0,443
GMM,2,101,6,0.23128108641707257,0.5011194329416656,0.0,0.1878640509237841,0.0,-0.23651288193549375,0.04129879679640602,0.08647120464874428,0.004886511297924501,Oracle-Target-Region,-0.1181700234607867,0.8294911848220874,0.8843770921929381,-0.1676956333197579,0.0,0.0,0.0,0.0,279
GMM,2,101,6,0.23128108641707257,0.5011194329416656,0.0,0.1878640509237841,0.0,-0.23651288193549375,0.04129879679640602,0.08647120464874428,0.004886511297924501,Hard-Filter,-0.442492046653962,0.505169161628912,0.5385952767210473,0.15662638987341743,0.15662638987341743,1.0,0.0,0.0,357
GMM,2,2026,6,0.10989777722622063,0.7513299504377761,0.0,0.5014948809886841,0.0,0.10726969074046515,0.00756293087836124,0.4581886779789559,0.1849438024435227,Target-Only,-0.3892398528875258,0.5940699035792074,0.6145763212577974,-0.07579082658243819,0.0,0.0,0.0,0.0,789
GMM,2,2026,6,0.10989777722622063,0.7513299504377761,0.0,0.5014948809886841,0.0,0.10726969074046515,0.00756293087836124,0.4581886779789559,0.1849438024435227,Source-Region,-0.5997354753626779,0.3835742811040552,0.3968147000710731,0.13470479589271395,0.13470479589271395,1.0,1.0,1.0,297
GMM,2,2026,6,0.10989777722622063,0.7513299504377761,0.0,0.5014948809886841,0.0,0.10726969074046515,0.00756293087836124,0.4581886779789559,0.1849438024435227,Random-Region,-0.5088936756856007,0.4744160807811324,0.4907922248128767,0.043862996215636774,0.043862996215636774,1.0,0.0,1.0,606
GMM,2,2026,6,0.10989777722622063,0.7513299504377761,0.0,0.5014948809886841,0.0,0.10726969074046515,0.00756293087836124,0.4581886779789559,0.1849438024435227,Wrong-Source,-0.5680810388827687,0.4152287175839644,0.4295618010538068,0.10305035941280477,0.10305035941280477,1.0,0.0,1.0,929
GMM,2,2026,6,0.10989777722622063,0.7513299504377761,0.0,0.5014948809886841,0.0,0.10726969074046515,0.00756293087836124,0.4581886779789559,0.1849438024435227,Oracle-Target-Region,-0.13688522164805145,0.8464245348186816,0.875641862509957,-0.3281454578219125,0.0,0.0,0.0,0.0,259
GMM,2,2026,6,0.10989777722622063,0.7513299504377761,0.0,0.5014948809886841,0.0,0.10726969074046515,0.00756293087836124,0.4581886779789559,0.1849438024435227,Hard-Filter,-0.3892398528875258,0.5940699035792074,0.6145763212577974,-0.07579082658243819,0.0,0.0,0.0,0.0,367
GMM,2,777,6,0.012200406341978609,0.744370780644922,0.0,0.5469899601997354,0.0,-0.10153624361070507,0.009749260300072726,0.4131793142304907,0.16514188960997034,Target-Only,-0.5580595063646447,0.4144313852912963,0.42934127293927604,-0.11497257843735409,0.0,0.0,0.0,0.0,968
GMM,2,777,6,0.012200406341978609,0.744370780644922,0.0,0.5469899601997354,0.0,-0.10153624361070507,0.009749260300072726,0.4131793142304907,0.16514188960997034,Source-Region,-0.5605332098824127,0.4119576817735283,0.4267785736484239,-0.1124988749195861,0.0,0.0,0.0,1.0,448
GMM,2,777,6,0.012200406341978609,0.744370780644922,0.0,0.5469899601997354,0.0,-0.10153624361070507,0.009749260300072726,0.4131793142304907,0.16514188960997034,Random-Region,-0.28285034027394135,0.6896405513819996,0.714451565951683,-0.3901817445280575,0.0,0.0,0.0,0.0,726
GMM,2,777,6,0.012200406341978609,0.744370780644922,0.0,0.5469899601997354,0.0,-0.10153624361070507,0.009749260300072726,0.4131793142304907,0.16514188960997034,Wrong-Source,-0.65800199676989,0.31448889488605103,0.32580317815635046,-0.015030088032108813,0.0,0.0,0.0,1.0,589
GMM,2,777,6,0.012200406341978609,0.744370780644922,0.0,0.5469899601997354,0.0,-0.10153624361070507,0.009749260300072726,0.4131793142304907,0.16514188960997034,Oracle-Target-Region,-0.8980047403917046,0.07448615126423641,0.07716591970382886,0.2249726555897058,0.2249726555897058,1.0,1.0,1.0,456
GMM,2,777,6,0.012200406341978609,0.744370780644922,0.0,0.5469899601997354,0.0,-0.10153624361070507,0.009749260300072726,0.4131793142304907,0.16514188960997034,Hard-Filter,-0.5580595063646447,0.4144313852912963,0.42934127293927604,-0.11497257843735409,0.0,0.0,0.0,0.0,373
GMM,2,999,6,-0.00022371257361375463,0.3394414015484622,0.0,0.11264836054849037,0.0,0.01641678385148417,-0.0009978518529942804,0.3388917904305849,0.11326829209144162,Target-Only,-0.32782248840031375,0.6617214665164208,0.6767070794665832,-0.16303765325068736,0.0,0.0,0.0,0.0,452
GMM,2,999,6,-0.00022371257361375463,0.3394414015484622,0.0,0.11264836054849037,0.0,0.01641678385148417,-0.0009978518529942804,0.3388917904305849,0.11326829209144162,Source-Region,-0.47917907841698226,0.5103648764997523,0.5219228066706528,-0.011681063234018851,0.0,0.0,0.0,0.0,169
GMM,2,999,6,-0.00022371257361375463,0.3394414015484622,0.0,0.11264836054849037,0.0,0.01641678385148417,-0.0009978518529942804,0.3388917904305849,0.11326829209144162,Random-Region,-0.2673058285287777,0.7222381263879568,0.7385942241837229,-0.2235543131222234,0.0,0.0,0.0,0.0,291
GMM,2,999,6,-0.00022371257361375463,0.3394414015484622,0.0,0.11264836054849037,0.0,0.01641678385148417,-0.0009978518529942804,0.3388917904305849,0.11326829209144162,Wrong-Source,-0.47917907841698226,0.5103648764997523,0.5219228066706528,-0.011681063234018851,0.0,0.0,0.0,0.0,212
GMM,2,999,6,-0.00022371257361375463,0.3394414015484622,0.0,0.11264836054849037,0.0,0.01641678385148417,-0.0009978518529942804,0.3388917904305849,0.11326829209144162,Oracle-Target-Region,-0.9301525007420127,0.0593914541747218,0.060736457155349144,0.4392923590910116,0.4392923590910116,1.0,1.0,1.0,26
GMM,2,999,6,-0.00022371257361375463,0.3394414015484622,0.0,0.11264836054849037,0.0,0.01641678385148417,-0.0009978518529942804,0.3388917904305849,0.11326829209144162,Hard-Filter,-0.32782248840031375,0.6617214665164208,0.6767070794665832,-0.16303765325068736,0.0,0.0,0.0,0.0,97
GMM,2,1234,6,0.0013148735411885326,0.5273858846973569,0.0,0.27559047459077446,0.0,-0.18528600126418623,0.03392576580778839,0.435266321414717,0.18877716179066895,Target-Only,-0.16794402241839143,0.8270124696265083,0.8406540415111915,0.019776956728393413,0.019776956728393413,1.0,0.0,0.0,645
GMM,2,1234,6,0.0013148735411885326,0.5273858846973569,0.0,0.27559047459077446,0.0,-0.18528600126418623,0.03392576580778839,0.435266321414717,0.18877716179066895,Source-Region,-0.17392393290432612,0.8210325591405736,0.8345754923931276,0.0257568672143281,0.0257568672143281,1.0,0.0,0.0,236
GMM,2,1234,6,0.0013148735411885326,0.5273858846973569,0.0,0.27559047459077446,0.0,-0.18528600126418623,0.03392576580778839,0.435266321414717,0.18877716179066895,Random-Region,-0.12471871860436175,0.870237773440538,0.8845923467742595,-0.02344834708563627,0.0,0.0,0.0,0.0,677
GMM,2,1234,6,0.0013148735411885326,0.5273858846973569,0.0,0.27559047459077446,0.0,-0.18528600126418623,0.03392576580778839,0.435266321414717,0.18877716179066895,Wrong-Source,-0.19607492935978751,0.7988815626851122,0.8120591152190405,0.0479078636697895,0.0479078636697895,1.0,0.0,0.0,369
GMM,2,1234,6,0.0013148735411885326,0.5273858846973569,0.0,0.27559047459077446,0.0,-0.18528600126418623,0.03392576580778839,0.435266321414717,0.18877716179066895,Oracle-Target-Region,-0.14135939528799193,0.8535970967569079,0.8676771821046234,-0.006807670402006083,0.0,0.0,0.0,0.0,190
GMM,2,1234,6,0.0013148735411885326,0.5273858846973569,0.0,0.27559047459077446,0.0,-0.18528600126418623,0.03392576580778839,0.435266321414717,0.18877716179066895,Hard-Filter,-0.12295662176990273,0.871999870274997,0.8863835093985558,-0.02521044392009529,0.0,0.0,0.0,0.0,211
GMM,2,5678,6,-0.0010920017029365514,0.6009418333334758,0.0,0.3593131548518208,0.0,0.03892538646861597,-0.0030249953501331195,0.2512498846847852,0.06189872908181959,Target-Only,-0.1810134897671786,0.8179260140391387,0.8253513618968256,-0.006250793570565544,0.0,0.0,0.0,0.0,36
GMM,2,5678,6,-0.0010920017029365514,0.6009418333334758,0.0,0.3593131548518208,0.0,0.03892538646861597,-0.0030249953501331195,0.2512498846847852,0.06189872908181959,Source-Region,-0.8034589011586304,0.19548060264768685,0.19725522706257909,0.6161946178208862,0.6161946178208862,1.0,1.0,1.0,56
GMM,2,5678,6,-0.0010920017029365514,0.6009418333334758,0.0,0.3593131548518208,0.0,0.03892538646861597,-0.0030249953501331195,0.2512498846847852,0.06189872908181959,Random-Region,-0.4453104544372952,0.553629049369022,0.5586550397460548,0.2580461710995511,0.2580461710995511,1.0,0.0,0.0,447
GMM,2,5678,6,-0.0010920017029365514,0.6009418333334758,0.0,0.3593131548518208,0.0,0.03892538646861597,-0.0030249953501331195,0.2512498846847852,0.06189872908181959,Wrong-Source,-0.4697564902418313,0.5291830135644859,0.5339870763875902,0.28249220690408716,0.28249220690408716,1.0,0.0,0.0,182
GMM,2,5678,6,-0.0010920017029365514,0.6009418333334758,0.0,0.3593131548518208,0.0,0.03892538646861597,-0.0030249953501331195,0.2512498846847852,0.06189872908181959,Oracle-Target-Region,-0.9989395038063172,0.0,0.0,0.8116752204685731,0.8116752204685731,1.0,1.0,1.0,0
GMM,2,5678,6,-0.0010920017029365514,0.6009418333334758,0.0,0.3593131548518208,0.0,0.03892538646861597,-0.0030249953501331195,0.2512498846847852,0.06189872908181959,Hard-Filter,-0.15209405298066056,0.8468454508256567,0.8545333369500112,-0.03517023035708358,0.0,0.0,0.0,0.0,23
GMM,2,8888,6,0.09670129814843587,0.6359570128635517,0.0,0.35955490607720153,0.0,0.12181096028283764,0.01245397073228649,0.3602028469445204,0.11670897343107012,Target-Only,-0.4965314486036311,0.4576542394503036,0.4815192054506199,0.3632898159316007,0.3632898159316007,1.0,0.0,1.0,688
