dimension,panel,seed,relation,control,relation_or_control,condition,shell,method,baseline,metric,baseline_value,method_value,delta,delta_mean,ci_low,ci_high,seed_win_rate,n_seed_units,n_pair_units
2,test,11,identity,identity_label_permutation,identity_label_permutation,identity_label_permutation,0.35,rank,geometry,pairwise_accuracy,0.8174212598425197,0.8086860236220472,-0.008735236220472453,-0.029373769685039353,-0.09900959645669292,0.027070004921259848,0.375,8,8
2,test,11,identity,identity_label_permutation,identity_label_permutation,identity_label_permutation,0.35,rank,geometry,ndcg_at_top,0.9523000159204512,0.9641660654480296,0.011866049527578415,-0.07884563543892659,-0.28001444573794754,0.03502958075846943,0.625,8,8
2,test,11,identity,identity_label_permutation,identity_label_permutation,identity_label_permutation,0.35,rank,geometry,normalized_top1_regret,0.0040070110274749,0.0,0.0040070110274749,-0.1132536852163509,-0.35690139478136096,0.018845744991759426,0.5,8,8
2,test,11,identity,identity_label_permutation,identity_label_permutation,identity_label_permutation,0.35,rank,geometry,standardized_rmse,0.7445795859773063,0.7442179514323104,0.00036163454499593684,-0.21809935736786532,-0.6423117165419809,0.046321256934100455,0.375,8,8
2,test,11,identity,identity_label_permutation,identity_label_permutation,identity_label_permutation,0.35,rank,geometry,spearman,0.8184112342061892,0.8236415033876578,0.0052302691814686275,-0.08089463926020869,-0.2703120350553927,0.05096375864081667,0.5,8,8
2,test,11,identity,identity_label_permutation,identity_label_permutation,identity_label_permutation,0.35,rank,geometry,precision_at_top,0.6923076923076923,0.6923076923076923,0.0,-0.038461538461538464,-0.22115384615384615,0.1826923076923077,0.125,8,8
2,test,11,identity,identity_label_permutation,identity_label_permutation,identity_label_permutation,0.35,rank,geometry,mean_negative_log_likelihood,-2.4294656568653976,-2.0682051694534263,0.36126048741197136,0.6201023834201509,-0.2368539281836556,2.0010473032583374,0.625,8,8
2,test,11,identity,identity_label_permutation,identity_label_permutation,identity_label_permutation,0.35,rank,geometry,interval_coverage_95,1.0,1.0,0.0,0.09375,-0.060546875,0.2236328125,0.625,8,8
2,test,11,identity,identity_label_permutation,identity_label_permutation,identity_label_permutation,0.35,value,geometry,pairwise_accuracy,0.8174212598425197,0.8220964566929134,0.004675196850393748,-0.013118233267716523,-0.061070912278543325,0.030272668553149612,0.5,8,8
2,test,11,identity,identity_label_permutation,identity_label_permutation,identity_label_permutation,0.35,value,geometry,ndcg_at_top,0.9523000159204512,0.9672768073076328,0.014976791387181554,0.011301684585739033,-0.009068135671272013,0.03192460065841083,0.625,8,8
2,test,11,identity,identity_label_permutation,identity_label_permutation,identity_label_permutation,0.35,value,geometry,normalized_top1_regret,0.0040070110274749,0.0,0.0040070110274749,0.005476758684935013,-0.025529162397558463,0.03273215948590394,0.625,8,8
2,test,11,identity,identity_label_permutation,identity_label_permutation,identity_label_permutation,0.35,value,geometry,standardized_rmse,0.7445795859773063,0.7111922828097745,0.0333873031675318,-0.1729616564581885,-0.44571772146582833,0.05640554064844544,0.375,8,8
2,test,11,identity,identity_label_permutation,identity_label_permutation,identity_label_permutation,0.35,value,geometry,spearman,0.8184112342061892,0.835744369163157,0.017333134956967755,-0.04395443256729531,-0.17475121887017028,0.054935583712919,0.5,8,8
2,test,11,identity,identity_label_permutation,identity_label_permutation,identity_label_permutation,0.35,value,geometry,precision_at_top,0.6923076923076923,0.6923076923076923,0.0,0.019230769230769225,-0.048076923076923114,0.08653846153846155,0.25,8,8
