dimension,panel,seed,relation,control,relation_or_control,condition,shell,method,n_rows,pairwise_accuracy,ndcg_at_top,normalized_top1_regret,standardized_rmse,spearman,precision_at_top,mean_negative_log_likelihood,interval_coverage_95
2,test,11,identity,identity_label_permutation,identity_label_permutation,identity_label_permutation,0.35,dual,1,0.8086860236220472,0.9641660654480296,0.0,0.7442179514625137,0.8236415033876578,0.6923076923076923,-2.068205169368622,1.0
2,test,11,identity,identity_label_permutation,identity_label_permutation,identity_label_permutation,0.35,geometry,1,0.8174212598425197,0.9523000159204512,0.0040070110274749,0.7445795859773063,0.8184112342061892,0.6923076923076923,-2.4294656568653976,1.0
2,test,11,identity,identity_label_permutation,identity_label_permutation,identity_label_permutation,0.35,rank,1,0.8086860236220472,0.9641660654480296,0.0,0.7442179514323104,0.8236415033876578,0.6923076923076923,-2.0682051694534263,1.0
2,test,11,identity,identity_label_permutation,identity_label_permutation,identity_label_permutation,0.35,target_only,1,0.8220964566929134,0.9672768073076328,0.0,0.7111922828097745,0.835744369163157,0.6923076923076923,-2.173786456140653,1.0
2,test,11,identity,identity_label_permutation,identity_label_permutation,identity_label_permutation,0.35,value,1,0.8220964566929134,0.9672768073076328,0.0,0.7111922828097745,0.835744369163157,0.6923076923076923,-2.173786456140653,1.0
2,test,11,identity,identity_label_permutation,identity_label_permutation,identity_label_permutation,0.7,dual,1,0.8699557086614174,0.960104781692631,0.0,1.6322018876291575,0.9014317432704632,0.6923076923076923,-0.5408274916927531,0.78125
2,test,11,identity,identity_label_permutation,identity_label_permutation,identity_label_permutation,0.7,geometry,1,0.8697096456692913,0.9480729491974652,0.0023626035374125,1.0726127154392135,0.9115661051089544,0.5384615384615384,-0.9577297957663636,0.796875
2,test,11,identity,identity_label_permutation,identity_label_permutation,identity_label_permutation,0.7,rank,1,0.8699557086614174,0.960104781692631,0.0,1.6322018876390425,0.9014317432704632,0.6923076923076923,-0.5408274916866993,0.78125
2,test,11,identity,identity_label_permutation,identity_label_permutation,identity_label_permutation,0.7,target_only,1,0.8647883858267716,0.9662742401108232,0.0,1.660682452574072,0.8923960813037906,0.6923076923076923,-0.5174980784792141,0.78125
2,test,11,identity,identity_label_permutation,identity_label_permutation,identity_label_permutation,0.7,value,1,0.8647883858267716,0.9662742401108232,0.0,1.660682452574072,0.8923960813037906,0.6923076923076923,-0.5174980784792141,0.78125
2,test,11,identity,identity_label_permutation,identity_label_permutation,identity_label_permutation,1.0,dual,1,0.8544537401574803,0.9775141266759876,0.0,0.6051727391453312,0.8765507690899103,0.7692307692307693,-0.674007098938646,0.90625
2,test,11,identity,identity_label_permutation,identity_label_permutation,identity_label_permutation,1.0,geometry,1,0.8304625984251969,0.8656857791705586,0.0769570402605366,0.4989944484997403,0.857695477018861,0.2307692307692307,-0.6120888002687748,0.84375
2,test,11,identity,identity_label_permutation,identity_label_permutation,identity_label_permutation,1.0,rank,1,0.8544537401574803,0.9775141266759876,0.0,0.6051727391656067,0.8765507690899103,0.7692307692307693,-0.6740070989133699,0.90625
2,test,11,identity,identity_label_permutation,identity_label_permutation,identity_label_permutation,1.0,target_only,1,0.8377214566929134,0.938120893417529,0.0,0.6492962882852624,0.8544222669840689,0.4615384615384615,-0.6136183909971485,0.90625
2,test,11,identity,identity_label_permutation,identity_label_permutation,identity_label_permutation,1.0,value,1,0.8377214566929134,0.938120893417529,0.0,0.6492962882852624,0.8544222669840689,0.4615384615384615,-0.6136183909971485,0.90625
2,test,11,identity,none,identity,identity,0.35,dual,1,0.9290108267716536,0.9755301749088254,0.0008889656006722,0.1077480204490951,0.9620433528657756,0.7692307692307693,-4.243782897766611,0.984375
2,test,11,identity,none,identity,identity,0.35,geometry,1,0.8174212598425197,0.9523000159204512,0.0040070110274749,0.7445795859773063,0.8184112342061892,0.6923076923076923,-2.4294656568653976,1.0
2,test,11,identity,none,identity,identity,0.35,rank,1,0.8989911417322834,0.96012972173589,0.0040070110274749,0.2415038373732072,0.9348333638527742,0.6923076923076923,-3.4351864046145417,0.9609375
2,test,11,identity,none,identity,identity,0.35,target_only,1,0.8220964566929134,0.9672768073076328,0.0,0.7111922828097745,0.835744369163157,0.6923076923076923,-2.173786456140653,1.0
2,test,11,identity,none,identity,identity,0.35,value,1,0.9422982283464568,0.9938218478921298,0.0,0.0485670143189061,0.9674510162973814,0.9230769230769232,-4.651431570235446,1.0
2,test,11,identity,none,identity,identity,0.7,dual,1,0.843996062992126,0.9917226894980412,0.0049894523771315,0.5498301415233388,0.8409860831349569,0.8461538461538461,7.264062741420883,0.328125
2,test,11,identity,none,identity,identity,0.7,geometry,1,0.8697096456692913,0.9480729491974652,0.0023626035374125,1.0726127154392135,0.9115661051089544,0.5384615384615384,-0.9577297957663636,0.796875
2,test,11,identity,none,identity,identity,0.7,rank,1,0.8101624015748031,0.9908258474858354,0.0049894523771315,1.1541840007871644,0.7963800128181652,0.8461538461538461,6.86931895313339,0.3515625
2,test,11,identity,none,identity,identity,0.7,target_only,1,0.8647883858267716,0.9662742401108232,0.0,1.660682452574072,0.8923960813037906,0.6923076923076923,-0.5174980784792141,0.78125
2,test,11,identity,none,identity,identity,0.7,value,1,0.9104330708661418,0.9996119602696422,0.0,0.1880692953948579,0.9293169749130196,1.0,-2.663926920133283,0.6640625
2,test,11,identity,none,identity,identity,1.0,dual,1,0.9340551181102362,0.9908408062449904,0.003402620695572,0.2098125652950309,0.9687614447903314,0.7692307692307693,4.332136214724127,0.2578125
2,test,11,identity,none,identity,identity,1.0,geometry,1,0.8304625984251969,0.8656857791705586,0.0769570402605366,0.4989944484997403,0.857695477018861,0.2307692307692307,-0.6120888002687748,0.84375
2,test,11,identity,none,identity,identity,1.0,rank,1,0.8759842519685039,0.983243839448389,0.003402620695572,0.4471510152405412,0.908933803332723,0.6923076923076923,4.435157129399508,0.2734375
2,test,11,identity,none,identity,identity,1.0,target_only,1,0.8377214566929134,0.938120893417529,0.0,0.6492962882852624,0.8544222669840689,0.4615384615384615,-0.6136183909971485,0.90625
2,test,11,identity,none,identity,identity,1.0,value,1,0.9649360236220472,0.9992974086685192,0.0,0.0697072848093763,0.987382118659586,0.9230769230769232,-2.61224794671266,0.84375
2,test,11,independent_expert,none,independent_expert,independent_expert,0.35,dual,1,0.8220964566929134,0.9672768073076328,0.0,0.7111922828241581,0.835744369163157,0.6923076923076923,-2.173786456132018,1.0
2,test,11,independent_expert,none,independent_expert,independent_expert,0.35,geometry,1,0.8174212598425197,0.9523000159204512,0.0040070110274749,0.7445795859773063,0.8184112342061892,0.6923076923076923,-2.4294656568653976,1.0
2,test,11,independent_expert,none,independent_expert,independent_expert,0.35,rank,1,0.8220964566929134,0.9672768073076328,0.0,0.7111922832836091,0.835744369163157,0.6923076923076923,-2.1737864558496574,1.0
2,test,11,independent_expert,none,independent_expert,independent_expert,0.35,target_only,1,0.8220964566929134,0.9672768073076328,0.0,0.7111922828097745,0.835744369163157,0.6923076923076923,-2.173786456140653,1.0
2,test,11,independent_expert,none,independent_expert,independent_expert,0.35,value,1,0.8220964566929134,0.9672768073076328,0.0,0.7111922828097745,0.835744369163157,0.6923076923076923,-2.173786456140653,1.0
2,test,11,independent_expert,none,independent_expert,independent_expert,0.7,dual,1,0.8647883858267716,0.9662742401108232,0.0,1.6606824525785355,0.8923960813037906,0.6923076923076923,-0.5174980784714903,0.78125
2,test,11,independent_expert,none,independent_expert,independent_expert,0.7,geometry,1,0.8697096456692913,0.9480729491974652,0.0023626035374125,1.0726127154392135,0.9115661051089544,0.5384615384615384,-0.9577297957663636,0.796875
