seed,dimension,relation,control,relation_or_control,shell,panel,method,model_seed,standardized_rmse,ndcg_at_top,spearman,pairwise_accuracy,precision_at_top,normalized_top1_regret,mean_negative_log_likelihood,interval_coverage_95,n_test,effective_mode,prior_names,prior_coefficients,source_data_hash,source_query_transform,source_context_query_hash,source_test_query_hash,target_context_design_hash,target_test_design_hash,target_test_truth_hash,srmse_delta_vs_target_only,negative_transfer
11,2,identity,none,identity,0.35,test,Target-Only,1343501679,0.7111922828097745,0.9672768073076329,0.835744369163157,0.8220964566929134,0.6923076923076923,0.0,-2.173786456140653,1.0,128,target_only,none,[],77162a3317b3cc419500a9a83f350de1fbb6e974953a87c77096d6e3cf0eb6c0,identity,5c31872fb5b63ca51804fd284f1b92baf550c90c3147d9a15343637ee8299b81,0af4734d604e41783fc922434b3859418663f183ae2b80093197a60102c0d3f7,5c31872fb5b63ca51804fd284f1b92baf550c90c3147d9a15343637ee8299b81,0af4734d604e41783fc922434b3859418663f183ae2b80093197a60102c0d3f7,96e2d1122ba8ac5554d788ad65de9946e550a73096fc6fab6952ed49b5ff082a,0.0,False
11,2,identity,none,identity,0.35,test,Geometry-Prior+Residual,1343501679,0.7445795859773063,0.9523000159204513,0.8184112342061892,0.8174212598425197,0.6923076923076923,0.004007011027474997,-2.4294656568653976,1.0,128,calibrated,geometry,[0.2520798240145541],77162a3317b3cc419500a9a83f350de1fbb6e974953a87c77096d6e3cf0eb6c0,identity,5c31872fb5b63ca51804fd284f1b92baf550c90c3147d9a15343637ee8299b81,0af4734d604e41783fc922434b3859418663f183ae2b80093197a60102c0d3f7,5c31872fb5b63ca51804fd284f1b92baf550c90c3147d9a15343637ee8299b81,0af4734d604e41783fc922434b3859418663f183ae2b80093197a60102c0d3f7,96e2d1122ba8ac5554d788ad65de9946e550a73096fc6fab6952ed49b5ff082a,0.0333873031675318,True
11,2,identity,none,identity,0.35,test,Oracle-Rank+Residual,1343501679,0.24150383737320724,0.96012972173589,0.9348333638527742,0.8989911417322834,0.6923076923076923,0.004007011027474997,-3.4351864046145417,0.9609375,128,calibrated,oracle_rank,[0.30563037879513183],77162a3317b3cc419500a9a83f350de1fbb6e974953a87c77096d6e3cf0eb6c0,identity,5c31872fb5b63ca51804fd284f1b92baf550c90c3147d9a15343637ee8299b81,0af4734d604e41783fc922434b3859418663f183ae2b80093197a60102c0d3f7,5c31872fb5b63ca51804fd284f1b92baf550c90c3147d9a15343637ee8299b81,0af4734d604e41783fc922434b3859418663f183ae2b80093197a60102c0d3f7,96e2d1122ba8ac5554d788ad65de9946e550a73096fc6fab6952ed49b5ff082a,-0.4696884454365673,False
11,2,identity,none,identity,0.35,test,Oracle-Value+Residual,1343501679,0.048567014318906185,0.9938218478921298,0.9674510162973814,0.9422982283464567,0.9230769230769231,0.0,-4.651431570235446,1.0,128,calibrated,oracle_value,[0.3101707791745171],77162a3317b3cc419500a9a83f350de1fbb6e974953a87c77096d6e3cf0eb6c0,identity,5c31872fb5b63ca51804fd284f1b92baf550c90c3147d9a15343637ee8299b81,0af4734d604e41783fc922434b3859418663f183ae2b80093197a60102c0d3f7,5c31872fb5b63ca51804fd284f1b92baf550c90c3147d9a15343637ee8299b81,0af4734d604e41783fc922434b3859418663f183ae2b80093197a60102c0d3f7,96e2d1122ba8ac5554d788ad65de9946e550a73096fc6fab6952ed49b5ff082a,-0.6626252684908683,False
11,2,identity,none,identity,0.35,test,Oracle-Rank+Value+Residual,1343501679,0.10774802044909516,0.9755301749088254,0.9620433528657756,0.9290108267716536,0.7692307692307693,0.0008889656006722163,-4.243782897766611,0.984375,128,calibrated,oracle_rank|oracle_value,"[0.13678978976448633, 0.18600155665592513]",77162a3317b3cc419500a9a83f350de1fbb6e974953a87c77096d6e3cf0eb6c0,identity,5c31872fb5b63ca51804fd284f1b92baf550c90c3147d9a15343637ee8299b81,0af4734d604e41783fc922434b3859418663f183ae2b80093197a60102c0d3f7,5c31872fb5b63ca51804fd284f1b92baf550c90c3147d9a15343637ee8299b81,0af4734d604e41783fc922434b3859418663f183ae2b80093197a60102c0d3f7,96e2d1122ba8ac5554d788ad65de9946e550a73096fc6fab6952ed49b5ff082a,-0.6034442623606794,False
11,2,identity,none,identity,0.7,test,Target-Only,651802812,1.660682452574072,0.9662742401108233,0.8923960813037906,0.8647883858267716,0.6923076923076923,0.0,-0.5174980784792141,0.78125,128,target_only,none,[],77162a3317b3cc419500a9a83f350de1fbb6e974953a87c77096d6e3cf0eb6c0,identity,5c31872fb5b63ca51804fd284f1b92baf550c90c3147d9a15343637ee8299b81,565c12d7b0d9827858cc79f49175e28cd3a10c14fc8d245966b1ea6bb7aab1ae,5c31872fb5b63ca51804fd284f1b92baf550c90c3147d9a15343637ee8299b81,565c12d7b0d9827858cc79f49175e28cd3a10c14fc8d245966b1ea6bb7aab1ae,065310cf2c5e65a89e3f044bb033c3049dfd5f89b9144ef6ea1212bc7888aec1,0.0,False
11,2,identity,none,identity,0.7,test,Geometry-Prior+Residual,651802812,1.0726127154392135,0.9480729491974651,0.9115661051089544,0.8697096456692913,0.5384615384615384,0.0023626035374125134,-0.9577297957663635,0.796875,128,calibrated,geometry,[0.2520798240145541],77162a3317b3cc419500a9a83f350de1fbb6e974953a87c77096d6e3cf0eb6c0,identity,5c31872fb5b63ca51804fd284f1b92baf550c90c3147d9a15343637ee8299b81,565c12d7b0d9827858cc79f49175e28cd3a10c14fc8d245966b1ea6bb7aab1ae,5c31872fb5b63ca51804fd284f1b92baf550c90c3147d9a15343637ee8299b81,565c12d7b0d9827858cc79f49175e28cd3a10c14fc8d245966b1ea6bb7aab1ae,065310cf2c5e65a89e3f044bb033c3049dfd5f89b9144ef6ea1212bc7888aec1,-0.5880697371348584,False
11,2,identity,none,identity,0.7,test,Oracle-Rank+Residual,651802812,1.1541840007871644,0.9908258474858354,0.7963800128181652,0.8101624015748031,0.8461538461538461,0.004989452377131575,6.86931895313339,0.3515625,128,calibrated,oracle_rank,[0.30563037879513183],77162a3317b3cc419500a9a83f350de1fbb6e974953a87c77096d6e3cf0eb6c0,identity,5c31872fb5b63ca51804fd284f1b92baf550c90c3147d9a15343637ee8299b81,565c12d7b0d9827858cc79f49175e28cd3a10c14fc8d245966b1ea6bb7aab1ae,5c31872fb5b63ca51804fd284f1b92baf550c90c3147d9a15343637ee8299b81,565c12d7b0d9827858cc79f49175e28cd3a10c14fc8d245966b1ea6bb7aab1ae,065310cf2c5e65a89e3f044bb033c3049dfd5f89b9144ef6ea1212bc7888aec1,-0.5064984517869076,False
11,2,identity,none,identity,0.7,test,Oracle-Value+Residual,651802812,0.18806929539485792,0.9996119602696422,0.9293169749130196,0.9104330708661418,1.0,0.0,-2.663926920133283,0.6640625,128,calibrated,oracle_value,[0.3101707791745171],77162a3317b3cc419500a9a83f350de1fbb6e974953a87c77096d6e3cf0eb6c0,identity,5c31872fb5b63ca51804fd284f1b92baf550c90c3147d9a15343637ee8299b81,565c12d7b0d9827858cc79f49175e28cd3a10c14fc8d245966b1ea6bb7aab1ae,5c31872fb5b63ca51804fd284f1b92baf550c90c3147d9a15343637ee8299b81,565c12d7b0d9827858cc79f49175e28cd3a10c14fc8d245966b1ea6bb7aab1ae,065310cf2c5e65a89e3f044bb033c3049dfd5f89b9144ef6ea1212bc7888aec1,-1.472613157179214,False
11,2,identity,none,identity,0.7,test,Oracle-Rank+Value+Residual,651802812,0.5498301415233388,0.9917226894980413,0.8409860831349569,0.843996062992126,0.8461538461538461,0.004989452377131575,7.264062741420883,0.328125,128,calibrated,oracle_rank|oracle_value,"[0.13678978976448633, 0.18600155665592513]",77162a3317b3cc419500a9a83f350de1fbb6e974953a87c77096d6e3cf0eb6c0,identity,5c31872fb5b63ca51804fd284f1b92baf550c90c3147d9a15343637ee8299b81,565c12d7b0d9827858cc79f49175e28cd3a10c14fc8d245966b1ea6bb7aab1ae,5c31872fb5b63ca51804fd284f1b92baf550c90c3147d9a15343637ee8299b81,565c12d7b0d9827858cc79f49175e28cd3a10c14fc8d245966b1ea6bb7aab1ae,065310cf2c5e65a89e3f044bb033c3049dfd5f89b9144ef6ea1212bc7888aec1,-1.1108523110507331,False
