seed,relation,control,relation_or_control,condition,shell,method,n_rows,pairwise_accuracy,ndcg_at_top,normalized_top1_regret,standardized_rmse,spearman,precision_at_top,mean_negative_log_likelihood,interval_coverage_95
11,identity,identity_label_permutation,identity_label_permutation,identity_label_permutation,0.35,dual,1,0.8330462598425197,0.938530198971288,0.0,0.7261754014989288,0.8522077000549351,0.4615384615384615,-2.0362890324233454,1.0
11,identity,identity_label_permutation,identity_label_permutation,identity_label_permutation,0.35,geometry,1,0.8644192913385826,0.8912542441581371,0.0604826996597621,0.650495393599426,0.9038809284013916,0.4615384615384615,-2.089344002813716,0.78125
11,identity,identity_label_permutation,identity_label_permutation,identity_label_permutation,0.35,rank,1,0.8330462598425197,0.938530198971288,0.0,0.7261754018866058,0.8522077000549351,0.4615384615384615,-2.036289031694805,1.0
11,identity,identity_label_permutation,identity_label_permutation,identity_label_permutation,0.35,target_only,1,0.859375,0.9279942052699574,0.008472665198335,0.5840298250022368,0.8963502563633032,0.4615384615384615,-2.2203579716664863,1.0
11,identity,identity_label_permutation,identity_label_permutation,identity_label_permutation,0.35,value,1,0.859375,0.9279942052699574,0.008472665198335,0.5840298250022368,0.8963502563633032,0.4615384615384615,-2.2203579716664863,1.0
11,identity,identity_label_permutation,identity_label_permutation,identity_label_permutation,0.7,dual,1,0.7736220472440944,0.926139660737512,0.0622331979600484,1.3571401282010669,0.7592588353781359,0.5384615384615384,-0.8197895935799694,0.828125
11,identity,identity_label_permutation,identity_label_permutation,identity_label_permutation,0.7,geometry,1,0.7952755905511811,0.9246168611975488,0.0622331979600484,0.9768705568933556,0.8035158395898188,0.5384615384615384,-0.7727004225681922,0.7265625
11,identity,identity_label_permutation,identity_label_permutation,identity_label_permutation,0.7,rank,1,0.7736220472440944,0.926139660737512,0.0622331979600484,1.3571401283781348,0.7592588353781359,0.5384615384615384,-0.8197895936111097,0.828125
11,identity,identity_label_permutation,identity_label_permutation,identity_label_permutation,0.7,target_only,1,0.7662401574803149,0.8611096820359903,0.1458937437463705,1.26194834759258,0.7520371726789965,0.3846153846153846,-0.9648859941995994,0.9140625
11,identity,identity_label_permutation,identity_label_permutation,identity_label_permutation,0.7,value,1,0.7662401574803149,0.8611096820359903,0.1458937437463705,1.26194834759258,0.7520371726789965,0.3846153846153846,-0.9648859941995994,0.9140625
11,identity,identity_label_permutation,identity_label_permutation,identity_label_permutation,1.0,dual,1,0.7198572834645669,0.6329060147477642,0.3093364346265972,0.9608044654654638,0.6460526918146859,0.0,0.3014846714004642,0.7109375
11,identity,identity_label_permutation,identity_label_permutation,identity_label_permutation,1.0,geometry,1,0.7781742125984252,0.9267605770216696,0.0412963205151797,0.65189490336793,0.7771069859000183,0.5384615384615384,0.3195221729126422,0.46875
11,identity,identity_label_permutation,identity_label_permutation,identity_label_permutation,1.0,rank,1,0.7198572834645669,0.6329060147477642,0.3093364346265972,0.9608044654714112,0.6460526918146859,0.0,0.3014846716511222,0.7109375
11,identity,identity_label_permutation,identity_label_permutation,identity_label_permutation,1.0,target_only,1,0.733636811023622,0.7224617751106824,0.2631510590594275,0.9583178988702488,0.6727705548434352,0.0769230769230769,0.339096223035818,0.7109375
11,identity,identity_label_permutation,identity_label_permutation,identity_label_permutation,1.0,value,1,0.733636811023622,0.7224617751106824,0.2631510590594275,0.9583178988702488,0.6727705548434352,0.0769230769230769,0.339096223035818,0.7109375
11,identity,none,identity,identity,0.35,dual,1,0.8973917322834646,0.9874307741905016,0.0,0.1929032770841264,0.9206647134224502,0.8461538461538461,-0.7054565771053803,0.40625
11,identity,none,identity,identity,0.35,geometry,1,0.8644192913385826,0.8912542441581371,0.0604826996597621,0.650495393599426,0.9038809284013916,0.4615384615384615,-2.089344002813716,0.78125
11,identity,none,identity,identity,0.35,rank,1,0.8454724409448819,0.9453200275628968,0.0098766742412257,0.4547905263100251,0.8661760666544588,0.5384615384615384,-0.2516366258888037,0.3359375
11,identity,none,identity,identity,0.35,target_only,1,0.859375,0.9279942052699574,0.008472665198335,0.5840298250022368,0.8963502563633032,0.4615384615384615,-2.2203579716664863,1.0
11,identity,none,identity,identity,0.35,value,1,0.935777559055118,0.996255229029005,0.0,0.0667700822571904,0.9560062259659402,0.9230769230769232,-4.456467326372945,1.0
11,identity,none,identity,identity,0.7,dual,1,0.8217273622047244,0.9982343249425578,0.0,0.2914410607852233,0.7992812671671855,1.0,-0.4504343639126086,0.546875
11,identity,none,identity,identity,0.7,geometry,1,0.7952755905511811,0.9246168611975488,0.0622331979600484,0.9768705568933556,0.8035158395898188,0.5384615384615384,-0.7727004225681922,0.7265625
11,identity,none,identity,identity,0.7,rank,1,0.7709153543307087,0.9877263600991442,0.0161507812353632,0.7058239915123866,0.7117915674784837,0.9230769230769232,0.2348934996491357,0.5234375
11,identity,none,identity,identity,0.7,target_only,1,0.7662401574803149,0.8611096820359903,0.1458937437463705,1.26194834759258,0.7520371726789965,0.3846153846153846,-0.9648859941995994,0.9140625
11,identity,none,identity,identity,0.7,value,1,0.8853346456692913,0.9990512577407116,0.0,0.1119113183506754,0.9097063266800952,1.0,-3.3376319165637183,0.859375
11,identity,none,identity,identity,1.0,dual,1,0.921382874015748,0.997734842413586,0.0109534096356499,0.2338975914700976,0.958569859000183,1.0,9.02616683027098,0.25
11,identity,none,identity,identity,1.0,geometry,1,0.7781742125984252,0.9267605770216696,0.0412963205151797,0.65189490336793,0.7771069859000183,0.5384615384615384,0.3195221729126422,0.46875
11,identity,none,identity,identity,1.0,rank,1,0.8198818897637795,0.9904578589275816,0.0109534096356499,0.5780919245307784,0.8249175975096136,0.9230769230769232,9.642605104215594,0.359375
11,identity,none,identity,identity,1.0,target_only,1,0.733636811023622,0.7224617751106824,0.2631510590594275,0.9583178988702488,0.6727705548434352,0.0769230769230769,0.339096223035818,0.7109375
11,identity,none,identity,identity,1.0,value,1,0.9609990157480316,0.9995088633587323,0.0,0.0780636476101998,0.9864150338765794,1.0,-2.011117206996251,0.75
11,independent_expert,none,independent_expert,independent_expert,0.35,dual,1,0.7549212598425197,0.9435544821186006,0.0060916115782164,3.09951933086219,0.6946816059329792,0.5384615384615384,15.492224591834752,0.1015625
11,independent_expert,none,independent_expert,independent_expert,0.35,geometry,1,0.8644192913385826,0.8912542441581371,0.0604826996597621,0.650495393599426,0.9038809284013916,0.4615384615384615,-2.089344002813716,0.78125
11,independent_expert,none,independent_expert,independent_expert,0.35,rank,1,0.7437253937007874,0.9455016511035108,0.0060916115782164,2.9889233070477697,0.6737033052554476,0.5384615384615384,13.825241947766436,0.15625
11,independent_expert,none,independent_expert,independent_expert,0.35,target_only,1,0.859375,0.9279942052699574,0.008472665198335,0.5840298250022368,0.8963502563633032,0.4615384615384615,-2.2203579716664863,1.0
11,independent_expert,none,independent_expert,independent_expert,0.35,value,1,0.7611958661417323,0.9366818755346734,0.0238016368873211,2.963528582626697,0.7111449368247573,0.5384615384615384,14.130951305239616,0.09375
11,independent_expert,none,independent_expert,independent_expert,0.7,dual,1,0.6199557086614174,0.4966318258960725,0.932106805622496,2.1514405394432576,0.3334783006775315,0.1538461538461538,2.874735018359523,0.3984375
11,independent_expert,none,independent_expert,independent_expert,0.7,geometry,1,0.7952755905511811,0.9246168611975488,0.0622331979600484,0.9768705568933556,0.8035158395898188,0.5384615384615384,-0.7727004225681922,0.7265625
11,independent_expert,none,independent_expert,independent_expert,0.7,rank,1,0.64185531496063,0.5549683552729342,0.932106805622496,2.030178008269722,0.3968996062992125,0.1538461538461538,2.166774219421103,0.453125
11,independent_expert,none,independent_expert,independent_expert,0.7,target_only,1,0.7662401574803149,0.8611096820359903,0.1458937437463705,1.26194834759258,0.7520371726789965,0.3846153846153846,-0.9648859941995994,0.9140625
11,independent_expert,none,independent_expert,independent_expert,0.7,value,1,0.6230314960629921,0.5004470552969716,0.932106805622496,2.10853697936665,0.3396928218275041,0.1538461538461538,2.665718012497116,0.40625
11,independent_expert,none,independent_expert,independent_expert,1.0,dual,1,0.6448080708661418,0.703929633619109,0.232095965716298,1.6706117310479254,0.41804385643655,0.0,9.927825203627034,0.28125
11,independent_expert,none,independent_expert,independent_expert,1.0,geometry,1,0.7781742125984252,0.9267605770216696,0.0412963205151797,0.65189490336793,0.7771069859000183,0.5384615384615384,0.3195221729126422,0.46875
11,independent_expert,none,independent_expert,independent_expert,1.0,rank,1,0.6593257874015748,0.7257163419317598,0.232095965716298,1.6220612142350974,0.4766011261673686,0.0,8.96747460302483,0.2890625
11,independent_expert,none,independent_expert,independent_expert,1.0,target_only,1,0.733636811023622,0.7224617751106824,0.2631510590594275,0.9583178988702488,0.6727705548434352,0.0769230769230769,0.339096223035818,0.7109375
11,independent_expert,none,independent_expert,independent_expert,1.0,value,1,0.6461614173228346,0.7063061227838826,0.232095965716298,1.6468605575339417,0.4195316791796373,0.0,9.63417736811941,0.328125
11,output_affine,none,output_affine,output_affine,0.35,dual,1,0.8973917322834646,0.9874307741905016,0.0,0.1929032770841267,0.9206647134224502,0.8461538461538461,0.2108341547688487,0.40625
11,output_affine,none,output_affine,output_affine,0.35,geometry,1,0.8644192913385826,0.8912542441581371,0.0604826996597631,0.6504953935994265,0.9038809284013916,0.4615384615384615,-1.1730532709395565,0.78125
11,output_affine,none,output_affine,output_affine,0.35,rank,1,0.8454724409448819,0.9453200275628968,0.0098766742412263,0.4547905263100257,0.8661760666544588,0.5384615384615384,0.6646541059853573,0.3359375
11,output_affine,none,output_affine,output_affine,0.35,target_only,1,0.859375,0.9279942052699574,0.008472665198335,0.5840298250022367,0.8963502563633032,0.4615384615384615,-1.3040672397923312,1.0
11,output_affine,none,output_affine,output_affine,0.35,value,1,0.935777559055118,0.996255229029005,0.0,0.0667700822571902,0.9560062259659402,0.9230769230769232,-3.540176594498785,1.0
11,output_affine,none,output_affine,output_affine,0.7,dual,1,0.8217273622047244,0.9982343249425578,0.0,0.2914410607852217,0.7992812671671855,1.0,0.465856367961499,0.546875
11,output_affine,none,output_affine,output_affine,0.7,geometry,1,0.7952755905511811,0.9246168611975488,0.0622331979600494,0.9768705568933546,0.8035158395898188,0.5384615384615384,0.1435903093059604,0.7265625
11,output_affine,none,output_affine,output_affine,0.7,rank,1,0.7709153543307087,0.9877263600991442,0.0161507812353641,0.7058239915123856,0.7117915674784837,0.9230769230769232,1.1511842315232803,0.5234375
11,output_affine,none,output_affine,output_affine,0.7,target_only,1,0.7662401574803149,0.8611096820359903,0.1458937437463707,1.261948347592579,0.7520371726789965,0.3846153846153846,-0.0485952623254458,0.9140625
11,output_affine,none,output_affine,output_affine,0.7,value,1,0.8853346456692913,0.9990512577407116,0.0,0.1119113183506743,0.9097063266800952,1.0,-2.421341184689589,0.859375
11,output_affine,none,output_affine,output_affine,1.0,dual,1,0.921382874015748,0.997734842413586,0.0109534096356499,0.2338975914700978,0.958569859000183,1.0,9.942457562145163,0.25
11,output_affine,none,output_affine,output_affine,1.0,geometry,1,0.7781742125984252,0.9267605770216696,0.0412963205151794,0.6518949033679302,0.7771069859000183,0.5384615384615384,1.2358129047868005,0.46875
11,output_affine,none,output_affine,output_affine,1.0,rank,1,0.8198818897637795,0.9904578589275816,0.0109534096356499,0.5780919245307786,0.8249175975096136,0.9230769230769232,10.558895836089755,0.359375
11,output_affine,none,output_affine,output_affine,1.0,target_only,1,0.733636811023622,0.7224617751106824,0.2631510590594272,0.958317898870249,0.6727705548434352,0.0769230769230769,1.2553869549099743,0.7109375
11,output_affine,none,output_affine,output_affine,1.0,value,1,0.9609990157480316,0.9995088633587323,0.0,0.0780636476102,0.9864150338765794,1.0,-1.0948264751220922,0.75
