dim,seed,delta,method,selected_y,normalized_regret,target_only_normalized_regret,regret_reduction,true_rank,acquisition_rank,hit_top10,filter_active,retained_fraction,target_top1_retained,compatibility_trust,compatibility_raw_evidence,compatibility_spearman,source_regions
2,42,0.0,Fixed-Filter,-0.540002870062862,0.11911878955861628,0.7504708697545852,0.6313520801959689,9,25,1.0,1.0,0.25,0.0,1.0,0.0,-0.3714285714285715,3
2,42,0.0,Adaptive-Filter,-0.2498031637550297,0.7504708697545852,0.7504708697545852,0.0,40,0,0.0,1.0,0.93,1.0,0.099999999999975,0.0,-0.3714285714285715,3
2,42,0.25,Fixed-Filter,-0.1508537250604379,0.9657430860806289,0.7504708697545852,-0.21527221632604365,76,38,0.0,1.0,0.25,0.0,1.0,0.0,-0.5428571428571429,3
2,42,0.25,Adaptive-Filter,-0.2498031637550297,0.7504708697545852,0.7504708697545852,0.0,40,0,0.0,1.0,0.93,1.0,0.099999999999975,0.0,-0.5428571428571429,3
2,42,0.5,Fixed-Filter,-0.1508537250604379,0.9657430860806289,0.7504708697545852,-0.21527221632604365,76,38,0.0,1.0,0.25,0.0,1.0,0.0,-0.3714285714285715,3
2,42,0.5,Adaptive-Filter,-0.2498031637550297,0.7504708697545852,0.7504708697545852,0.0,40,0,0.0,1.0,0.93,1.0,0.099999999999975,0.0,-0.3714285714285715,3
2,42,1.0,Fixed-Filter,-0.42347557366339494,0.3726330053978835,0.7504708697545852,0.3778378643567017,21,9,0.0,1.0,0.25,0.0,1.0,0.27142857142857146,0.5428571428571429,3
2,42,1.0,Adaptive-Filter,-0.2498031637550297,0.7504708697545852,0.7504708697545852,0.0,40,0,0.0,1.0,0.89,1.0,0.15428571428568386,0.27142857142857146,0.5428571428571429,3
2,42,2.0,Fixed-Filter,-0.24833505741977827,0.7536648495159799,0.7504708697545852,-0.003193979761394683,41,47,0.0,1.0,0.25,0.0,1.0,0.14999999999999997,-0.14285714285714288,3
2,42,2.0,Adaptive-Filter,-0.2498031637550297,0.7504708697545852,0.7504708697545852,0.0,40,0,0.0,1.0,0.91,1.0,0.129999999999972,0.14999999999999997,-0.14285714285714288,3
2,42,4.0,Fixed-Filter,-0.1275281815840604,1.016489623983362,0.7504708697545852,-0.26601875422877685,96,23,0.0,1.0,0.25,0.0,1.0,0.33571428571428574,0.3714285714285715,3
2,42,4.0,Adaptive-Filter,-0.2498031637550297,0.7504708697545852,0.7504708697545852,0.0,40,0,0.0,1.0,0.88,1.0,0.16714285714282545,0.33571428571428574,0.3714285714285715,3
2,101,0.0,Fixed-Filter,-0.5340778995281816,0.1208312208091608,0.1208312208091608,0.0,26,0,0.0,1.0,0.25,1.0,1.0,0.6392857142857143,0.8285714285714287,3
2,101,0.0,Adaptive-Filter,-0.5340778995281816,0.1208312208091608,0.1208312208091608,0.0,26,0,0.0,1.0,0.83,1.0,0.2278571428571051,0.6392857142857143,0.8285714285714287,3
2,101,0.25,Fixed-Filter,-0.5340778995281816,0.1208312208091608,0.1208312208091608,0.0,26,0,0.0,1.0,0.25,1.0,1.0,0.7714285714285715,0.942857142857143,2
2,101,0.25,Adaptive-Filter,-0.5340778995281816,0.1208312208091608,0.1208312208091608,0.0,26,0,0.0,1.0,0.81,1.0,0.25428571428567387,0.7714285714285715,0.942857142857143,2
2,101,0.5,Fixed-Filter,-0.5340778995281816,0.1208312208091608,0.1208312208091608,0.0,26,0,0.0,1.0,0.25,1.0,1.0,0.7714285714285715,0.942857142857143,3
2,101,0.5,Adaptive-Filter,-0.5340778995281816,0.1208312208091608,0.1208312208091608,0.0,26,0,0.0,1.0,0.81,1.0,0.25428571428567387,0.7714285714285715,0.942857142857143,3
2,101,1.0,Fixed-Filter,-0.5340778995281816,0.1208312208091608,0.1208312208091608,0.0,26,0,0.0,1.0,0.25,1.0,1.0,0.6392857142857143,0.8285714285714287,3
2,101,1.0,Adaptive-Filter,-0.5340778995281816,0.1208312208091608,0.1208312208091608,0.0,26,0,0.0,1.0,0.83,1.0,0.2278571428571051,0.6392857142857143,0.8285714285714287,3
2,101,2.0,Fixed-Filter,-0.5876398780909475,0.007614214979944602,0.1208312208091608,0.11321700582921619,3,2,1.0,1.0,0.25,0.0,1.0,0.31785714285714295,0.48571428571428577,3
2,101,2.0,Adaptive-Filter,-0.5340778995281816,0.1208312208091608,0.1208312208091608,0.0,26,0,0.0,1.0,0.88,1.0,0.16357142857139723,0.31785714285714295,0.48571428571428577,3
2,101,4.0,Fixed-Filter,-0.5340778995281816,0.1208312208091608,0.1208312208091608,0.0,26,0,0.0,0.0,1.0,1.0,1.0,0.5071428571428571,0.7142857142857143,3
2,101,4.0,Adaptive-Filter,-0.5340778995281816,0.1208312208091608,0.1208312208091608,0.0,26,0,0.0,0.0,1.0,1.0,0.20142857142853626,0.5071428571428571,0.7142857142857143,3
2,2026,0.0,Fixed-Filter,-0.9055035268414012,0.04587795781551774,0.9727360654007106,0.9268581075851928,6,8,1.0,1.0,0.25,0.0,1.0,0.26071428571428573,0.3714285714285715,3
2,2026,0.0,Adaptive-Filter,-0.015981948345433476,0.9998658604595395,0.9727360654007106,-0.027129795058828954,89,1,0.0,1.0,0.89,0.0,0.15214285714282694,0.26071428571428573,0.3714285714285715,3
2,2026,0.25,Fixed-Filter,-0.4574135867448441,0.5264423336358145,0.9727360654007106,0.44629373176489606,27,3,0.0,1.0,0.25,0.0,1.0,0.44999999999999996,0.6,3
2,2026,0.25,Adaptive-Filter,-0.04127843067829866,0.9727360654007106,0.9727360654007106,0.0,85,0,0.0,1.0,0.86,1.0,0.18999999999996597,0.44999999999999996,0.6,3
2,2026,0.5,Fixed-Filter,-0.4355800540478137,0.5498582086055571,0.9727360654007106,0.42287785679515344,29,4,0.0,1.0,0.25,0.0,1.0,0.07142857142857144,0.14285714285714288,3
2,2026,0.5,Adaptive-Filter,-0.015981948345433476,0.9998658604595395,0.9727360654007106,-0.027129795058828954,89,1,0.0,1.0,0.92,0.0,0.11428571428568786,0.07142857142857144,0.14285714285714288,3
2,2026,1.0,Fixed-Filter,-0.4355800540478137,0.5498582086055571,0.9727360654007106,0.42287785679515344,29,4,0.0,1.0,0.25,0.0,1.0,0.14642857142857152,0.14285714285714288,3
2,2026,1.0,Adaptive-Filter,-0.04127843067829866,0.9727360654007106,0.9727360654007106,0.0,85,0,0.0,1.0,0.91,1.0,0.12928571428568636,0.14642857142857152,0.14285714285714288,3
2,2026,2.0,Fixed-Filter,-0.24331351911763363,0.7560588819122221,0.9727360654007106,0.2166771834884884,43,5,0.0,1.0,0.25,0.0,1.0,0.0,-0.028571428571428574,3
2,2026,2.0,Adaptive-Filter,-0.04127843067829866,0.9727360654007106,0.9727360654007106,0.0,85,0,0.0,1.0,0.93,1.0,0.099999999999975,0.0,-0.028571428571428574,3
2,2026,4.0,Fixed-Filter,-0.015981948345433476,0.9998658604595395,0.9727360654007106,-0.027129795058828954,89,1,0.0,1.0,0.25,0.0,1.0,0.0,-0.028571428571428574,3
2,2026,4.0,Adaptive-Filter,-0.015981948345433476,0.9998658604595395,0.9727360654007106,-0.027129795058828954,89,1,0.0,1.0,0.93,0.0,0.099999999999975,0.0,-0.028571428571428574,3
2,777,0.0,Fixed-Filter,-0.45015702287739984,0.4894871897834884,0.4894871897834884,0.0,27,0,0.0,1.0,0.25,1.0,1.0,0.6392857142857143,0.8285714285714287,3
2,777,0.0,Adaptive-Filter,-0.45015702287739984,0.4894871897834884,0.4894871897834884,0.0,27,0,0.0,1.0,0.83,1.0,0.2278571428571051,0.6392857142857143,0.8285714285714287,3
2,777,0.25,Fixed-Filter,-0.6026416351469533,0.2672936424010213,0.4894871897834884,0.22219354738246705,18,7,0.0,1.0,0.25,0.0,1.0,0.6107142857142858,0.7714285714285715,3
2,777,0.25,Adaptive-Filter,-0.45015702287739984,0.4894871897834884,0.4894871897834884,0.0,27,0,0.0,1.0,0.84,1.0,0.22214285714281995,0.6107142857142858,0.7714285714285715,3
2,777,0.5,Fixed-Filter,-0.6836574856964985,0.1492410798513671,0.4894871897834884,0.3402461099321213,9,2,1.0,1.0,0.25,0.0,1.0,0.6107142857142858,0.7714285714285715,3
2,777,0.5,Adaptive-Filter,-0.45015702287739984,0.4894871897834884,0.4894871897834884,0.0,27,0,0.0,1.0,0.84,1.0,0.22214285714281995,0.6107142857142858,0.7714285714285715,3
2,777,1.0,Fixed-Filter,-0.6836574856964985,0.1492410798513671,0.4894871897834884,0.3402461099321213,9,2,1.0,1.0,0.25,0.0,1.0,0.6857142857142857,0.7714285714285715,3
2,777,1.0,Adaptive-Filter,-0.6836574856964985,0.1492410798513671,0.4894871897834884,0.3402461099321213,9,2,1.0,1.0,0.83,0.0,0.23714285714281844,0.6857142857142857,0.7714285714285715,3
2,777,2.0,Fixed-Filter,-0.3385852179240981,0.652064480445549,0.4894871897834884,-0.16257729066206061,44,18,0.0,1.0,0.25,0.0,1.0,0.46785714285714286,0.48571428571428577,3
2,777,2.0,Adaptive-Filter,-0.45015702287739984,0.4894871897834884,0.4894871897834884,0.0,27,0,0.0,1.0,0.86,1.0,0.1935714285713942,0.46785714285714286,0.48571428571428577,3
2,777,4.0,Fixed-Filter,-0.45015702287739984,0.4894871897834884,0.4894871897834884,0.0,27,0,0.0,1.0,0.25,1.0,1.0,0.5071428571428571,0.7142857142857143,3
2,777,4.0,Adaptive-Filter,-0.45015702287739984,0.4894871897834884,0.4894871897834884,0.0,27,0,0.0,1.0,0.85,1.0,0.20142857142853626,0.5071428571428571,0.7142857142857143,3
2,999,0.0,Fixed-Filter,-0.14295388413522986,0.8630316127493979,0.020591908790429637,-0.8424397039589683,70,2,0.0,1.0,0.25,0.0,1.0,0.44999999999999996,0.6,3
2,999,0.0,Adaptive-Filter,-0.6390871046088313,0.020591908790429637,0.020591908790429637,0.0,2,0,1.0,1.0,0.86,1.0,0.18999999999996597,0.44999999999999996,0.6,3
2,999,0.25,Fixed-Filter,-0.6390871046088313,0.020591908790429637,0.020591908790429637,0.0,2,0,1.0,1.0,0.25,1.0,1.0,0.0,-0.2,3
2,999,0.25,Adaptive-Filter,-0.6390871046088313,0.020591908790429637,0.020591908790429637,0.0,2,0,1.0,1.0,0.93,1.0,0.099999999999975,0.0,-0.2,3
2,999,0.5,Fixed-Filter,-0.6390871046088313,0.020591908790429637,0.020591908790429637,0.0,2,0,1.0,1.0,0.25,1.0,1.0,0.11785714285714291,0.08571428571428573,3
2,999,0.5,Adaptive-Filter,-0.6390871046088313,0.020591908790429637,0.020591908790429637,0.0,2,0,1.0,1.0,0.91,1.0,0.12357142857140122,0.11785714285714291,0.08571428571428573,3
2,999,1.0,Fixed-Filter,-0.0528896354404806,1.015961704661533,0.020591908790429637,-0.9953697958711034,92,7,0.0,1.0,0.25,0.0,1.0,0.07500000000000004,-0.028571428571428574,3
2,999,1.0,Adaptive-Filter,-0.4199670185281734,0.39266024211638795,0.020591908790429637,-0.3720683333259583,31,1,0.0,1.0,0.92,0.0,0.11499999999997351,0.07500000000000004,-0.028571428571428574,3
2,999,2.0,Fixed-Filter,-0.14295388413522986,0.8630316127493979,0.020591908790429637,-0.8424397039589683,70,2,0.0,1.0,0.25,0.0,1.0,0.6107142857142858,0.7714285714285715,3
2,999,2.0,Adaptive-Filter,-0.6390871046088313,0.020591908790429637,0.020591908790429637,0.0,2,0,1.0,1.0,0.84,1.0,0.22214285714281995,0.6107142857142858,0.7714285714285715,3
2,999,4.0,Fixed-Filter,-0.6390871046088313,0.020591908790429637,0.020591908790429637,0.0,2,0,1.0,1.0,0.25,1.0,1.0,0.5642857142857143,0.8285714285714287,3
