problem,dim,seed,method,selected_y,raw_regret,normalized_regret,true_rank,acquisition_rank,hit_top05,hit_top10,filter_active,retained_count,retained_fraction,target_top1_retained,compatibility_trust,compatibility_raw_evidence,compatibility_spearman,compatibility_elite_enrichment,source_regions
GMM,2,42,Target-Only,-0.005854695897859846,0.2017769496434927,1.0122917967817828,95,0,0.0,0.0,0.0,100,1.0,1.0,0.0,0.0,0.0,0.0,0
GMM,2,42,Matching-Fixed-Filter,-0.10076551044757504,0.10686613509377749,0.5361351338710435,47,17,0.0,0.0,1.0,25,0.25,0.0,1.0,0.1464285714285714,0.14285714285714288,0.1499999999999999,6
GMM,2,42,Matching-Adaptive-Filter,-0.011488731881493401,0.1961429136598591,0.9840264849159704,85,2,0.0,0.0,1.0,91,0.91,0.0,0.12928571428568636,0.1464285714285714,0.14285714285714288,0.1499999999999999,6
GMM,2,42,Random-Adaptive-Filter,-0.005854695897859846,0.2017769496434927,1.0122917967817828,95,0,0.0,0.0,1.0,93,0.93,1.0,0.099999999999975,0.0,-0.6,-0.6,6
GMM,2,42,Wrong-Adaptive-Filter,-0.005854695897859846,0.2017769496434927,1.0122917967817828,95,0,0.0,0.0,1.0,83,0.83,1.0,0.2278571428571051,0.6392857142857143,0.8285714285714287,0.45,8
GMM,2,42,Oracle-Fixed-Filter,-0.11850831671384746,0.08912332882750507,0.44712151131916134,27,43,0.0,0.0,1.0,25,0.25,0.0,1.0,0.18571428571428575,0.3714285714285715,0.0,1
GMM,2,42,Matching-Soft-Rerank,-0.1425587511362964,0.06507289440505612,0.3264632422854643,13,27,0.0,0.0,0.0,100,1.0,1.0,,,,,6
GMM,2,101,Target-Only,-0.15592322252490332,0.46764055212427447,0.7908990106442371,52,0,0.0,0.0,0.0,100,1.0,1.0,0.0,0.0,0.0,0.0,0
GMM,2,101,Matching-Fixed-Filter,-0.26721874621855,0.35634502843062776,0.6026699976157747,30,10,0.0,0.0,1.0,25,0.25,0.0,1.0,0.6392857142857145,0.8285714285714287,0.45000000000000007,7
GMM,2,101,Matching-Adaptive-Filter,-0.15592322252490332,0.46764055212427447,0.7908990106442371,52,0,0.0,0.0,1.0,83,0.83,1.0,0.2278571428571051,0.6392857142857145,0.8285714285714287,0.45000000000000007,7
GMM,2,101,Random-Adaptive-Filter,-0.15592322252490332,0.46764055212427447,0.7908990106442371,52,0,0.0,0.0,1.0,93,0.93,1.0,0.10285714285711757,0.014285714285714287,0.028571428571428574,0.0,7
GMM,2,101,Wrong-Adaptive-Filter,-0.15592322252490332,0.46764055212427447,0.7908990106442371,52,0,0.0,0.0,1.0,85,0.85,1.0,0.20714285714282143,0.5357142857142857,0.7714285714285715,0.3,5
GMM,2,101,Oracle-Fixed-Filter,-0.12110367541903144,0.5024600992301463,0.8497877131573504,58,2,0.0,0.0,1.0,25,0.25,0.0,1.0,0.36428571428571427,0.4285714285714286,0.29999999999999993,1
GMM,2,101,Matching-Soft-Rerank,-0.5825243515244246,0.04103942312475317,0.06940809345839591,5,12,0.0,1.0,0.0,100,1.0,1.0,,,,,7
GMM,2,2026,Target-Only,-0.0008618996566027837,0.9469028998676835,1.0192405865041194,97,0,0.0,0.0,0.0,100,1.0,1.0,0.0,0.0,0.0,0.0,0
GMM,2,2026,Matching-Fixed-Filter,-0.10085433103352691,0.8469104684907593,0.9116093347497627,71,15,0.0,0.0,1.0,25,0.25,0.0,1.0,0.6107142857142858,0.7714285714285715,0.45,6
GMM,2,2026,Matching-Adaptive-Filter,-0.08601658228286349,0.8617482172414228,0.9275805982670042,77,2,0.0,0.0,1.0,84,0.84,0.0,0.22214285714281995,0.6107142857142858,0.7714285714285715,0.45,6
GMM,2,2026,Random-Adaptive-Filter,-0.0008618996566027837,0.9469028998676835,1.0192405865041194,97,0,0.0,0.0,1.0,92,0.92,1.0,0.11499999999997351,0.07500000000000004,-0.3142857142857143,0.15000000000000008,6
