method,initial_best_y,final_best_y,known_optimum_y,total_improvement,final_normalized_regret,n_regions,filter_activation_rate,mean_retained_fraction,mean_compatibility_trust,problem,dim,seed
Target-Only,-0.12722582054929782,-0.7934707969989845,-1.0001911515148465,0.6662449764496867,0.23680247907121085,0,0.0,1.0,0.0,GMM,2,42
Matching-Fixed-Filter,-0.12722582054929782,-0.7986302165633931,-1.0001911515148465,0.6714043960140952,0.23089225631505403,6,1.0,0.25,1.0,GMM,2,42
Matching-Adaptive-Filter,-0.12722582054929782,-0.7986302165633931,-1.0001911515148465,0.6714043960140952,0.23089225631505403,6,1.0,0.7615000000000001,0.32380134302113023,GMM,2,42
Random-Adaptive-Filter,-0.12722582054929782,-0.7934707969989845,-1.0001911515148465,0.6662449764496867,0.23680247907121085,6,0.2,0.99,0.03884024640739813,GMM,2,42
Wrong-Adaptive-Filter,-0.12722582054929782,-0.909030299856859,-1.0001911515148465,0.7818044793075611,0.10442665753651231,8,1.0,0.7675000000000001,0.316945358433784,GMM,2,42
Oracle-Fixed-Filter,-0.12722582054929782,-0.9971765972623703,-1.0001911515148465,0.8699507767130725,0.0034532347912854026,1,0.7,0.475,1.0,GMM,2,42
Matching-Soft-Rerank,-0.12722582054929782,-0.9950128682448536,-1.0001911515148465,0.8677870476955558,0.005931831524472398,6,0.0,1.0,,GMM,2,42
Target-Only,-0.31590510428679913,-0.9963027284496863,-1.0001911515148465,0.6803976241628871,0.005682452653991309,0,0.0,1.0,0.0,GMM,2,101
Matching-Fixed-Filter,-0.31590510428679913,-0.989867530015028,-1.0001911515148465,0.6739624257282288,0.015086704663405164,7,0.95,0.2875,1.0,GMM,2,101
Matching-Adaptive-Filter,-0.31590510428679913,-0.989867530015028,-1.0001911515148465,0.6739624257282288,0.015086704663405164,7,1.0,0.759,0.32886255107628376,GMM,2,101
Random-Adaptive-Filter,-0.31590510428679913,-0.9963027284496863,-1.0001911515148465,0.6803976241628871,0.005682452653991309,7,0.9,0.9410000000000001,0.08911729311067737,GMM,2,101
Wrong-Adaptive-Filter,-0.31590510428679913,-0.9850065199928044,-1.0001911515148465,0.6691014157060053,0.02219047368209979,5,1.0,0.828,0.23628232351097803,GMM,2,101
Oracle-Fixed-Filter,-0.31590510428679913,-1.0000532300678118,-1.0001911515148465,0.6841481257810127,0.00020155525250504442,1,0.85,0.3625,1.0,GMM,2,101
Matching-Soft-Rerank,-0.31590510428679913,-0.9972385180457353,-1.0001911515148465,0.6813334137589362,0.004314911112205139,7,0.0,1.0,,GMM,2,101
Target-Only,-0.44113973547464025,-0.9995378814428538,-1.0001911515148465,0.5583981459682136,0.001168533078083986,0,0.0,1.0,0.0,GMM,2,2026
Matching-Fixed-Filter,-0.44113973547464025,-0.9942533510379904,-1.0001911515148465,0.5531136155633501,0.01062120639799804,6,1.0,0.25,1.0,GMM,2,2026
Matching-Adaptive-Filter,-0.44113973547464025,-0.997815037673707,-1.0001911515148465,0.5566753021990668,0.004250259945622894,6,0.95,0.7834999999999999,0.30981635461726803,GMM,2,2026
Random-Adaptive-Filter,-0.44113973547464025,-0.9995378814428538,-1.0001911515148465,0.5583981459682136,0.001168533078083986,6,0.75,0.9510000000000002,0.07947274420488333,GMM,2,2026
Wrong-Adaptive-Filter,-0.44113973547464025,-0.9987989432786919,-1.0001911515148465,0.5576592078040516,0.0024903044625406616,6,1.0,0.817,0.24901638767302905,GMM,2,2026
Oracle-Fixed-Filter,-0.44113973547464025,-0.9995378814428538,-1.0001911515148465,0.5583981459682136,0.001168533078083986,1,0.75,0.4375,1.0,GMM,2,2026
Matching-Soft-Rerank,-0.44113973547464025,-0.9953164372453508,-1.0001911515148465,0.5541767017707105,0.008719617068540119,6,0.0,1.0,,GMM,2,2026
Target-Only,-0.3884013480858283,-0.5982061359289478,-1.0001911515148465,0.20980478784311946,0.6570639349214625,0,0.0,1.0,0.0,GMM,2,777
Matching-Fixed-Filter,-0.3884013480858283,-0.7605791148245632,-1.0001911515148465,0.37217776673873487,0.3916574538301926,8,0.95,0.2875,1.0,GMM,2,777
Matching-Adaptive-Filter,-0.3884013480858283,-0.9953589458776269,-1.0001911515148465,0.6069575977917985,0.007898473642639408,8,1.0,0.7635,0.32110734161422966,GMM,2,777
Random-Adaptive-Filter,-0.3884013480858283,-0.5982061359289478,-1.0001911515148465,0.20980478784311946,0.6570639349214625,8,0.8,0.906,0.13628966734353648,GMM,2,777
Wrong-Adaptive-Filter,-0.3884013480858283,-0.9953589458776269,-1.0001911515148465,0.6069575977917985,0.007898473642639408,8,1.0,0.7260000000000001,0.37134958280942926,GMM,2,777
Oracle-Fixed-Filter,-0.3884013480858283,-0.5982061359289478,-1.0001911515148465,0.20980478784311946,0.6570639349214625,1,0.8,0.4,1.0,GMM,2,777
Matching-Soft-Rerank,-0.3884013480858283,-0.9977988023306982,-1.0001911515148465,0.6093974542448699,0.003910410357837701,8,0.0,1.0,,GMM,2,777
Target-Only,-0.3268164866395131,-0.8486105659824643,-1.0001911515148465,0.5217940793429512,0.2251058637028546,0,0.0,1.0,0.0,GMM,2,999
Matching-Fixed-Filter,-0.3268164866395131,-0.7963258944388402,-1.0001911515148465,0.46950940779932704,0.30275159983001343,8,1.0,0.25,1.0,GMM,2,999
Matching-Adaptive-Filter,-0.3268164866395131,-0.7953259809754177,-1.0001911515148465,0.4685094943359046,0.3042365286750979,8,1.0,0.6955000000000001,0.41200252745848276,GMM,2,999
Random-Adaptive-Filter,-0.3268164866395131,-0.8486105659824643,-1.0001911515148465,0.5217940793429512,0.2251058637028546,8,0.2,0.9884999999999999,0.039765195301096914,GMM,2,999
Wrong-Adaptive-Filter,-0.3268164866395131,-0.7999537574853679,-1.0001911515148465,0.4731372708458548,0.2973640151230667,8,1.0,0.7705,0.3131898348423047,GMM,2,999
Oracle-Fixed-Filter,-0.3268164866395131,-0.7979898996771809,-1.0001911515148465,0.4711734130376678,0.30028045660895264,1,0.7,0.475,1.0,GMM,2,999
Matching-Soft-Rerank,-0.3268164866395131,-0.9994270081229234,-1.0001911515148465,0.6726105214834103,0.0011347967658756084,8,0.0,1.0,,GMM,2,999
Target-Only,-0.312979328576134,-0.6315410052204168,-1.0001911515148465,0.3185616766442828,0.5364432537233966,0,0.0,1.0,0.0,GMM,2,1234
Matching-Fixed-Filter,-0.312979328576134,-0.7996914204454033,-1.0001911515148465,0.48671209186926934,0.2917582677958733,8,0.95,0.2875,1.0,GMM,2,1234
Matching-Adaptive-Filter,-0.312979328576134,-0.6493553579475745,-1.0001911515148465,0.3363760293714405,0.5105206020277688,8,0.95,0.7529999999999999,0.35499397749646755,GMM,2,1234
Random-Adaptive-Filter,-0.312979328576134,-0.6315410052204168,-1.0001911515148465,0.3185616766442828,0.5364432537233966,8,0.2,0.99,0.03815782354492332,GMM,2,1234
Wrong-Adaptive-Filter,-0.312979328576134,-0.7967279490950108,-1.0001911515148465,0.4837486205188768,0.2960705791553024,7,1.0,0.7020000000000001,0.40489887922534296,GMM,2,1234
Oracle-Fixed-Filter,-0.312979328576134,-0.5982223203846972,-1.0001911515148465,0.2852429918085633,0.584927118120897,1,0.65,0.5125,1.0,GMM,2,1234
Matching-Soft-Rerank,-0.312979328576134,-0.798819747874854,-1.0001911515148465,0.48584041929872,0.2930266868501641,8,0.0,1.0,,GMM,2,1234
Target-Only,-0.6023376463185987,-0.9983775212173591,-1.0001911515148465,0.39603987489876047,0.004558537938713837,0,0.0,1.0,0.0,GMM,2,5678
Matching-Fixed-Filter,-0.6023376463185987,-1.0000628123889497,-1.0001911515148465,0.397725166070351,0.00032257884930163034,8,1.0,0.25,1.0,GMM,2,5678
Matching-Adaptive-Filter,-0.6023376463185987,-1.000134365736818,-1.0001911515148465,0.39779671941821937,0.00014273037006540409,8,1.0,0.7180000000000001,0.382758391513899,GMM,2,5678
Random-Adaptive-Filter,-0.6023376463185987,-0.9983775212173591,-1.0001911515148465,0.39603987489876047,0.004558537938713837,8,0.2,0.99,0.038922156331123066,GMM,2,5678
Wrong-Adaptive-Filter,-0.6023376463185987,-0.9996600720128263,-1.0001911515148465,0.3973224256942276,0.0013348619405986752,7,1.0,0.7729999999999999,0.3086527524643251,GMM,2,5678
Oracle-Fixed-Filter,-0.6023376463185987,-1.0000628123889497,-1.0001911515148465,0.397725166070351,0.00032257884930163034,1,0.75,0.4375,1.0,GMM,2,5678
Matching-Soft-Rerank,-0.6023376463185987,-0.9976775032285307,-1.0001911515148465,0.395339856909932,0.0063180247339430645,8,0.0,1.0,,GMM,2,5678
Target-Only,-0.6188503701506838,-0.9959005090119093,-1.0001911515148465,0.3770501388612255,0.011251465126778137,0,0.0,1.0,0.0,GMM,2,8888
Matching-Fixed-Filter,-0.6188503701506838,-0.9969691467553687,-1.0001911515148465,0.37811877660468496,0.00844914815549427,7,1.0,0.25,1.0,GMM,2,8888
Matching-Adaptive-Filter,-0.6188503701506838,-0.9973559195071172,-1.0001911515148465,0.37850554935643344,0.007434903756128217,7,1.0,0.7015000000000001,0.40526517590724626,GMM,2,8888
Random-Adaptive-Filter,-0.6188503701506838,-0.9959005090119093,-1.0001911515148465,0.3770501388612255,0.011251465126778137,7,0.55,0.9494999999999999,0.08606822057931954,GMM,2,8888
Wrong-Adaptive-Filter,-0.6188503701506838,-0.9959005090119093,-1.0001911515148465,0.3770501388612255,0.011251465126778137,6,0.7,0.9535000000000002,0.07815646658933827,GMM,2,8888
Oracle-Fixed-Filter,-0.6188503701506838,-0.9990119545732163,-1.0001911515148465,0.38016158442253256,0.003092239275882948,1,0.65,0.5125,1.0,GMM,2,8888
Matching-Soft-Rerank,-0.6188503701506838,-0.9984235341137572,-1.0001911515148465,0.3795731639630734,0.0046352697835412866,7,0.0,1.0,,GMM,2,8888
Target-Only,29.314341565150336,18.039370470505343,0.0,11.274971094644993,0.615376962515543,0,0.0,1.0,0.0,Rastrigin,2,42
Matching-Fixed-Filter,29.314341565150336,2.340938159733099,0.0,26.973403405417237,0.07985641275723103,4,1.0,0.25,1.0,Rastrigin,2,42
Matching-Adaptive-Filter,29.314341565150336,13.32126160475418,0.0,15.993079960396155,0.4544281363150537,4,1.0,0.818,0.2494424991344386,Rastrigin,2,42
Random-Adaptive-Filter,29.314341565150336,18.039370470505343,0.0,11.274971094644993,0.615376962515543,4,1.0,0.9105000000000001,0.12533056669764445,Rastrigin,2,42
Wrong-Adaptive-Filter,29.314341565150336,2.020467936827341,0.0,27.293873628322995,0.06892421350610606,6,1.0,0.9335000000000001,0.09531784062380144,Rastrigin,2,42
Oracle-Fixed-Filter,29.314341565150336,18.039370470505343,0.0,11.274971094644993,0.615376962515543,1,0.05,0.9625,0.05,Rastrigin,2,42
Matching-Soft-Rerank,29.314341565150336,2.477573045779142,0.0,26.836768519371194,0.08451743800121869,4,0.0,1.0,,Rastrigin,2,42
Target-Only,20.840408205090856,18.552213206649697,0.0,2.28819499844116,0.8902039261456403,0,0.0,1.0,0.0,Rastrigin,2,101
Matching-Fixed-Filter,20.840408205090856,18.87477914208345,0.0,1.9656290630074054,0.9056818348439429,5,1.0,0.25,1.0,Rastrigin,2,101
Matching-Adaptive-Filter,20.840408205090856,6.156678387646528,0.0,14.683729817444329,0.2954202397121274,5,1.0,0.7585,0.3287571845333298,Rastrigin,2,101
Random-Adaptive-Filter,20.840408205090856,8.423153499496559,0.0,12.417254705594297,0.40417411293503197,5,1.0,0.909,0.12873559663000894,Rastrigin,2,101
Wrong-Adaptive-Filter,20.840408205090856,16.94610642898226,0.0,3.8943017761085947,0.8131369722807396,5,1.0,0.8115,0.2579429459512807,Rastrigin,2,101
Oracle-Fixed-Filter,20.840408205090856,2.6175347644182807,0.0,18.222873440672576,0.12559901603937268,1,0.65,0.5125,0.65,Rastrigin,2,101
Matching-Soft-Rerank,20.840408205090856,2.137202633733274,0.0,18.703205571357582,0.10255090076456383,5,0.0,1.0,,Rastrigin,2,101
Target-Only,25.58255184211822,9.200754224310305,0.0,16.381797617807916,0.35964958777734224,0,0.0,1.0,0.0,Rastrigin,2,2026
Matching-Fixed-Filter,25.58255184211822,2.1673965905444845,0.0,23.415155251573736,0.08472167295586824,6,1.0,0.25,1.0,Rastrigin,2,2026
Matching-Adaptive-Filter,25.58255184211822,10.369212912991655,0.0,15.213338929126566,0.40532363530365817,6,1.0,0.8959999999999999,0.14635483911333186,Rastrigin,2,2026
Random-Adaptive-Filter,25.58255184211822,9.200754224310305,0.0,16.381797617807916,0.35964958777734224,6,0.5,0.974,0.05233388121662156,Rastrigin,2,2026
Wrong-Adaptive-Filter,25.58255184211822,8.293296292729273,0.0,17.289255549388947,0.32417783589029925,6,1.0,0.9199999999999999,0.11357762179016324,Rastrigin,2,2026
Oracle-Fixed-Filter,25.58255184211822,9.200754224310305,0.0,16.381797617807916,0.35964958777734224,1,0.0,1.0,0.0,Rastrigin,2,2026
Matching-Soft-Rerank,25.58255184211822,4.096128693239436,0.0,21.486423148878785,0.16011415587149178,6,0.0,1.0,,Rastrigin,2,2026
Target-Only,33.46124056367456,1.4039306861986134,0.0,32.057309877475944,0.04195692277239467,0,0.0,1.0,0.0,Rastrigin,2,777
Matching-Fixed-Filter,33.46124056367456,2.078142699452865,0.0,31.383097864221693,0.062105966917105036,6,1.0,0.25,1.0,Rastrigin,2,777
Matching-Adaptive-Filter,33.46124056367456,0.11452248287917399,0.0,33.346718080795384,0.0034225414524379385,6,1.0,0.7865,0.2906469181173336,Rastrigin,2,777
Random-Adaptive-Filter,33.46124056367456,1.589408260924202,0.0,31.871832302750356,0.04749998010084718,6,1.0,0.849,0.20802410738857396,Rastrigin,2,777
Wrong-Adaptive-Filter,33.46124056367456,2.0697728673315368,0.0,31.39146769634302,0.06185583177625749,6,1.0,0.8020000000000002,0.2701834166766127,Rastrigin,2,777
Oracle-Fixed-Filter,33.46124056367456,1.2089778402116522,0.0,32.252262723462906,0.03613069389675037,1,0.85,0.3625,1.0,Rastrigin,2,777
Matching-Soft-Rerank,33.46124056367456,3.0952823542377104,0.0,30.365958209436847,0.09250351457674111,6,0.0,1.0,,Rastrigin,2,777
Target-Only,9.373441151920805,5.708458456455778,0.0,3.664982695465026,0.6090034987082628,0,0.0,1.0,0.0,Rastrigin,2,999
Matching-Fixed-Filter,9.373441151920805,3.2209924212932606,0.0,6.152448730627544,0.3436296626915095,6,1.0,0.25,1.0,Rastrigin,2,999
Matching-Adaptive-Filter,9.373441151920805,5.708458456455778,0.0,3.664982695465026,0.6090034987082628,6,1.0,0.7464999999999999,0.3434639160222348,Rastrigin,2,999
Random-Adaptive-Filter,9.373441151920805,5.708458456455778,0.0,3.664982695465026,0.6090034987082628,6,0.5,0.9765,0.05371213239402698,Rastrigin,2,999
Wrong-Adaptive-Filter,9.373441151920805,9.373441151920805,0.0,0.0,1.0,6,1.0,0.885,0.16181858946982275,Rastrigin,2,999
Oracle-Fixed-Filter,9.373441151920805,2.2150341995191063,0.0,7.158406952401698,0.23630960749833071,1,0.6,0.55,0.75,Rastrigin,2,999
Matching-Soft-Rerank,9.373441151920805,2.01692434172962,0.0,7.356516810191184,0.21517437502835468,6,0.0,1.0,,Rastrigin,2,999
Target-Only,27.223154780032264,9.72298400784549,0.0,17.500170772186774,0.3571586058415661,0,0.0,1.0,0.0,Rastrigin,2,1234
Matching-Fixed-Filter,27.223154780032264,4.013068505964629,0.0,23.210086274067635,0.14741379308867422,6,1.0,0.25,1.0,Rastrigin,2,1234
Matching-Adaptive-Filter,27.223154780032264,10.041417463431532,0.0,17.18173731660073,0.36885576064081843,6,1.0,0.796,0.2799166661471632,Rastrigin,2,1234
Random-Adaptive-Filter,27.223154780032264,2.062672115588196,0.0,25.160482664444068,0.07576903309902687,6,1.0,0.8035,0.26872890433586266,Rastrigin,2,1234
Wrong-Adaptive-Filter,27.223154780032264,8.96509935373079,0.0,18.258055426301475,0.3293188987892962,6,0.45,0.9490000000000001,0.08287933003812772,Rastrigin,2,1234
Oracle-Fixed-Filter,27.223154780032264,9.72298400784549,0.0,17.500170772186774,0.3571586058415661,1,0.0,1.0,0.0,Rastrigin,2,1234
Matching-Soft-Rerank,27.223154780032264,2.1669181004422313,0.0,25.056236679590032,0.07959834625895858,6,0.0,1.0,,Rastrigin,2,1234
Target-Only,25.160231588988044,11.514116920083229,0.0,13.646114668904815,0.45763159529591324,0,0.0,1.0,0.0,Rastrigin,2,5678
Matching-Fixed-Filter,25.160231588988044,5.881693646793291,0.0,19.278537942194752,0.23376945581723302,6,1.0,0.25,1.0,Rastrigin,2,5678
Matching-Adaptive-Filter,25.160231588988044,5.146972402707389,0.0,20.013259186280656,0.20456776737142915,6,1.0,0.8460000000000001,0.2127577251407454,Rastrigin,2,5678
Random-Adaptive-Filter,25.160231588988044,11.514116920083229,0.0,13.646114668904815,0.45763159529591324,6,0.2,0.99,0.03801916355506531,Rastrigin,2,5678
Wrong-Adaptive-Filter,25.160231588988044,7.218654202830194,0.0,17.94157738615785,0.28690730358736466,6,1.0,0.8469999999999999,0.21210759367906823,Rastrigin,2,5678
Oracle-Fixed-Filter,25.160231588988044,2.3198549669272346,0.0,22.84037662206081,0.09220324378661811,1,0.6,0.55,1.0,Rastrigin,2,5678
