method,step,best_y,normalized_regret,filter_active,retained_fraction,compatibility_trust,problem,dim,seed
Target-Only,0,-0.12722582054929782,1.0,0.0,1.0,0.0,GMM,2,42
Target-Only,1,-0.12722582054929782,1.0,0.0,1.0,0.0,GMM,2,42
Target-Only,2,-0.12722582054929782,1.0,0.0,1.0,0.0,GMM,2,42
Target-Only,3,-0.26263555622442913,0.8448853226217351,0.0,1.0,0.0,GMM,2,42
Target-Only,4,-0.4705810708373719,0.6066793970978162,0.0,1.0,0.0,GMM,2,42
Target-Only,5,-0.4705810708373719,0.6066793970978162,0.0,1.0,0.0,GMM,2,42
Target-Only,6,-0.4705810708373719,0.6066793970978162,0.0,1.0,0.0,GMM,2,42
Target-Only,7,-0.4705810708373719,0.6066793970978162,0.0,1.0,0.0,GMM,2,42
Target-Only,8,-0.4705810708373719,0.6066793970978162,0.0,1.0,0.0,GMM,2,42
Target-Only,9,-0.4705810708373719,0.6066793970978162,0.0,1.0,0.0,GMM,2,42
Target-Only,10,-0.4705810708373719,0.6066793970978162,0.0,1.0,0.0,GMM,2,42
Target-Only,11,-0.6706636649273292,0.37748061108342224,0.0,1.0,0.0,GMM,2,42
Target-Only,12,-0.7922177261415608,0.23823789788221644,0.0,1.0,0.0,GMM,2,42
Target-Only,13,-0.7922177261415608,0.23823789788221644,0.0,1.0,0.0,GMM,2,42
Target-Only,14,-0.7922177261415608,0.23823789788221644,0.0,1.0,0.0,GMM,2,42
Target-Only,15,-0.7922177261415608,0.23823789788221644,0.0,1.0,0.0,GMM,2,42
Target-Only,16,-0.7922177261415608,0.23823789788221644,0.0,1.0,0.0,GMM,2,42
Target-Only,17,-0.7934707969989845,0.23680247907121085,0.0,1.0,0.0,GMM,2,42
Target-Only,18,-0.7934707969989845,0.23680247907121085,0.0,1.0,0.0,GMM,2,42
Target-Only,19,-0.7934707969989845,0.23680247907121085,0.0,1.0,0.0,GMM,2,42
Target-Only,20,-0.7934707969989845,0.23680247907121085,0.0,1.0,0.0,GMM,2,42
Matching-Fixed-Filter,0,-0.12722582054929782,1.0,0.0,1.0,0.0,GMM,2,42
Matching-Fixed-Filter,1,-0.12722582054929782,1.0,1.0,0.25,1.0,GMM,2,42
Matching-Fixed-Filter,2,-0.3602650486909573,0.733048702078575,1.0,0.25,1.0,GMM,2,42
Matching-Fixed-Filter,3,-0.39250544756603817,0.6961166525097553,1.0,0.25,1.0,GMM,2,42
Matching-Fixed-Filter,4,-0.39250544756603817,0.6961166525097553,1.0,0.25,1.0,GMM,2,42
Matching-Fixed-Filter,5,-0.40227693765768474,0.6849232067393044,1.0,0.25,1.0,GMM,2,42
Matching-Fixed-Filter,6,-0.4431900695960257,0.6380563605003033,1.0,0.25,1.0,GMM,2,42
Matching-Fixed-Filter,7,-0.4431900695960257,0.6380563605003033,1.0,0.25,1.0,GMM,2,42
Matching-Fixed-Filter,8,-0.5872008314435752,0.4730890281913954,1.0,0.25,1.0,GMM,2,42
Matching-Fixed-Filter,9,-0.7350723128271706,0.303699161104645,1.0,0.25,1.0,GMM,2,42
Matching-Fixed-Filter,10,-0.7786073754634221,0.25382883854773514,1.0,0.25,1.0,GMM,2,42
Matching-Fixed-Filter,11,-0.7802054613079215,0.2519981978707087,1.0,0.25,1.0,GMM,2,42
Matching-Fixed-Filter,12,-0.7802054613079215,0.2519981978707087,1.0,0.25,1.0,GMM,2,42
Matching-Fixed-Filter,13,-0.7945868386764086,0.23552403004484498,1.0,0.25,1.0,GMM,2,42
Matching-Fixed-Filter,14,-0.7945868386764086,0.23552403004484498,1.0,0.25,1.0,GMM,2,42
Matching-Fixed-Filter,15,-0.7945868386764086,0.23552403004484498,1.0,0.25,1.0,GMM,2,42
Matching-Fixed-Filter,16,-0.7945868386764086,0.23552403004484498,1.0,0.25,1.0,GMM,2,42
Matching-Fixed-Filter,17,-0.7986302165633931,0.23089225631505403,1.0,0.25,1.0,GMM,2,42
Matching-Fixed-Filter,18,-0.7986302165633931,0.23089225631505403,1.0,0.25,1.0,GMM,2,42
Matching-Fixed-Filter,19,-0.7986302165633931,0.23089225631505403,1.0,0.25,1.0,GMM,2,42
Matching-Fixed-Filter,20,-0.7986302165633931,0.23089225631505403,1.0,0.25,1.0,GMM,2,42
Matching-Adaptive-Filter,0,-0.12722582054929782,1.0,0.0,1.0,0.0,GMM,2,42
Matching-Adaptive-Filter,1,-0.12722582054929782,1.0,1.0,0.91,0.12928571428568636,GMM,2,42
Matching-Adaptive-Filter,2,-0.13602196473358388,0.989923833315858,1.0,0.88,0.17199134199131766,GMM,2,42
Matching-Adaptive-Filter,3,-0.13602196473358388,0.989923833315858,1.0,0.9,0.1460317460317283,GMM,2,42
Matching-Adaptive-Filter,4,-0.13602196473358388,0.989923833315858,1.0,0.88,0.1629120879120716,GMM,2,42
Matching-Adaptive-Filter,5,-0.13602196473358388,0.989923833315858,1.0,0.86,0.1967738610595586,GMM,2,42
Matching-Adaptive-Filter,6,-0.21775889382063474,0.8962924757032421,1.0,0.83,0.23156565656563916,GMM,2,42
Matching-Adaptive-Filter,7,-0.21775889382063474,0.8962924757032421,1.0,0.81,0.2563461538461364,GMM,2,42
Matching-Adaptive-Filter,8,-0.21775889382063474,0.8962924757032421,1.0,0.83,0.23528358896004453,GMM,2,42
Matching-Adaptive-Filter,9,-0.21775889382063474,0.8962924757032421,1.0,0.8,0.2792972459638962,GMM,2,42
Matching-Adaptive-Filter,10,-0.283005528846062,0.8215510939885057,1.0,0.78,0.29439705031808666,GMM,2,42
Matching-Adaptive-Filter,11,-0.3719141107528198,0.7197044584429452,1.0,0.78,0.2938174178762261,GMM,2,42
Matching-Adaptive-Filter,12,-0.44319252573579115,0.6380535469409576,1.0,0.75,0.3334317969611924,GMM,2,42
Matching-Adaptive-Filter,13,-0.607761014148346,0.44953690993942524,1.0,0.71,0.3902195327891741,GMM,2,42
Matching-Adaptive-Filter,14,-0.7438295500130045,0.2936675631989779,1.0,0.68,0.43124812325914197,GMM,2,42
Matching-Adaptive-Filter,15,-0.7640519851128837,0.2705023418751115,1.0,0.67,0.4466165413533646,GMM,2,42
Matching-Adaptive-Filter,16,-0.7640519851128837,0.2705023418751115,1.0,0.66,0.4653708133971103,GMM,2,42
Matching-Adaptive-Filter,17,-0.7986302165633931,0.23089225631505403,1.0,0.64,0.48394723289131353,GMM,2,42
Matching-Adaptive-Filter,18,-0.7986302165633931,0.23089225631505403,1.0,0.62,0.5075375912332244,GMM,2,42
