problem,dim,seed,method,selected_y,raw_regret,normalized_regret,true_rank,acquisition_rank,hit_top05,hit_top10,filter_active,retained_count,retained_fraction,target_top1_retained,compatibility_trust,compatibility_raw_evidence,compatibility_spearman,compatibility_elite_enrichment,source_regions
GMM,2,42,Target-Only,-0.027844703285914138,0.3148223054401112,0.9992687894380405,35,0,0.0,0.0,0.0,40,1.0,1.0,0.0,0.0,0.0,0.0,0
GMM,2,42,Matching-Fixed-Filter,-0.1162834697955761,0.22638353893044924,0.7185577418966049,15,2,0.0,0.0,1.0,10,0.25,0.0,1.0,0.6107142857142858,0.7714285714285715,0.45,6
GMM,2,42,Matching-Adaptive-Filter,-0.027844703285914138,0.3148223054401112,0.9992687894380405,35,0,0.0,0.0,1.0,34,0.85,1.0,0.22214285714281995,0.6107142857142858,0.7714285714285715,0.45,6
GMM,2,42,Random-Adaptive-Filter,-0.027844703285914138,0.3148223054401112,0.9992687894380405,35,0,0.0,0.0,1.0,38,0.95,1.0,0.099999999999975,0.0,-0.8857142857142858,-0.6,6
GMM,2,42,Wrong-Adaptive-Filter,-0.1162834697955761,0.22638353893044924,0.7185577418966049,15,2,0.0,0.0,1.0,33,0.825,0.0,0.25428571428567387,0.7714285714285715,0.942857142857143,0.6,6
GMM,2,42,Oracle-Fixed-Filter,-0.08426343039600544,0.2584035783300199,0.8201916650833281,27,16,0.0,0.0,1.0,10,0.25,0.0,1.0,0.18571428571428575,0.3714285714285715,0.0,1
GMM,2,42,Matching-Soft-Rerank,-0.1425587511362964,0.20010825758972894,0.63515809668792,12,4,0.0,0.0,0.0,40,1.0,1.0,,,,,6
GMM,2,101,Target-Only,-0.09343053651335309,0.5452745658515918,0.9209120094575888,27,0,0.0,0.0,0.0,40,1.0,1.0,0.0,0.0,0.0,0.0,0
GMM,2,101,Matching-Fixed-Filter,-0.562362312469198,0.07634278989574694,0.12893502916405208,1,2,1.0,1.0,1.0,10,0.25,0.0,1.0,0.5642857142857143,0.8285714285714287,0.29999999999999993,6
GMM,2,101,Matching-Adaptive-Filter,-0.25103013019253057,0.38767497217241437,0.6547426929443141,10,1,0.0,0.0,1.0,34,0.85,0.0,0.21285714285710655,0.5642857142857143,0.8285714285714287,0.29999999999999993,6
GMM,2,101,Random-Adaptive-Filter,-0.09343053651335309,0.5452745658515918,0.9209120094575888,27,0,0.0,0.0,1.0,38,0.95,1.0,0.099999999999975,0.0,-0.08571428571428573,-0.15000000000000002,6
GMM,2,101,Wrong-Adaptive-Filter,-0.09343053651335309,0.5452745658515918,0.9209120094575888,27,0,0.0,0.0,1.0,33,0.825,1.0,0.23714285714281844,0.6857142857142857,0.7714285714285715,0.6000000000000001,5
GMM,2,101,Oracle-Fixed-Filter,-0.25103013019253057,0.38767497217241437,0.6547426929443141,10,1,0.0,0.0,1.0,10,0.25,0.0,1.0,0.36428571428571427,0.4285714285714286,0.29999999999999993,1
GMM,2,101,Matching-Soft-Rerank,-0.562362312469198,0.07634278989574694,0.12893502916405208,1,2,1.0,1.0,0.0,40,1.0,1.0,,,,,6
Ackley,2,42,Target-Only,6.057261199507593,0.961180742356845,0.18594678882312807,1,0,1.0,1.0,0.0,40,1.0,1.0,0.0,0.0,0.0,0.0,0
Ackley,2,42,Matching-Fixed-Filter,6.057261199507593,0.961180742356845,0.18594678882312807,1,0,1.0,1.0,1.0,10,0.25,1.0,1.0,0.31785714285714284,0.48571428571428577,0.1499999999999999,4
Ackley,2,42,Matching-Adaptive-Filter,6.057261199507593,0.961180742356845,0.18594678882312807,1,0,1.0,1.0,1.0,36,0.9,1.0,0.16357142857139723,0.31785714285714284,0.48571428571428577,0.1499999999999999,4
Ackley,2,42,Random-Adaptive-Filter,6.057261199507593,0.961180742356845,0.18594678882312807,1,0,1.0,1.0,1.0,37,0.925,1.0,0.10857142857140271,0.042857142857142864,0.08571428571428573,-0.30000000000000004,4
Ackley,2,42,Wrong-Adaptive-Filter,6.057261199507593,0.961180742356845,0.18594678882312807,1,0,1.0,1.0,1.0,36,0.9,1.0,0.14071428571425665,0.20357142857142863,0.2571428571428572,0.15000000000000008,3
Ackley,2,42,Oracle-Fixed-Filter,6.057261199507593,0.961180742356845,0.18594678882312807,1,0,1.0,1.0,1.0,10,0.25,1.0,1.0,0.5821428571428572,0.7142857142857143,0.45,1
Ackley,2,42,Matching-Soft-Rerank,6.057261199507593,0.961180742356845,0.18594678882312807,1,0,1.0,1.0,0.0,40,1.0,1.0,,,,,4
Ackley,2,101,Target-Only,10.740305919409952,5.366227958543213,1.0285604424811952,37,0,0.0,0.0,0.0,40,1.0,1.0,0.0,0.0,0.0,0.0,0
Ackley,2,101,Matching-Fixed-Filter,7.651090484577095,2.277012523710356,0.43644158001043043,15,15,0.0,0.0,1.0,10,0.25,0.0,1.0,0.6678571428571429,0.8857142857142858,0.45,4
Ackley,2,101,Matching-Adaptive-Filter,10.740305919409952,5.366227958543213,1.0285604424811952,37,0,0.0,0.0,1.0,33,0.825,1.0,0.23357142857139024,0.6678571428571429,0.8857142857142858,0.45,4
Ackley,2,101,Random-Adaptive-Filter,10.740305919409952,5.366227958543213,1.0285604424811952,37,0,0.0,0.0,1.0,37,0.925,1.0,0.129999999999972,0.15,-0.028571428571428574,0.3,4
Ackley,2,101,Wrong-Adaptive-Filter,10.740305919409952,5.366227958543213,1.0285604424811952,37,0,0.0,0.0,1.0,37,0.925,1.0,0.129999999999972,0.14999999999999997,-0.028571428571428574,0.29999999999999993,4
Ackley,2,101,Oracle-Fixed-Filter,7.142580812201617,1.768502851334878,0.33897405949785075,10,14,0.0,0.0,1.0,10,0.25,0.0,1.0,0.8,1.0,0.6,1
Ackley,2,101,Matching-Soft-Rerank,8.756625233167076,3.3825472723003376,0.6483426246497535,20,5,0.0,0.0,0.0,40,1.0,1.0,,,,,4
