method,initial_best_y,final_best_y,known_optimum_y,total_improvement,final_normalized_regret,n_regions,filter_activation_rate,mean_retained_fraction,mean_compatibility_trust,problem,dim,seed
Target-Only,-0.12722582054929782,-0.3412465032669889,-1.0001911515148465,0.2140206827176911,0.7548348426609655,0,0.0,1.0,0.0,GMM,2,42
Matching-Fixed-Filter,-0.12722582054929782,-0.5749899088050583,-1.0001911515148465,0.4477640882557605,0.48707689484013267,6,1.0,0.25,1.0,GMM,2,42
Matching-Adaptive-Filter,-0.12722582054929782,-0.48843993977738454,-1.0001911515148465,0.3612141192280867,0.5862216901230618,6,1.0,0.8099999999999999,0.2688974636474343,GMM,2,42
Random-Adaptive-Filter,-0.12722582054929782,-0.3412465032669889,-1.0001911515148465,0.2140206827176911,0.7548348426609655,6,1.0,0.9550000000000001,0.08084642341783796,GMM,2,42
Wrong-Adaptive-Filter,-0.12722582054929782,-0.5025023476288002,-1.0001911515148465,0.3752765270795024,0.5701129085339214,6,1.0,0.8400000000000001,0.23123819830959996,GMM,2,42
Oracle-Fixed-Filter,-0.12722582054929782,-0.6227948332057867,-1.0001911515148465,0.49556901265648884,0.43231535654644876,1,0.8,0.4,1.0,GMM,2,42
Matching-Soft-Rerank,-0.12722582054929782,-0.4612292608578298,-1.0001911515148465,0.33400344030853196,0.617392090543727,6,0.0,1.0,,GMM,2,42
Target-Only,-0.31590510428679913,-0.7346142470845576,-1.0001911515148465,0.41870914279775845,0.3881080222315009,0,0.0,1.0,0.0,GMM,2,101
Matching-Fixed-Filter,-0.31590510428679913,-0.7346142470845576,-1.0001911515148465,0.41870914279775845,0.3881080222315009,6,1.0,0.25,1.0,GMM,2,101
Matching-Adaptive-Filter,-0.31590510428679913,-0.7346142470845576,-1.0001911515148465,0.41870914279775845,0.3881080222315009,6,1.0,0.845,0.2164052415837876,GMM,2,101
Random-Adaptive-Filter,-0.31590510428679913,-0.7346142470845576,-1.0001911515148465,0.41870914279775845,0.3881080222315009,6,1.0,0.945,0.09171151071149586,GMM,2,101
Wrong-Adaptive-Filter,-0.31590510428679913,-0.7346142470845576,-1.0001911515148465,0.41870914279775845,0.3881080222315009,5,1.0,0.825,0.2473173612101902,GMM,2,101
Oracle-Fixed-Filter,-0.31590510428679913,-0.45581161608767967,-1.0001911515148465,0.13990651180088054,0.7955438191855241,1,1.0,0.25,1.0,GMM,2,101
Matching-Soft-Rerank,-0.31590510428679913,-0.6523800628828991,-1.0001911515148465,0.33647495859609994,0.5082831807558905,6,0.0,1.0,,GMM,2,101
Target-Only,8.09282858543249,0.325479647225269,4.440892098500626e-16,7.767348938207222,0.04021828014634447,0,0.0,1.0,0.0,Ackley,2,42
Matching-Fixed-Filter,8.09282858543249,0.325479647225269,4.440892098500626e-16,7.767348938207222,0.04021828014634447,4,1.0,0.25,1.0,Ackley,2,42
Matching-Adaptive-Filter,8.09282858543249,0.325479647225269,4.440892098500626e-16,7.767348938207222,0.04021828014634447,4,1.0,0.835,0.23661858379712847,Ackley,2,42
Random-Adaptive-Filter,8.09282858543249,0.325479647225269,4.440892098500626e-16,7.767348938207222,0.04021828014634447,4,0.8,0.96,0.08947030747029276,Ackley,2,42
Wrong-Adaptive-Filter,8.09282858543249,0.325479647225269,4.440892098500626e-16,7.767348938207222,0.04021828014634447,3,1.0,0.85,0.21885245310242815,Ackley,2,42
Oracle-Fixed-Filter,8.09282858543249,1.6712083467821057,4.440892098500626e-16,6.421620238650386,0.20650484921803072,1,1.0,0.25,1.0,Ackley,2,42
Matching-Soft-Rerank,8.09282858543249,1.6712083467821057,4.440892098500626e-16,6.421620238650386,0.20650484921803072,4,0.0,1.0,,Ackley,2,42
Target-Only,5.67539244950752,5.474864553510589,4.440892098500626e-16,0.200527895996931,0.9646671313427265,0,0.0,1.0,0.0,Ackley,2,101
Matching-Fixed-Filter,5.67539244950752,5.357427985686964,4.440892098500626e-16,0.3179644638205552,0.9439748939567789,4,1.0,0.25,1.0,Ackley,2,101
Matching-Adaptive-Filter,5.67539244950752,5.474864553510589,4.440892098500626e-16,0.200527895996931,0.9646671313427265,4,1.0,0.7849999999999999,0.2992579008292974,Ackley,2,101
Random-Adaptive-Filter,5.67539244950752,5.474864553510589,4.440892098500626e-16,0.200527895996931,0.9646671313427265,4,1.0,0.915,0.13343390339817102,Ackley,2,101
Wrong-Adaptive-Filter,5.67539244950752,5.396588946909592,4.440892098500626e-16,0.27880350259792763,0.9508750266913928,4,1.0,0.925,0.12167461110316516,Ackley,2,101
Oracle-Fixed-Filter,5.67539244950752,5.67539244950752,4.440892098500626e-16,0.0,1.0,1,1.0,0.25,1.0,Ackley,2,101
Matching-Soft-Rerank,5.67539244950752,5.67539244950752,4.440892098500626e-16,0.0,1.0,4,0.0,1.0,,Ackley,2,101
