method,step,best_y,normalized_regret,filter_active,retained_fraction,compatibility_trust,problem,dim,seed
Target-Only,0,-0.12722582054929782,1.0,0.0,1.0,0.0,GMM,2,42
Target-Only,1,-0.12722582054929782,1.0,0.0,1.0,0.0,GMM,2,42
Target-Only,2,-0.20224759391117297,0.9140609933742765,0.0,1.0,0.0,GMM,2,42
Target-Only,3,-0.20224759391117297,0.9140609933742765,0.0,1.0,0.0,GMM,2,42
Target-Only,4,-0.24198507160224542,0.8685408836041434,0.0,1.0,0.0,GMM,2,42
Target-Only,5,-0.3412465032669889,0.7548348426609655,0.0,1.0,0.0,GMM,2,42
Matching-Fixed-Filter,0,-0.12722582054929782,1.0,0.0,1.0,0.0,GMM,2,42
Matching-Fixed-Filter,1,-0.12722582054929782,1.0,1.0,0.25,1.0,GMM,2,42
Matching-Fixed-Filter,2,-0.427605299748964,0.6559090395177211,1.0,0.25,1.0,GMM,2,42
Matching-Fixed-Filter,3,-0.427605299748964,0.6559090395177211,1.0,0.25,1.0,GMM,2,42
Matching-Fixed-Filter,4,-0.427605299748964,0.6559090395177211,1.0,0.25,1.0,GMM,2,42
Matching-Fixed-Filter,5,-0.5749899088050583,0.48707689484013267,1.0,0.25,1.0,GMM,2,42
Matching-Adaptive-Filter,0,-0.12722582054929782,1.0,0.0,1.0,0.0,GMM,2,42
Matching-Adaptive-Filter,1,-0.12722582054929782,1.0,1.0,0.85,0.22214285714281995,GMM,2,42
Matching-Adaptive-Filter,2,-0.20224759391117297,0.9140609933742765,1.0,0.85,0.2123051948051668,GMM,2,42
Matching-Adaptive-Filter,3,-0.20224759391117297,0.9140609933742765,1.0,0.8,0.2801587301587013,GMM,2,42
Matching-Adaptive-Filter,4,-0.24198507160224542,0.8685408836041434,1.0,0.8,0.28550824175821604,GMM,2,42
Matching-Adaptive-Filter,5,-0.48843993977738454,0.5862216901230618,1.0,0.75,0.34437229437226713,GMM,2,42
Random-Adaptive-Filter,0,-0.12722582054929782,1.0,0.0,1.0,0.0,GMM,2,42
Random-Adaptive-Filter,1,-0.12722582054929782,1.0,1.0,0.95,0.099999999999975,GMM,2,42
Random-Adaptive-Filter,2,-0.20224759391117297,0.9140609933742765,1.0,0.95,0.079999999999984,GMM,2,42
Random-Adaptive-Filter,3,-0.20224759391117297,0.9140609933742765,1.0,0.975,0.06666666666665555,GMM,2,42
Random-Adaptive-Filter,4,-0.24198507160224542,0.8685408836041434,1.0,0.975,0.05714285714284898,GMM,2,42
Random-Adaptive-Filter,5,-0.3412465032669889,0.7548348426609655,1.0,0.925,0.10042259327972626,GMM,2,42
Wrong-Adaptive-Filter,0,-0.12722582054929782,1.0,0.0,1.0,0.0,GMM,2,42
Wrong-Adaptive-Filter,1,-0.12722582054929782,1.0,1.0,0.825,0.25428571428567387,GMM,2,42
Wrong-Adaptive-Filter,2,-0.20224759391117297,0.9140609933742765,1.0,0.8,0.27291125541122196,GMM,2,42
Wrong-Adaptive-Filter,3,-0.5025023476288002,0.5701129085339214,1.0,0.85,0.21904761904759526,GMM,2,42
Wrong-Adaptive-Filter,4,-0.5025023476288002,0.5701129085339214,1.0,0.85,0.22380952380950278,GMM,2,42
Wrong-Adaptive-Filter,5,-0.5025023476288002,0.5701129085339214,1.0,0.875,0.18613687899400583,GMM,2,42
Oracle-Fixed-Filter,0,-0.12722582054929782,1.0,0.0,1.0,0.0,GMM,2,42
Oracle-Fixed-Filter,1,-0.12722582054929782,1.0,1.0,0.25,1.0,GMM,2,42
Oracle-Fixed-Filter,2,-0.12722582054929782,1.0,0.0,1.0,1.0,GMM,2,42
Oracle-Fixed-Filter,3,-0.12722582054929782,1.0,1.0,0.25,1.0,GMM,2,42
Oracle-Fixed-Filter,4,-0.6227948332057867,0.43231535654644876,1.0,0.25,1.0,GMM,2,42
Oracle-Fixed-Filter,5,-0.6227948332057867,0.43231535654644876,1.0,0.25,1.0,GMM,2,42
Matching-Soft-Rerank,0,-0.12722582054929782,1.0,0.0,1.0,,GMM,2,42
Matching-Soft-Rerank,1,-0.12722582054929782,1.0,0.0,1.0,,GMM,2,42
Matching-Soft-Rerank,2,-0.4612292608578298,0.617392090543727,0.0,1.0,,GMM,2,42
Matching-Soft-Rerank,3,-0.4612292608578298,0.617392090543727,0.0,1.0,,GMM,2,42
Matching-Soft-Rerank,4,-0.4612292608578298,0.617392090543727,0.0,1.0,,GMM,2,42
Matching-Soft-Rerank,5,-0.4612292608578298,0.617392090543727,0.0,1.0,,GMM,2,42
Target-Only,0,-0.31590510428679913,1.0,0.0,1.0,0.0,GMM,2,101
Target-Only,1,-0.31590510428679913,1.0,0.0,1.0,0.0,GMM,2,101
Target-Only,2,-0.5693057675360683,0.6296860585192963,0.0,1.0,0.0,GMM,2,101
Target-Only,3,-0.5693057675360683,0.6296860585192963,0.0,1.0,0.0,GMM,2,101
Target-Only,4,-0.5693057675360683,0.6296860585192963,0.0,1.0,0.0,GMM,2,101
Target-Only,5,-0.7346142470845576,0.3881080222315009,0.0,1.0,0.0,GMM,2,101
Matching-Fixed-Filter,0,-0.31590510428679913,1.0,0.0,1.0,0.0,GMM,2,101
Matching-Fixed-Filter,1,-0.5548021276389934,0.650881346594842,1.0,0.25,1.0,GMM,2,101
Matching-Fixed-Filter,2,-0.5548021276389934,0.650881346594842,1.0,0.25,1.0,GMM,2,101
Matching-Fixed-Filter,3,-0.5548021276389934,0.650881346594842,1.0,0.25,1.0,GMM,2,101
Matching-Fixed-Filter,4,-0.5548021276389934,0.650881346594842,1.0,0.25,1.0,GMM,2,101
Matching-Fixed-Filter,5,-0.7346142470845576,0.3881080222315009,1.0,0.25,1.0,GMM,2,101
Matching-Adaptive-Filter,0,-0.31590510428679913,1.0,0.0,1.0,0.0,GMM,2,101
Matching-Adaptive-Filter,1,-0.31590510428679913,1.0,1.0,0.85,0.21285714285710655,GMM,2,101
Matching-Adaptive-Filter,2,-0.5693057675360683,0.6296860585192963,1.0,0.85,0.2123051948051668,GMM,2,101
Matching-Adaptive-Filter,3,-0.5693057675360683,0.6296860585192963,1.0,0.85,0.21349206349204014,GMM,2,101
Matching-Adaptive-Filter,4,-0.5693057675360683,0.6296860585192963,1.0,0.85,0.20858516483514503,GMM,2,101
Matching-Adaptive-Filter,5,-0.7346142470845576,0.3881080222315009,1.0,0.825,0.2347866419294796,GMM,2,101
Random-Adaptive-Filter,0,-0.31590510428679913,1.0,0.0,1.0,0.0,GMM,2,101
