problem,dim,seed,method,step,best_y
GMM,2,42,Target-Only,0,-0.2392057150710081
GMM,2,42,Target-Only,1,-0.2392057150710081
GMM,2,42,Target-Only,2,-0.2392057150710081
GMM,2,42,Target-Only,3,-0.268151841434158
GMM,2,42,Target-Only,4,-0.3667756889763305
GMM,2,42,Target-Only,5,-0.36694220122334326
GMM,2,42,Target-Only,6,-0.4766553248373849
GMM,2,42,Target-Only,7,-0.4987695132387471
GMM,2,42,Target-Only,8,-0.4987695132387471
GMM,2,42,Target-Only,9,-0.4987695132387471
GMM,2,42,Target-Only,10,-0.4987695132387471
GMM,2,42,Source-Region,0,-0.2392057150710081
GMM,2,42,Source-Region,1,-0.3181439703718634
GMM,2,42,Source-Region,2,-0.4446523197322646
GMM,2,42,Source-Region,3,-0.4446523197322646
GMM,2,42,Source-Region,4,-0.4823480444126031
GMM,2,42,Source-Region,5,-0.49484682190199875
GMM,2,42,Source-Region,6,-0.49484682190199875
GMM,2,42,Source-Region,7,-0.49484682190199875
GMM,2,42,Source-Region,8,-0.49484682190199875
GMM,2,42,Source-Region,9,-0.49484682190199875
GMM,2,42,Source-Region,10,-0.4977388781596552
GMM,2,42,Random-Region,0,-0.2392057150710081
GMM,2,42,Random-Region,1,-0.2392057150710081
GMM,2,42,Random-Region,2,-0.2392057150710081
GMM,2,42,Random-Region,3,-0.2392057150710081
GMM,2,42,Random-Region,4,-0.26894579463859863
GMM,2,42,Random-Region,5,-0.3920412501106687
GMM,2,42,Random-Region,6,-0.43070611463351033
GMM,2,42,Random-Region,7,-0.43070611463351033
GMM,2,42,Random-Region,8,-0.43070611463351033
GMM,2,42,Random-Region,9,-0.4570713891716669
GMM,2,42,Random-Region,10,-0.4570713891716669
GMM,2,42,Wrong-Source,0,-0.2392057150710081
GMM,2,42,Wrong-Source,1,-0.2392057150710081
GMM,2,42,Wrong-Source,2,-0.2392057150710081
GMM,2,42,Wrong-Source,3,-0.268151841434158
GMM,2,42,Wrong-Source,4,-0.3667756889763305
GMM,2,42,Wrong-Source,5,-0.36694220122334326
GMM,2,42,Wrong-Source,6,-0.4766553248373849
GMM,2,42,Wrong-Source,7,-0.4987695132387471
GMM,2,42,Wrong-Source,8,-0.4987695132387471
GMM,2,42,Wrong-Source,9,-0.4987695132387471
GMM,2,42,Wrong-Source,10,-0.4987695132387471
GMM,2,42,Oracle-Target-Region,0,-0.2392057150710081
GMM,2,42,Oracle-Target-Region,1,-0.3523043469357073
GMM,2,42,Oracle-Target-Region,2,-0.5683722486175634
GMM,2,42,Oracle-Target-Region,3,-0.732402819253277
GMM,2,42,Oracle-Target-Region,4,-0.732402819253277
GMM,2,42,Oracle-Target-Region,5,-0.732402819253277
GMM,2,42,Oracle-Target-Region,6,-0.732402819253277
GMM,2,42,Oracle-Target-Region,7,-0.7647154724292717
GMM,2,42,Oracle-Target-Region,8,-0.8380735553490178
GMM,2,42,Oracle-Target-Region,9,-0.9734616352607792
GMM,2,42,Oracle-Target-Region,10,-0.9734616352607792
GMM,2,42,Hard-Filter,0,-0.2392057150710081
GMM,2,42,Hard-Filter,1,-0.2392057150710081
GMM,2,42,Hard-Filter,2,-0.2726585712207923
GMM,2,42,Hard-Filter,3,-0.32409354369332616
GMM,2,42,Hard-Filter,4,-0.32409354369332616
GMM,2,42,Hard-Filter,5,-0.32409354369332616
GMM,2,42,Hard-Filter,6,-0.32409354369332616
GMM,2,42,Hard-Filter,7,-0.32409354369332616
GMM,2,42,Hard-Filter,8,-0.4040210874296308
GMM,2,42,Hard-Filter,9,-0.42832065906118755
GMM,2,42,Hard-Filter,10,-0.42832065906118755
GMM,2,101,Target-Only,0,-0.2858656567805446
GMM,2,101,Target-Only,1,-0.45792342458339114
GMM,2,101,Target-Only,2,-0.5248581641989865
GMM,2,101,Target-Only,3,-0.6577924054277664
GMM,2,101,Target-Only,4,-0.6577924054277664
GMM,2,101,Target-Only,5,-0.752255663683605
GMM,2,101,Target-Only,6,-0.752255663683605
GMM,2,101,Target-Only,7,-0.7873017083363058
GMM,2,101,Target-Only,8,-0.7873017083363058
GMM,2,101,Target-Only,9,-0.7873017083363058
GMM,2,101,Target-Only,10,-0.7873017083363058
GMM,2,101,Source-Region,0,-0.2858656567805446
GMM,2,101,Source-Region,1,-0.45792342458339114
GMM,2,101,Source-Region,2,-0.598156237553919
GMM,2,101,Source-Region,3,-0.6869871824553153
GMM,2,101,Source-Region,4,-0.6869871824553153
GMM,2,101,Source-Region,5,-0.7625895718179541
GMM,2,101,Source-Region,6,-0.7625895718179541
GMM,2,101,Source-Region,7,-0.7822359584522085
GMM,2,101,Source-Region,8,-0.7822359584522085
GMM,2,101,Source-Region,9,-0.7822359584522085
GMM,2,101,Source-Region,10,-0.7822359584522085
GMM,2,101,Random-Region,0,-0.2858656567805446
GMM,2,101,Random-Region,1,-0.2858656567805446
GMM,2,101,Random-Region,2,-0.2858656567805446
GMM,2,101,Random-Region,3,-0.40253951505138746
GMM,2,101,Random-Region,4,-0.40253951505138746
GMM,2,101,Random-Region,5,-0.44727410720997435
GMM,2,101,Random-Region,6,-0.6990419925645412
GMM,2,101,Random-Region,7,-0.6990419925645412
GMM,2,101,Random-Region,8,-0.7771945687131578
GMM,2,101,Random-Region,9,-0.7771945687131578
GMM,2,101,Random-Region,10,-0.7771945687131578
GMM,2,101,Wrong-Source,0,-0.2858656567805446
GMM,2,101,Wrong-Source,1,-0.45792342458339114
GMM,2,101,Wrong-Source,2,-0.5248581641989865
GMM,2,101,Wrong-Source,3,-0.6577924054277664
GMM,2,101,Wrong-Source,4,-0.6577924054277664
GMM,2,101,Wrong-Source,5,-0.752255663683605
GMM,2,101,Wrong-Source,6,-0.752255663683605
GMM,2,101,Wrong-Source,7,-0.7873017083363058
GMM,2,101,Wrong-Source,8,-0.7873017083363058
GMM,2,101,Wrong-Source,9,-0.7873017083363058
GMM,2,101,Wrong-Source,10,-0.7873017083363058
GMM,2,101,Oracle-Target-Region,0,-0.2858656567805446
GMM,2,101,Oracle-Target-Region,1,-0.2858656567805446
GMM,2,101,Oracle-Target-Region,2,-0.3217015940351673
GMM,2,101,Oracle-Target-Region,3,-0.6869871824553153
GMM,2,101,Oracle-Target-Region,4,-0.6869871824553153
GMM,2,101,Oracle-Target-Region,5,-0.6869871824553153
GMM,2,101,Oracle-Target-Region,6,-0.7676884781125504
GMM,2,101,Oracle-Target-Region,7,-0.7676884781125504
GMM,2,101,Oracle-Target-Region,8,-0.7952529219489735
GMM,2,101,Oracle-Target-Region,9,-0.7952529219489735
GMM,2,101,Oracle-Target-Region,10,-0.7952529219489735
GMM,2,101,Hard-Filter,0,-0.2858656567805446
GMM,2,101,Hard-Filter,1,-0.45792342458339114
GMM,2,101,Hard-Filter,2,-0.5248581641989865
GMM,2,101,Hard-Filter,3,-0.6577924054277664
GMM,2,101,Hard-Filter,4,-0.6577924054277664
GMM,2,101,Hard-Filter,5,-0.6577924054277664
GMM,2,101,Hard-Filter,6,-0.7819086638013799
GMM,2,101,Hard-Filter,7,-0.7819086638013799
GMM,2,101,Hard-Filter,8,-0.7819086638013799
GMM,2,101,Hard-Filter,9,-0.7819086638013799
GMM,2,101,Hard-Filter,10,-0.7819086638013799
GMM,2,2026,Target-Only,0,-0.46503067946996396
GMM,2,2026,Target-Only,1,-0.5682642985056248
GMM,2,2026,Target-Only,2,-0.5682642985056248
GMM,2,2026,Target-Only,3,-0.5682642985056248
GMM,2,2026,Target-Only,4,-0.574672222997621
GMM,2,2026,Target-Only,5,-0.59458080024611
GMM,2,2026,Target-Only,6,-0.59458080024611
GMM,2,2026,Target-Only,7,-0.59458080024611
GMM,2,2026,Target-Only,8,-0.59458080024611
GMM,2,2026,Target-Only,9,-0.59458080024611
GMM,2,2026,Target-Only,10,-0.59458080024611
GMM,2,2026,Source-Region,0,-0.46503067946996396
GMM,2,2026,Source-Region,1,-0.5222680403814511
GMM,2,2026,Source-Region,2,-0.5514895781127414
GMM,2,2026,Source-Region,3,-0.5514895781127414
GMM,2,2026,Source-Region,4,-0.574672222997621
GMM,2,2026,Source-Region,5,-0.5939577193484452
GMM,2,2026,Source-Region,6,-0.5939577193484452
GMM,2,2026,Source-Region,7,-0.5939577193484452
GMM,2,2026,Source-Region,8,-0.5939577193484452
