dim,seed,sample_size,noise_level,task_id,region_id,center,covariance,region_quality,core_count,context_count,bic,model_type,oof_spearman,oof_ndcg,oof_precision_at_top,geometry_spearman,geometry_ndcg,reliability,boundary_fraction,center_true_y
2,42,100,0.0,controlled_d2_s42,controlled_d2_s42::region_0,"[1.2896750039142897, -0.8646570314630951]","[[6.131285726566116, -0.5102737991049322], [-0.5102737991049322, 0.6088770482166234]]",0.8881673881673882,14,42,164.04856534052146,gp,0.9351754314885342,0.9948697288588981,0.8,0.49955433109148367,0.6581879454587581,0.9303777279605011,0.6666666666666667,-0.26682679885091704
2,42,100,0.0,controlled_d2_s42,controlled_d2_s42::region_1,"[2.809060266363125, 3.303198701245123]","[[0.23747250172355158, -0.153008419258847], [-0.153008419258847, 0.1723758478060042]]",0.9410774410774411,6,20,164.04856534052146,gp,0.932330827067669,1.0,1.0,0.8676691729323308,0.8417624349420092,0.932330827067669,0.7,-0.7428821331266995
2,42,100,0.02,controlled_d2_s42,controlled_d2_s42::region_0,"[1.2896750039142897, -0.8646570314630951]","[[6.131285726566116, -0.5102737991049322], [-0.5102737991049322, 0.6088770482166234]]",0.8874458874458874,14,42,164.04856534052146,gp,0.7876995381249494,0.9712376981773134,0.8,0.5162466574831862,0.6866072747382925,0.7650434862638088,0.6666666666666667,-0.26682679885091704
2,42,100,0.02,controlled_d2_s42,controlled_d2_s42::region_1,"[2.809060266363125, 3.303198701245123]","[[0.23747250172355158, -0.153008419258847], [-0.153008419258847, 0.1723758478060042]]",0.9427609427609428,6,20,164.04856534052146,gp,0.8601503759398496,1.0,1.0,0.8556390977443609,0.8417624349420092,0.8601503759398496,0.7,-0.7428821331266995
2,42,100,0.05,controlled_d2_s42,controlled_d2_s42::region_0,"[2.703440900085688, 3.2091897602700525]","[[0.30701154671168857, -0.027896457163520044], [-0.027896457163520044, 0.24747766521448103]]",0.935064935064935,7,21,172.34700494157104,gp,0.43376623376623374,0.7429352836111981,0.0,0.7857142857142857,0.9073070887047594,0.3222602399040781,0.6666666666666667,-0.861879463879192
2,42,100,0.05,controlled_d2_s42,controlled_d2_s42::region_1,"[1.294518174699655, -0.8597825164149245]","[[6.602517653933844, -0.5498191557451697], [-0.5498191557451697, 0.6555037676997436]]",0.8873348873348874,13,39,172.34700494157104,gp,0.7694331983805669,0.978666563624448,1.0,0.415587044534413,0.5574888918542567,0.7530185441976777,0.6666666666666667,-0.268131403678892
2,42,250,0.0,controlled_d2_s42,controlled_d2_s42::region_0,"[-2.7580033665343104, -0.9586797700728883]","[[0.44428233491727226, -0.08274386622498142], [-0.08274386622498142, 0.6356242243128497]]",0.8966776195691858,11,33,399.4591680789214,gp,0.9816176470588236,0.9923453812093145,1.0,0.886029411764706,0.9844890941365853,0.9741037381723786,0.6666666666666667,-0.6506514872992029
2,42,250,0.0,controlled_d2_s42,controlled_d2_s42::region_1,"[2.7779793036585763, 2.985699740666107]","[[0.9206489905810227, -0.30757309684990963], [-0.30757309684990963, 0.31195608067134406]]",0.9053714859437751,16,48,399.4591680789214,gp,0.9897959183673469,0.9811809778987771,1.0,0.9376899696048632,0.9972517649896047,0.9711689271038916,0.6666666666666667,-0.9828979908693866
2,42,250,0.0,controlled_d2_s42,controlled_d2_s42::region_2,"[2.438024941781623, -1.4487578055071928]","[[0.6724993074289526, -0.2583562994193178], [-0.2583562994193178, 0.8491441389813291]]",0.9013445084686573,23,69,399.4591680789214,gp,0.9853118498301185,0.9905050640936585,1.0,0.8880160759956157,0.9878887057214236,0.9759563769682228,0.6666666666666667,-0.8255157799683871
2,42,250,0.02,controlled_d2_s42,controlled_d2_s42::region_0,"[-2.67415780777375, -0.8893314552844542]","[[0.613121827625975, -0.20947788603983197], [-0.20947788603983197, 0.7124610458810164]]",0.8863144887241272,13,39,401.2616478809348,gp,0.907940686420131,0.9592316655884036,0.75,0.8305668016194333,0.9592316655884036,0.8709254568902607,0.6666666666666667,-0.6753888207928754
