dim,seed,sample_size,noise_level,method,basin_recall,mean_matched_mahalanobis,median_matched_mahalanobis,normalized_center_error,normalized_shape_error,extracted_count,oracle_count
2,42,120,0.0,Proposed-Local-Structure,1.0,0.29428114028538394,0.3012507253265098,0.02007166064678506,0.13102439600866891,3,3
2,42,120,0.0,Top-Observations,0.6666666666666666,2.0619393534545387,0.6270101790296297,0.1298005001057435,0.11970445323340935,3,3
2,42,120,0.0,Random-Centers,0.6666666666666666,5.020688236245482,2.328568546242267,0.26755375609987353,0.1195915078691281,3,3
2,42,120,0.02,Proposed-Local-Structure,1.0,0.2942811402853838,0.3012507253265098,0.020071660646785054,0.131024396008669,3,3
2,42,120,0.02,Top-Observations,0.6666666666666666,2.18285312513978,0.6270101790296297,0.13744700011966265,0.11970445323340935,3,3
2,42,120,0.02,Random-Centers,0.3333333333333333,3.8240464323213312,3.5990020451602978,0.18108772852376093,0.1195915078691281,3,3
2,42,240,0.0,Proposed-Local-Structure,1.0,0.3361699206039215,0.37929221060027396,0.022201374798770518,0.14725678274994083,3,3
2,42,240,0.0,Top-Observations,0.3333333333333333,3.919096778225178,4.118980449389724,0.250994793181418,0.11978550766091355,3,3
2,42,240,0.0,Random-Centers,0.3333333333333333,2.738144650726549,3.1520089936199565,0.166302427880434,0.1195915078691281,3,3
2,42,240,0.02,Proposed-Local-Structure,1.0,0.3149600155377777,0.38205270234013805,0.02086093184986558,0.16426865238704214,3,3
2,42,240,0.02,Top-Observations,0.3333333333333333,3.919096778225178,4.118980449389724,0.250994793181418,0.11978550766091355,3,3
2,42,240,0.02,Random-Centers,0.3333333333333333,3.733551669111414,4.120364485810529,0.2263739935165614,0.1195915078691281,3,3
2,101,120,0.0,Proposed-Local-Structure,1.0,0.252849407884658,0.1516459735486721,0.010817017521429679,0.14103134471148812,3,3
2,101,120,0.0,Top-Observations,0.6666666666666666,2.878131568329135,0.8785259164848256,0.10883763855046802,0.1052869374301895,3,3
2,101,120,0.0,Random-Centers,0.0,9.889878846190909,6.54970159972124,0.42767328735996285,0.1046992775027365,3,3
2,101,120,0.02,Proposed-Local-Structure,1.0,0.252849407884658,0.1516459735486721,0.010817017521429679,0.14103134471148812,3,3
2,101,120,0.02,Top-Observations,0.6666666666666666,2.878131568329135,0.8785259164848256,0.10883763855046802,0.1052869374301895,3,3
2,101,120,0.02,Random-Centers,0.0,3.493583347286783,3.6542758756493376,0.18434899235555904,0.1046992775027365,3,3
2,101,240,0.0,Proposed-Local-Structure,1.0,0.19080262877544688,0.19245288327285592,0.009889865026680045,0.17268673398460543,3,3
2,101,240,0.0,Top-Observations,1.0,0.3759620331820357,0.39881191764565904,0.017982723125530453,0.1044557592995307,3,3
2,101,240,0.0,Random-Centers,0.0,5.603864766899863,4.48473244723831,0.24690350518094134,0.1046992775027365,3,3
2,101,240,0.02,Proposed-Local-Structure,1.0,0.19080262877544715,0.19245288327285656,0.009889865026680048,0.17268673398460546,3,3
2,101,240,0.02,Top-Observations,1.0,0.3759620331820357,0.39881191764565904,0.017982723125530453,0.1044557592995307,3,3
2,101,240,0.02,Random-Centers,0.0,6.856218166952307,5.415353599816064,0.31603855669825026,0.1046992775027365,3,3
