dim,seed,sample_size,noise_level,task_id,region_id,center,covariance,region_quality,core_count,context_count,bic,model_type,oof_spearman,oof_ndcg,oof_precision_at_top,geometry_spearman,geometry_ndcg,reliability,boundary_fraction,center_true_y
2,42,120,0.0,controlled_d2_s42,controlled_d2_s42::region_0,"[3.307148827386922, 2.7106854494229546]","[[0.5159865595978603, -0.18614310643310328], [-0.18614310643310328, 0.23826695752097912]]",0.9051620648259303,7,21,195.65080822217493,gp,0.961038961038961,0.9690830915412106,0.6666666666666666,0.8701298701298701,0.9073070887047594,0.9313266074551895,0.6666666666666667,-0.9134200399848441
2,42,120,0.0,controlled_d2_s42,controlled_d2_s42::region_1,"[-2.583396244269889, -0.8410469009744194]","[[0.3270156575448095, -0.19669153568766423], [-0.19669153568766423, 0.5011458071167301]]",0.8907563025210085,7,21,195.65080822217493,gp,0.922077922077922,0.9957366944667474,1.0,0.9337662337662337,0.9957366944667474,0.9181468221706371,0.6666666666666667,-0.6915589455326691
2,42,120,0.0,controlled_d2_s42,controlled_d2_s42::region_2,"[2.687732158292322, -1.0499686060668068]","[[0.46617508056011, 0.11191881198373071], [0.11191881198373071, 0.503617210579978]]",0.9109243697478993,10,30,195.65080822217493,gp,0.9283648498331479,0.8779594960531748,0.3333333333333333,0.8402669632925472,0.9832313421735352,0.8150667357129918,0.6666666666666667,-0.8122924131202054
2,42,120,0.02,controlled_d2_s42,controlled_d2_s42::region_0,"[-2.583396244269889, -0.8410469009744194]","[[0.3270156575448095, -0.19669153568766423], [-0.19669153568766423, 0.5011458071167301]]",0.8931572629051621,7,21,195.65080822217496,gp,0.8792207792207792,0.9875586175104039,1.0,0.9324675324675323,1.0,0.8682820572136928,0.6666666666666667,-0.6915589455326691
2,42,120,0.02,controlled_d2_s42,controlled_d2_s42::region_1,"[2.687732158292322, -1.0499686060668068]","[[0.4661750805601099, 0.11191881198373077], [0.11191881198373077, 0.5036172105799781]]",0.9109243697478993,10,30,195.65080822217496,gp,0.8100111234705227,0.9377897782809592,0.6666666666666666,0.846496106785317,1.0,0.7596201518845322,0.6666666666666667,-0.8122924131202054
2,42,120,0.02,controlled_d2_s42,controlled_d2_s42::region_2,"[3.3071488273869214, 2.7106854494229546]","[[0.5159865595978602, -0.1861431064331031], [-0.1861431064331031, 0.23826695752097904]]",0.9027611044417767,7,21,195.65080822217496,gp,0.7831168831168831,0.9690830915412106,0.6666666666666666,0.7714285714285715,0.9073070887047594,0.758905330129026,0.6666666666666667,-0.9134200399848442
2,42,240,0.0,controlled_d2_s42,controlled_d2_s42::region_0,"[-2.41705946395761, -1.280459183784544]","[[0.5446108477761766, 0.24625408384126266], [0.24625408384126266, 0.44097792487259285]]",0.8878138075313807,16,48,374.381366737529,gp,0.9869735128093791,1.0,1.0,0.874945722970039,0.9824773586202146,0.9869735128093791,0.6666666666666667,-0.6151417829441294
2,42,240,0.0,controlled_d2_s42,controlled_d2_s42::region_1,"[2.80780968299103, 2.929706823740211]","[[0.6432901347219253, -0.35936377916760653], [-0.35936377916760653, 0.41519323942778386]]",0.9166168559473997,14,42,374.381366737529,gp,0.9714725794200297,0.9863535522413295,0.8,0.9131350781946359,0.9896971223570893,0.9582154296159934,0.6666666666666667,-0.9927702988946794
2,42,240,0.0,controlled_d2_s42,controlled_d2_s42::region_2,"[2.2827468651426384, -1.3743460423658522]","[[0.5801622466866138, -0.049222953724526716], [-0.049222953724526716, 0.8157909550656431]]",0.9023709902370991,18,54,374.381366737529,gp,0.997636744806556,0.992872318854243,1.0,0.9156851534210023,0.9036417920185876,0.9905259081902839,0.6666666666666667,-0.7910059623611788
2,42,240,0.02,controlled_d2_s42,controlled_d2_s42::region_0,"[-2.404131060160717, -1.2181455636801504]","[[0.5782425929220666, 0.24978493895570592], [0.24978493895570592, 0.40824427518093576]]",0.8923291492329148,15,45,375.39510773260406,gp,0.9263504611330698,0.9970605783077218,1.0,0.8708827404479577,0.9762080816231349,0.9236275264929633,0.6666666666666667,-0.6348591899233059
2,42,240,0.02,controlled_d2_s42,controlled_d2_s42::region_1,"[2.8078162483600337, 2.929743075332737]","[[0.6433137345087648, -0.3593836566317185], [-0.3593836566317185, 0.41518696669880367]]",0.9178123132098027,14,42,375.39510773260406,gp,0.8356697188234341,0.9955533565293336,1.0,0.8933635847986389,0.9896971223570893,0.8319537935245943,0.6666666666666667,-0.9927696420957919
2,42,240,0.02,controlled_d2_s42,controlled_d2_s42::region_2,"[2.2983039809278742, -1.4582822593219475]","[[0.5539630935839479, -0.07009456569599834], [-0.07009456569599834, 0.9006030487707888]]",0.897159216031711,19,57,375.39510773260406,gp,0.9503978222310511,0.9881658735691745,0.8333333333333334,0.8646616541353385,0.8807586806125388,0.9391506942431876,0.6666666666666667,-0.7901751240988459
