dataset,method_a,method_b,metric,n_pairs,mean_effect,ci_low,ci_high,wilcoxon_pratt_one_sided_p,wilcoxon_one_sided_p,rank_biserial,wins,ties,losses,win_rate,tie_rate,loss_rate
mechanism,Local-Rank-No-Reliability,Geometry-Only,normalized_regret,64,-0.006298818967115044,-0.033454338213804176,0.02078642592275187,0.43180082824231036,0.43180082824231036,0.07692307692307693,7,51,6,0.109375,0.796875,0.09375
mechanism,Local-Rank+Reliability,Geometry-Only,normalized_regret,64,-0.006298818967115044,-0.033596189901759596,0.020182291461578274,0.43180082824231036,0.43180082824231036,0.07692307692307693,7,51,6,0.109375,0.796875,0.09375
mechanism,Reversed-Local-Rank,Geometry-Only,normalized_regret,64,-0.08659989441980184,-0.15295478038261331,-0.027451726061331685,0.9912788848559818,0.9912788848559818,-0.44,7,39,18,0.109375,0.609375,0.28125
mechanism,Local-Rank-No-Reliability,Geometry-Only,top10_hit,64,0.03125,-0.03125,0.09375,0.15865525393145707,0.15865525393145707,0.5,3,60,1,0.046875,0.9375,0.015625
mechanism,Local-Rank+Reliability,Geometry-Only,top10_hit,64,0.03125,-0.03125,0.09375,0.15865525393145707,0.15865525393145707,0.5,3,60,1,0.046875,0.9375,0.015625
mechanism,Reversed-Local-Rank,Geometry-Only,top10_hit,64,-0.140625,-0.234375,-0.0625,0.9986501019683699,0.9986501019683699,-1.0,0,55,9,0.0,0.859375,0.140625
sequential,Local-Rank-No-Reliability,Geometry-Only,final_normalized_regret,64,-0.03465637341609498,-0.07513969709124975,0.0072098249209614955,0.9213305127599497,0.9213305127599497,-0.16279069767441862,18,21,25,0.28125,0.328125,0.390625
sequential,Local-Rank+Reliability,Geometry-Only,final_normalized_regret,64,-0.03465637341609498,-0.0762836392587556,0.006289052332555564,0.9213305127599497,0.9213305127599497,-0.16279069767441862,18,21,25,0.28125,0.328125,0.390625
sequential,Local-Rank-No-Reliability,Geometry-Only,auc_normalized_regret,64,-0.14843832988062283,-0.7585910225652219,0.4559339617774852,0.7047245748616551,0.7047245748616551,-0.08695652173913043,21,18,25,0.328125,0.28125,0.390625
sequential,Local-Rank+Reliability,Geometry-Only,auc_normalized_regret,64,-0.14843832988062283,-0.7725141618273278,0.4354479267390893,0.7047245748616551,0.7047245748616551,-0.08695652173913043,21,18,25,0.328125,0.28125,0.390625
