problem,dim,seed,candidate_index,x,acquisition,truth,truth_reveal,raw_pool_index,raw_pool_hash,proposal_hash,truth_hash,candidate_count,pool_duplicate_count,target_source_overlap_count,geometry_score,geometry_score_normalized,local_rank_no_reliability_score,local_rank_no_reliability_score_normalized,local_rank_reliability_score,local_rank_reliability_score_normalized,reversed_local_rank_score,reversed_local_rank_score_normalized
GMM,2,42,0,"[-3.7811095148889895, 1.7084510578532814]",0.02556345657131998,-0.14253800384523044,offline_mechanism_reveal,1211,7f09129896d2d4554d1189a124e340c543dca233f6c50bb315d49f3562bfe378,0c1ae3dfbbbcfe49f62243cd5e3ae7b8f05cc9d77a583581deb521452e9362a7,af2c7a158e4945d0f2f9441c3a2c3d662f993d6da482686586ff04ef7091f50f,100,0,0,0.053507722376655895,0.5454545454545454,0.027652112908699625,0.47474747474747475,0.026507731499353364,0.47474747474747475,0.029914907047074463,0.6565656565656566
GMM,2,42,1,"[-4.386308052456381, 1.691644188186979]",0.025529869932826993,-0.04843086276661609,offline_mechanism_reveal,1014,7f09129896d2d4554d1189a124e340c543dca233f6c50bb315d49f3562bfe378,0c1ae3dfbbbcfe49f62243cd5e3ae7b8f05cc9d77a583581deb521452e9362a7,af2c7a158e4945d0f2f9441c3a2c3d662f993d6da482686586ff04ef7091f50f,100,0,0,0.0017615867300395645,0.2828282828282828,0.0005079550533724066,0.25252525252525254,0.0004869333570636233,0.25252525252525254,0.0013706185424089093,0.31313131313131315
GMM,2,42,2,"[-1.0334724467451806, 1.7147297150181595]",0.02550057874938559,-0.1267874250073009,offline_mechanism_reveal,16,7f09129896d2d4554d1189a124e340c543dca233f6c50bb315d49f3562bfe378,0c1ae3dfbbbcfe49f62243cd5e3ae7b8f05cc9d77a583581deb521452e9362a7,af2c7a158e4945d0f2f9441c3a2c3d662f993d6da482686586ff04ef7091f50f,100,0,0,0.0013148064852018543,0.2727272727272727,0.0007191976506968855,0.2828282828282828,0.0006894336893019468,0.2828282828282828,0.0006969989185155831,0.29292929292929293
GMM,2,42,3,"[-1.8570072908380575, 1.6958609447012645]",0.02547979427509996,-0.28099097525857303,offline_mechanism_reveal,72,7f09129896d2d4554d1189a124e340c543dca233f6c50bb315d49f3562bfe378,0c1ae3dfbbbcfe49f62243cd5e3ae7b8f05cc9d77a583581deb521452e9362a7,af2c7a158e4945d0f2f9441c3a2c3d662f993d6da482686586ff04ef7091f50f,100,0,0,0.1030205946630898,0.6363636363636364,0.07910300364083686,0.6565656565656566,0.075829329506462,0.6565656565656566,0.03280347184128334,0.6868686868686869
GMM,2,42,4,"[-2.3433824390655222, 1.6888527022186475]",0.025462335748736,-0.34494156588177943,offline_mechanism_reveal,1021,7f09129896d2d4554d1189a124e340c543dca233f6c50bb315d49f3562bfe378,0c1ae3dfbbbcfe49f62243cd5e3ae7b8f05cc9d77a583581deb521452e9362a7,af2c7a158e4945d0f2f9441c3a2c3d662f993d6da482686586ff04ef7091f50f,100,0,0,0.371354927116334,0.9191919191919192,0.3133918356468228,0.8787878787878788,0.30042212907361227,0.8787878787878788,0.09116293368849042,0.9595959595959596
GMM,2,42,5,"[0.45586106972809226, 1.7281624325332334]",0.025459894299491047,-0.4927294362115931,offline_mechanism_reveal,1153,7f09129896d2d4554d1189a124e340c543dca233f6c50bb315d49f3562bfe378,0c1ae3dfbbbcfe49f62243cd5e3ae7b8f05cc9d77a583581deb521452e9362a7,af2c7a158e4945d0f2f9441c3a2c3d662f993d6da482686586ff04ef7091f50f,100,0,0,0.016012522209353577,0.37373737373737376,0.013329615848286154,0.40404040404040403,0.01284689199988095,0.40404040404040403,0.004129010411086179,0.37373737373737376
GMM,2,42,6,"[1.2597127855358536, 1.7391001207568468]",0.025415700365799813,-0.9309061677345853,offline_mechanism_reveal,1032,7f09129896d2d4554d1189a124e340c543dca233f6c50bb315d49f3562bfe378,0c1ae3dfbbbcfe49f62243cd5e3ae7b8f05cc9d77a583581deb521452e9362a7,af2c7a158e4945d0f2f9441c3a2c3d662f993d6da482686586ff04ef7091f50f,100,0,0,0.22100897237276176,0.7777777777777778,0.2046996164273674,0.797979797979798,0.19728654558319952,0.797979797979798,0.037019249462413965,0.7575757575757576
GMM,2,42,7,"[-3.6828761209859295, 1.7647613078125453]",0.02541024317780831,-0.17086884931243876,offline_mechanism_reveal,1438,7f09129896d2d4554d1189a124e340c543dca233f6c50bb315d49f3562bfe378,0c1ae3dfbbbcfe49f62243cd5e3ae7b8f05cc9d77a583581deb521452e9362a7,af2c7a158e4945d0f2f9441c3a2c3d662f993d6da482686586ff04ef7091f50f,100,0,0,0.08014404349785725,0.5959595959595959,0.04588820514890237,0.5858585858585859,0.04398912390856251,0.5858585858585859,0.04052089066648508,0.8181818181818182
GMM,2,42,8,"[0.07905915399268526, 1.6896137803145876]",0.025408235125884332,-0.28590648468720636,offline_mechanism_reveal,1065,7f09129896d2d4554d1189a124e340c543dca233f6c50bb315d49f3562bfe378,0c1ae3dfbbbcfe49f62243cd5e3ae7b8f05cc9d77a583581deb521452e9362a7,af2c7a158e4945d0f2f9441c3a2c3d662f993d6da482686586ff04ef7091f50f,100,0,0,0.002329777740989299,0.30303030303030304,0.0018444810336074608,0.3333333333333333,0.0017776842862002292,0.3333333333333333,0.0006922626124323266,0.2727272727272727
GMM,2,42,9,"[0.17636788460138675, 1.747710861162151]",0.025408079831056717,-0.32910789894943493,offline_mechanism_reveal,201,7f09129896d2d4554d1189a124e340c543dca233f6c50bb315d49f3562bfe378,0c1ae3dfbbbcfe49f62243cd5e3ae7b8f05cc9d77a583581deb521452e9362a7,af2c7a158e4945d0f2f9441c3a2c3d662f993d6da482686586ff04ef7091f50f,100,0,0,0.003971600249140459,0.32323232323232326,0.0031467624576522833,0.3434343434343434,0.0030328043885778293,0.3434343434343434,0.0011777439162605847,0.30303030303030304
GMM,2,42,10,"[0.6944009758673308, 1.6923739896447163]",0.025407247639135162,-0.6526788873147292,offline_mechanism_reveal,1105,7f09129896d2d4554d1189a124e340c543dca233f6c50bb315d49f3562bfe378,0c1ae3dfbbbcfe49f62243cd5e3ae7b8f05cc9d77a583581deb521452e9362a7,af2c7a158e4945d0f2f9441c3a2c3d662f993d6da482686586ff04ef7091f50f,100,0,0,0.04371117755212102,0.48484848484848486,0.037995154921231435,0.5454545454545454,0.036619183729481974,0.5454545454545454,0.00972184079442526,0.41414141414141414
