problem,dim,seed,method,step,best_y,selected_y,known_optimum_y,normalized_regret,raw_pool_hash,proposal_hash
GMM,2,42,Target-Only,0,-0.39708442492990237,,-1.0001911515148465,1.0,,
GMM,2,42,Target-Only,1,-0.39708442492990237,-0.0446281743837337,-1.0001911515148465,1.0,e87128f03af5bf05ecf2f02212acdd782f490313b010e4a59138485c8e90e0c9,424047274c344e4a0f938df682b92289e0fdee3726c6b61d9d8dd5edb943735f
GMM,2,42,Target-Only,2,-0.39708442492990237,-0.09768864995623962,-1.0001911515148465,1.0,7088958364f1c2a83fb77c0ea4d01c011aa10bbaf7ab087f561e1e89efd2e2f2,0ef91e6b473264636cde433080530bb6102f11e6c2e399a2ae3538ec79fd163e
GMM,2,42,Target-Only,3,-0.4600122758193541,-0.4600122758193541,-1.0001911515148465,0.8956605056524954,e64a8da4f98f65813d18371d419ff2bab4ec38107c591df4c1a070733fc911a9,a4006289543ba3a8762bc616a54097a1352bcca230a9915ce2a63c5c703046e1
GMM,2,42,Target-Only,4,-0.4600122758193541,-0.01924495237509247,-1.0001911515148465,0.8956605056524954,36a701127c473abfcec3d18dc998079efee7c9a76b0667ccfa3bc923be54c9f7,d02368cafd5aae4d1840213c486911b7ea246f2cea1d7d709f7828bfcdb00c93
GMM,2,42,Target-Only,5,-0.4600122758193541,-0.3408404594280884,-1.0001911515148465,0.8956605056524954,af45f6e6c523293cb202315f2bfccb18161f5a7c56b534d8bd2fda65bb1ec1d9,01ec4e95e39cf6f7369f1e0381aa29d1d2da88d0f6eabdbd04f5a008a05e2970
GMM,2,42,Target-Only,6,-0.5278487727186074,-0.5278487727186074,-1.0001911515148465,0.7831820770278084,72d10cef4e7c812566a0c23a29dbd3c01414d5cc7c32389f08dfeadee79d3a08,49a398380d2324530c3b8140a17b59053f6092c8df14be6de0e6e571cfc9e2c0
GMM,2,42,Target-Only,7,-0.6497571814999468,-0.6497571814999468,-1.0001911515148465,0.5810480211341883,a389c00fe00ff0e4ac32b0285075953fbe3c845d9298f47b097f294cb31a0c5e,e0c22b18d12d39c48eedfa0e12f8725dedea5e21bb77f5425cd38901ff81141a
GMM,2,42,Target-Only,8,-0.8364088758633066,-0.8364088758633066,-1.0001911515148465,0.2715643325335588,111cc8311b8eefa93109240dc64a3309ea5c1836e8cb4956c5571c6297636950,acedae08614cf71c1777002fe3c5b03bb0cd3472e3ce55034a691bb2b5c6289d
GMM,2,42,Target-Only,9,-0.9158799571479443,-0.9158799571479443,-1.0001911515148465,0.13979481682174108,ceea058fc09467c1ab2a5bcb6593203fd8643e5a22e826f23a3915446e1ae446,dab4ff109817a3c3b4226131e748ce01ee54041d853521a426626a2d2bf64638
GMM,2,42,Target-Only,10,-0.9957073029412875,-0.9957073029412875,-1.0001911515148465,0.007434585581474967,15277e9a585d9698864c4969c870971e03f91d031d093639c348ed0c948c19ab,70569b62aef46c0ba40e0a84ab3bd795c5498c556312213645583d24dffbdf35
GMM,2,42,Target-Only,11,-0.9957073029412875,-0.0008998922221070281,-1.0001911515148465,0.007434585581474967,ea92c5415f4e813843ea5b67ca7d9476fe96fde5bd67ef5b5ac4a2f531de68d4,40369ffb87922c11dc237b6548a83da984c8f7ce792cebe7f9c11fae651d00f4
GMM,2,42,Target-Only,12,-0.9957073029412875,-0.00287506410803245,-1.0001911515148465,0.007434585581474967,3011a1f414bb7366dfa3e4de66e8c174e63d3078d9188fb426967bc91e59f8d2,f6a6eb48e631762b269bb2e0d1b908a8d242280cdcf93120c624d91bc2eac09e
GMM,2,42,Target-Only,13,-0.9957073029412875,-0.004670350076636354,-1.0001911515148465,0.007434585581474967,6c6074ee0249e0d0c1289ab8d66040465d3eb7cc7dbec68b295d2d8afd8b1c5d,c1f90a8101367fba6e7dbf6dd00887d6dd7d430c3d9d79265353c3f24d308a2f
GMM,2,42,Target-Only,14,-0.9957073029412875,-0.7772560047777716,-1.0001911515148465,0.007434585581474967,c9db47597918f545f6afbbaac4ee9e8ff384908bfeabb49560b0c3ab2334c3cc,2606cd0e2e4e4f3e5a10ec8038fab92a5d889fe6675c2f2a14479be2e8891474
GMM,2,42,Target-Only,15,-0.9957073029412875,-0.9616454894106783,-1.0001911515148465,0.007434585581474967,97f058dd05b0ad305c0f906abcbbe824345701bb8be373fb10785bdf512e9033,da97fdd748fad1505d5ff5fafeca87974e80d9a74031ca8ad3b9be8807a7ff47
GMM,2,42,Target-Only,16,-0.9957073029412875,-0.021423997853743774,-1.0001911515148465,0.007434585581474967,5f4b799a25bafaf41fa5120749602f541f8efec0a315a4e391ae6571f13595f2,5ac20a68f74c3b82f9ec69c7a718d24c73ec638fd2801f62d2b37ab496979bbb
GMM,2,42,Target-Only,17,-0.9957073029412875,-0.051107474927358974,-1.0001911515148465,0.007434585581474967,739f469f4bfc22b0ad82fa133ac3c80db935077c72b1770149346c07b2454e5a,a08a06a1e27a526ebc263f5d8bf0ba3b689f37f5e3a605bc5e7cb07cd86f3dc5
GMM,2,42,Target-Only,18,-0.9957073029412875,-0.017633337769428905,-1.0001911515148465,0.007434585581474967,9eb6bed178ef650e5a49a1b98f95c91dabfbd3b0d72c3e0de64cdb77e363002f,7df5d6e0c26e4a4744833d544d5ab3ab6bc98e3bc71a0804391149c88474da46
GMM,2,42,Target-Only,19,-0.9957073029412875,-0.40177455883672036,-1.0001911515148465,0.007434585581474967,1fe9127b9be6c1cdb5653174d7cb813aee1bce2501df24c955b55bb4ecb330a7,c293150e83cd0d248547d7fadfe6381098e9e642ef7eeb77b83acfeb8338f64b
GMM,2,42,Target-Only,20,-0.9957073029412875,-0.9867662264876258,-1.0001911515148465,0.007434585581474967,8b75fd4fe755f64439fbbf27525a8ef5fc0897be95c4d11e89a08afd3acaef1a,b15a19f1492432f4a19985241274bd5c654401f221fefaf02ada60e91a409260
GMM,2,42,Geometry-Only,0,-0.39708442492990237,,-1.0001911515148465,1.0,,
GMM,2,42,Geometry-Only,1,-0.39708442492990237,-0.32470044970854983,-1.0001911515148465,1.0,e87128f03af5bf05ecf2f02212acdd782f490313b010e4a59138485c8e90e0c9,424047274c344e4a0f938df682b92289e0fdee3726c6b61d9d8dd5edb943735f
GMM,2,42,Geometry-Only,2,-0.7806417210772311,-0.7806417210772311,-1.0001911515148465,0.3640308104020013,7088958364f1c2a83fb77c0ea4d01c011aa10bbaf7ab087f561e1e89efd2e2f2,7bae5145c26555ef798f0f65fe63354ac7a9d8ea49d183b68d184a77f257f8c3
GMM,2,42,Geometry-Only,3,-0.7806417210772311,-0.7096147341244494,-1.0001911515148465,0.3640308104020013,e64a8da4f98f65813d18371d419ff2bab4ec38107c591df4c1a070733fc911a9,593feceae45d9bd558cd0a46f9afae1d2cfa14482429a029869083e93838ef2b
GMM,2,42,Geometry-Only,4,-0.9220445832704306,-0.9220445832704306,-1.0001911515148465,0.12957336537583686,36a701127c473abfcec3d18dc998079efee7c9a76b0667ccfa3bc923be54c9f7,a433d72106bc2004dc2128b1dda584dfbbecd8e3592a6fabe1cbb57a041cebd4
GMM,2,42,Geometry-Only,5,-0.9778755278577929,-0.9778755278577929,-1.0001911515148465,0.03700111882919053,af45f6e6c523293cb202315f2bfccb18161f5a7c56b534d8bd2fda65bb1ec1d9,81a96cf2ebff53266b4d1bf063339a76edd2f223f104f82fa8302531c777869d
GMM,2,42,Geometry-Only,6,-0.998836227194424,-0.998836227194424,-1.0001911515148465,0.0022465747117341563,72d10cef4e7c812566a0c23a29dbd3c01414d5cc7c32389f08dfeadee79d3a08,c763a64245077b896405ce877aa4cdd56f0f11758ab55586f4a234a4ed5df3dc
GMM,2,42,Geometry-Only,7,-0.998836227194424,-0.044969598123426345,-1.0001911515148465,0.0022465747117341563,a389c00fe00ff0e4ac32b0285075953fbe3c845d9298f47b097f294cb31a0c5e,5aaeef929a0c9e8125bbe4c1f6190accaec6255c81bfe578c0e8ef391a997dc7
GMM,2,42,Geometry-Only,8,-0.998836227194424,-0.04731345924691296,-1.0001911515148465,0.0022465747117341563,111cc8311b8eefa93109240dc64a3309ea5c1836e8cb4956c5571c6297636950,2c4bb217b2006a0e45152cd5f70c5e6d1ce6f7da14b67b9e5ba0ffd376ff8c6e
GMM,2,42,Geometry-Only,9,-0.998836227194424,-0.0828200831539406,-1.0001911515148465,0.0022465747117341563,ceea058fc09467c1ab2a5bcb6593203fd8643e5a22e826f23a3915446e1ae446,7b7a3047618ce124adc1e295caf31bc01951686dc98f04cb9a612d61972a2be2
GMM,2,42,Geometry-Only,10,-0.998836227194424,-0.28875305941178664,-1.0001911515148465,0.0022465747117341563,15277e9a585d9698864c4969c870971e03f91d031d093639c348ed0c948c19ab,239824d0a81f81f7f810ce6f6ee30f1673a53d75667a826a80606f019c9467dc
GMM,2,42,Geometry-Only,11,-0.998836227194424,-0.9942004418564276,-1.0001911515148465,0.0022465747117341563,ea92c5415f4e813843ea5b67ca7d9476fe96fde5bd67ef5b5ac4a2f531de68d4,312dd70cd3d2135c109dbc3110669a6ab434468ec6653b7110532456f0e55476
GMM,2,42,Geometry-Only,12,-0.998836227194424,-0.0045337786730799854,-1.0001911515148465,0.0022465747117341563,3011a1f414bb7366dfa3e4de66e8c174e63d3078d9188fb426967bc91e59f8d2,75d51f61f5a0b20532fe2e52353272a6f1866a408ac2162ffc4863df8ac2ca73
GMM,2,42,Geometry-Only,13,-0.998836227194424,-0.006345665981755961,-1.0001911515148465,0.0022465747117341563,6c6074ee0249e0d0c1289ab8d66040465d3eb7cc7dbec68b295d2d8afd8b1c5d,dd59cd2fac06f65c8129acec4b4154102f1c46905004ab8ed7d2ae2e508240b2
GMM,2,42,Geometry-Only,14,-0.998836227194424,-0.2478985590671056,-1.0001911515148465,0.0022465747117341563,c9db47597918f545f6afbbaac4ee9e8ff384908bfeabb49560b0c3ab2334c3cc,b81d793e9994d9cba3ac57769ddffdabc93ff7492a8e840998ae05b5d8b9c9fc
GMM,2,42,Geometry-Only,15,-0.998836227194424,-0.025154075445309974,-1.0001911515148465,0.0022465747117341563,97f058dd05b0ad305c0f906abcbbe824345701bb8be373fb10785bdf512e9033,aeb75ae3bf45f88e9600df620c2da7c036cc28db135df0bcbfa83b2bf42e18b2
GMM,2,42,Geometry-Only,16,-0.998836227194424,-0.3327240346358983,-1.0001911515148465,0.0022465747117341563,5f4b799a25bafaf41fa5120749602f541f8efec0a315a4e391ae6571f13595f2,4bf1369c187e8d1d41098a7555a66e009a0e9795b658de28ea751881855f2701
GMM,2,42,Geometry-Only,17,-0.998836227194424,-0.0548965435663227,-1.0001911515148465,0.0022465747117341563,739f469f4bfc22b0ad82fa133ac3c80db935077c72b1770149346c07b2454e5a,29f53e20ff6618404a65964034c07ed3d004736691a2d07819ff6ee5a1795d72
GMM,2,42,Geometry-Only,18,-0.998836227194424,-0.8971797979371018,-1.0001911515148465,0.0022465747117341563,9eb6bed178ef650e5a49a1b98f95c91dabfbd3b0d72c3e0de64cdb77e363002f,ad22c289430f2395c11f4ffcffe37303005fbd37be8dbeaf6416522437c520a7
GMM,2,42,Geometry-Only,19,-0.998836227194424,-0.7321714198293257,-1.0001911515148465,0.0022465747117341563,1fe9127b9be6c1cdb5653174d7cb813aee1bce2501df24c955b55bb4ecb330a7,d80afefc5ed7e7b61cf2c8a225af59f51aa6f76a409ed72978dedf136a868638
GMM,2,42,Geometry-Only,20,-0.998836227194424,-0.6896907958033253,-1.0001911515148465,0.0022465747117341563,8b75fd4fe755f64439fbbf27525a8ef5fc0897be95c4d11e89a08afd3acaef1a,fc71125c7e711f69a3da9452e80f74e5dfb78f083bf1d7b1997e19a1aeabac81
GMM,2,42,Local-Rank-No-Reliability,0,-0.39708442492990237,,-1.0001911515148465,1.0,,
GMM,2,42,Local-Rank-No-Reliability,1,-0.39708442492990237,-0.32470044970854983,-1.0001911515148465,1.0,e87128f03af5bf05ecf2f02212acdd782f490313b010e4a59138485c8e90e0c9,424047274c344e4a0f938df682b92289e0fdee3726c6b61d9d8dd5edb943735f
GMM,2,42,Local-Rank-No-Reliability,2,-0.39708442492990237,-0.08838037640336123,-1.0001911515148465,1.0,7088958364f1c2a83fb77c0ea4d01c011aa10bbaf7ab087f561e1e89efd2e2f2,7bae5145c26555ef798f0f65fe63354ac7a9d8ea49d183b68d184a77f257f8c3
GMM,2,42,Local-Rank-No-Reliability,3,-0.8493731870926753,-0.8493731870926753,-1.0001911515148465,0.2500684501997995,e64a8da4f98f65813d18371d419ff2bab4ec38107c591df4c1a070733fc911a9,046a8f8144cbde0418b9c0ea1f8de3b1fef0a667838818068356a6d085e74cf9
GMM,2,42,Local-Rank-No-Reliability,4,-0.9740269297469855,-0.9740269297469855,-1.0001911515148465,0.04338240748202957,36a701127c473abfcec3d18dc998079efee7c9a76b0667ccfa3bc923be54c9f7,617b03922a1f367a97a408b624b531687ac9f6ce0f5a0dcf83d3994a4e97f2d8
GMM,2,42,Local-Rank-No-Reliability,5,-0.9740269297469855,-0.811621266615631,-1.0001911515148465,0.04338240748202957,af45f6e6c523293cb202315f2bfccb18161f5a7c56b534d8bd2fda65bb1ec1d9,568adc2eb32f9b1852d058347cae215df6260c291234086816b1fd76fd48a881
GMM,2,42,Local-Rank-No-Reliability,6,-0.980440176002785,-0.980440176002785,-1.0001911515148465,0.03274872363619658,72d10cef4e7c812566a0c23a29dbd3c01414d5cc7c32389f08dfeadee79d3a08,caed0c308ab3f5e1b6f92b7911d41604131c6538acad27b3189deed58d0d3beb
GMM,2,42,Local-Rank-No-Reliability,7,-0.980440176002785,-0.9459297151226309,-1.0001911515148465,0.03274872363619658,a389c00fe00ff0e4ac32b0285075953fbe3c845d9298f47b097f294cb31a0c5e,5e9b460672499373751c1ae4017ca61804abd7fb1f43345493324d31c593489b
GMM,2,42,Local-Rank-No-Reliability,8,-0.980440176002785,-0.025540924057834105,-1.0001911515148465,0.03274872363619658,111cc8311b8eefa93109240dc64a3309ea5c1836e8cb4956c5571c6297636950,48b11ef781dbdf7ed69d485a1e16aec0a9afadc8cc3dde9737b109c8f5280424
GMM,2,42,Local-Rank-No-Reliability,9,-0.980440176002785,-0.013445994597353943,-1.0001911515148465,0.03274872363619658,ceea058fc09467c1ab2a5bcb6593203fd8643e5a22e826f23a3915446e1ae446,29def557449e5b6bb5d0b1e8673d684cd8eafb85496ce145ab9cc822ecfaf867
GMM,2,42,Local-Rank-No-Reliability,10,-0.9957073029412875,-0.9957073029412875,-1.0001911515148465,0.007434585581474967,15277e9a585d9698864c4969c870971e03f91d031d093639c348ed0c948c19ab,b08cb2e794d16aa97198fcca78d1b77f1b1e0fa27b0c9b04c9dd1ace06064e0e
GMM,2,42,Local-Rank-No-Reliability,11,-0.9957073029412875,-0.22336216114195814,-1.0001911515148465,0.007434585581474967,ea92c5415f4e813843ea5b67ca7d9476fe96fde5bd67ef5b5ac4a2f531de68d4,33292652115cec57c311fd48749a41a0fae7625badb11265a755df149ed1ea98
GMM,2,42,Local-Rank-No-Reliability,12,-0.9957073029412875,-0.06213314474801998,-1.0001911515148465,0.007434585581474967,3011a1f414bb7366dfa3e4de66e8c174e63d3078d9188fb426967bc91e59f8d2,db26b6a90ece55c8e232efdb4f7a66e348132ff703cecff77869ca7d306013aa
GMM,2,42,Local-Rank-No-Reliability,13,-0.9957073029412875,-0.008403920776730136,-1.0001911515148465,0.007434585581474967,6c6074ee0249e0d0c1289ab8d66040465d3eb7cc7dbec68b295d2d8afd8b1c5d,49c89f55fa7498333efac9280e85b6d445110b58fdb45d9506c18e987528a34a
GMM,2,42,Local-Rank-No-Reliability,14,-0.9957073029412875,-0.0075362563868647,-1.0001911515148465,0.007434585581474967,c9db47597918f545f6afbbaac4ee9e8ff384908bfeabb49560b0c3ab2334c3cc,da51601816add5bdc0177ef282a2497680c4755a7f025a6af1fc642f1112432f
GMM,2,42,Local-Rank-No-Reliability,15,-0.9957073029412875,-0.14734939673906383,-1.0001911515148465,0.007434585581474967,97f058dd05b0ad305c0f906abcbbe824345701bb8be373fb10785bdf512e9033,6a2c3591ab8996705984cc87deede47bf26ed1476b4d58ba0c0ee29ff7006d58
GMM,2,42,Local-Rank-No-Reliability,16,-0.9957073029412875,-0.7342830962724011,-1.0001911515148465,0.007434585581474967,5f4b799a25bafaf41fa5120749602f541f8efec0a315a4e391ae6571f13595f2,8dbdd5491e9a80a885909ef626b28c8eca5b41efab814c07d4fe76fdbff6b218
GMM,2,42,Local-Rank-No-Reliability,17,-0.9957073029412875,-0.665605132954761,-1.0001911515148465,0.007434585581474967,739f469f4bfc22b0ad82fa133ac3c80db935077c72b1770149346c07b2454e5a,c14ad4ea02ba6558ee6ae88abd4e32eeb5f57b191cc7291f27c13253d0c8b04c
GMM,2,42,Local-Rank-No-Reliability,18,-0.9957073029412875,-0.5540166304344263,-1.0001911515148465,0.007434585581474967,9eb6bed178ef650e5a49a1b98f95c91dabfbd3b0d72c3e0de64cdb77e363002f,fdedd8f4c7eb2e538a52fe5b81807556d8d63f686f2d44aef659bbd8a6eda3d5
GMM,2,42,Local-Rank-No-Reliability,19,-0.9957073029412875,-0.29306860274122787,-1.0001911515148465,0.007434585581474967,1fe9127b9be6c1cdb5653174d7cb813aee1bce2501df24c955b55bb4ecb330a7,5bf9b42e5fec0fb593e34b360ccf9b1c36efb470594e2f2ec649f76ea48bb7da
