dataset,method_a,method_b,metric,n_pairs,mean_effect,ci_low,ci_high,wilcoxon_pratt_one_sided_p,wilcoxon_one_sided_p,rank_biserial,wins,ties,losses,win_rate,tie_rate,loss_rate
mechanism,Local-Rank-No-Reliability,Geometry-Only,normalized_regret,4,0.0,0.0,0.0,1.0,1.0,0.0,0,4,0,0.0,1.0,0.0
mechanism,Local-Rank+Reliability,Geometry-Only,normalized_regret,4,0.0,0.0,0.0,1.0,1.0,0.0,0,4,0,0.0,1.0,0.0
mechanism,Reversed-Local-Rank,Geometry-Only,normalized_regret,4,-0.0420557140434286,-0.1261671421302858,0.0,1.0,1.0,-1.0,0,3,1,0.0,0.75,0.25
mechanism,Local-Rank-No-Reliability,Geometry-Only,top10_hit,4,0.0,0.0,0.0,1.0,1.0,0.0,0,4,0,0.0,1.0,0.0
mechanism,Local-Rank+Reliability,Geometry-Only,top10_hit,4,0.0,0.0,0.0,1.0,1.0,0.0,0,4,0,0.0,1.0,0.0
mechanism,Reversed-Local-Rank,Geometry-Only,top10_hit,4,-0.25,-0.75,0.0,1.0,1.0,-1.0,0,3,1,0.0,0.75,0.25
sequential,Local-Rank-No-Reliability,Geometry-Only,final_normalized_regret,4,0.025253057546491528,0.0,0.07575917263947458,0.5,0.5,1.0,1,3,0,0.25,0.75,0.0
sequential,Local-Rank+Reliability,Geometry-Only,final_normalized_regret,4,0.025253057546491528,0.0,0.07575917263947458,0.5,0.5,1.0,1,3,0,0.25,0.75,0.0
sequential,Local-Rank-No-Reliability,Geometry-Only,auc_normalized_regret,4,0.027805699979423837,0.0,0.08341709993827151,0.5,0.5,1.0,1,3,0,0.25,0.75,0.0
sequential,Local-Rank+Reliability,Geometry-Only,auc_normalized_regret,4,0.027805699979423837,0.0,0.08341709993827151,0.5,0.5,1.0,1,3,0,0.25,0.75,0.0
