problem,dim,seed,method,initial_best_y,final_best_y,known_optimum_y,final_normalized_regret,auc_normalized_regret,total_improvement,trace_points
GMM,2,42,Target-Only,-0.39708442492990237,-0.5859948221605185,-1.0001911515148465,0.6867711983576937,4.843385599178847,0.1889103972306161,6
GMM,2,42,Geometry-Only,-0.39708442492990237,-0.5372780926594455,-1.0001911515148465,0.7675474977316512,4.341390498504533,0.14019366772954311,6
GMM,2,42,Local-Rank-No-Reliability,-0.39708442492990237,-0.5372780926594455,-1.0001911515148465,0.7675474977316512,4.341390498504533,0.14019366772954311,6
GMM,2,42,Local-Rank+Reliability,-0.39708442492990237,-0.5372780926594455,-1.0001911515148465,0.7675474977316512,4.341390498504533,0.14019366772954311,6
GMM,2,101,Target-Only,-0.3573922175677191,-0.4775765485442462,-1.0001911515148465,0.8130296666198069,4.158633499789131,0.12018433097652709,6
GMM,2,101,Geometry-Only,-0.3573922175677191,-0.7835505420262665,-1.0001911515148465,0.3370270204996941,3.06044439446177,0.4261583244585474,6
GMM,2,101,Local-Rank-No-Reliability,-0.3573922175677191,-0.7835505420262665,-1.0001911515148465,0.3370270204996941,3.06044439446177,0.4261583244585474,6
GMM,2,101,Local-Rank+Reliability,-0.3573922175677191,-0.7835505420262665,-1.0001911515148465,0.3370270204996941,3.06044439446177,0.4261583244585474,6
Ackley,2,42,Target-Only,8.110079754966062,7.019686284553444,4.440892098500626e-16,0.865550832623448,4.932775416311724,1.090393470412618,6
Ackley,2,42,Geometry-Only,8.110079754966062,5.155866420197206,4.440892098500626e-16,0.6357356001388401,3.3608102006247806,2.9542133347688555,6
Ackley,2,42,Local-Rank-No-Reliability,8.110079754966062,5.155866420197206,4.440892098500626e-16,0.6357356001388401,3.3608102006247806,2.9542133347688555,6
Ackley,2,42,Local-Rank+Reliability,8.110079754966062,5.155866420197206,4.440892098500626e-16,0.6357356001388401,3.3608102006247806,2.9542133347688555,6
Ackley,2,101,Target-Only,7.644197546020068,1.131031125201169,4.440892098500626e-16,0.14795943176403611,3.746712173717697,6.5131664208189,6
Ackley,2,101,Geometry-Only,7.644197546020068,3.2346648437583956,4.440892098500626e-16,0.42315296331431346,2.532871413054405,4.409532702261673,6
Ackley,2,101,Local-Rank-No-Reliability,7.644197546020068,2.4625074016528186,4.440892098500626e-16,0.3221407331283473,2.4216486131367096,5.18169014436725,6
Ackley,2,101,Local-Rank+Reliability,7.644197546020068,2.4625074016528186,4.440892098500626e-16,0.3221407331283473,2.4216486131367096,5.18169014436725,6
